family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.0005,baseline_cpu_ssd,128k_256k,4268,0.528027,0.452314,0.743623,0.995461,4.231425,10.102756
claude,0.0005,baseline_cpu_ssd,16k_64k,3237,0.230604,0.136885,0.418197,0.712331,1.977491,3.899268
claude,0.0005,baseline_cpu_ssd,256k_512k,3613,1.022902,0.854802,1.462648,1.851518,7.368924,18.449421
claude,0.0005,baseline_cpu_ssd,64k_128k,3462,0.336995,0.246448,0.525965,0.820457,3.498529,7.781182
claude,0.0005,baseline_cpu_ssd,gt_512k,2410,1.967509,1.767263,2.771781,3.067444,10.161008,21.927023
claude,0.0005,baseline_cpu_ssd,lt_16k,339,1.97145,0.082977,2.402618,5.460106,3.162557,5.820118
claude,0.0005,hbf_prefill_p4d4,128k_256k,4268,0.529774,0.455301,0.748407,0.997261,4.23512,10.073486
claude,0.0005,hbf_prefill_p4d4,16k_64k,3237,0.249909,0.141308,0.456177,0.80525,2.000845,3.968114
claude,0.0005,hbf_prefill_p4d4,256k_512k,3613,1.019425,0.858257,1.458501,1.814334,7.368016,18.311393
claude,0.0005,hbf_prefill_p4d4,64k_128k,3462,0.345588,0.251111,0.55189,0.832946,3.520429,7.826311
claude,0.0005,hbf_prefill_p4d4,gt_512k,2410,1.968095,1.773441,2.778225,3.062891,10.1651,21.945547
claude,0.0005,hbf_prefill_p4d4,lt_16k,339,2.135632,0.097628,2.87139,6.178193,3.326996,6.432537
claude,0.0005,oracle_infinite_hbm,128k_256k,4268,0.527522,0.451965,0.74239,0.989966,4.223508,10.073656
claude,0.0005,oracle_infinite_hbm,16k_64k,3237,0.23088,0.136786,0.417514,0.705836,1.978973,3.932864
claude,0.0005,oracle_infinite_hbm,256k_512k,3613,1.018129,0.851454,1.454718,1.849583,7.352463,18.437806
claude,0.0005,oracle_infinite_hbm,64k_128k,3462,0.334773,0.246722,0.529947,0.814811,3.498392,7.788483
claude,0.0005,oracle_infinite_hbm,gt_512k,2410,1.9336,1.761627,2.759783,3.031097,10.128579,21.808103
claude,0.0005,oracle_infinite_hbm,lt_16k,339,1.96203,0.082201,2.402618,5.452529,3.150812,5.723176
claude,0.001,baseline_cpu_ssd,128k_256k,4015,0.535467,0.447402,0.75705,1.10395,4.559393,10.64822
claude,0.001,baseline_cpu_ssd,16k_64k,3370,0.246035,0.137368,0.462515,0.799789,2.125052,4.067324
claude,0.001,baseline_cpu_ssd,256k_512k,3589,1.074481,0.879023,1.515332,2.1307,7.787323,19.364114
claude,0.001,baseline_cpu_ssd,64k_128k,3360,0.329098,0.246023,0.508379,0.75855,3.657659,8.384356
claude,0.001,baseline_cpu_ssd,gt_512k,2093,1.995972,1.811139,2.646658,3.112975,9.274526,19.164758
claude,0.001,baseline_cpu_ssd,lt_16k,349,1.915015,0.079157,2.0933,5.526136,3.258771,6.19557
claude,0.001,hbf_prefill_p4d4,128k_256k,4015,0.538078,0.449958,0.761449,1.11104,4.563504,10.588467
claude,0.001,hbf_prefill_p4d4,16k_64k,3370,0.262342,0.142094,0.508597,0.878805,2.135609,4.100357
claude,0.001,hbf_prefill_p4d4,256k_512k,3589,1.067566,0.881042,1.481078,2.021721,7.777431,19.384879
claude,0.001,hbf_prefill_p4d4,64k_128k,3360,0.337215,0.249205,0.540867,0.860258,3.670495,8.391362
claude,0.001,hbf_prefill_p4d4,gt_512k,2093,1.956555,1.81101,2.639938,2.923338,9.220789,19.147814
claude,0.001,hbf_prefill_p4d4,lt_16k,349,2.048456,0.069325,2.490345,6.133615,3.369536,6.527351
claude,0.001,oracle_infinite_hbm,128k_256k,4015,0.530187,0.447608,0.756583,1.109721,4.555131,10.598518
claude,0.001,oracle_infinite_hbm,16k_64k,3370,0.2413,0.137025,0.457014,0.77965,2.114677,4.031824
claude,0.001,oracle_infinite_hbm,256k_512k,3589,1.049893,0.867513,1.467253,1.948691,7.767515,19.464105
claude,0.001,oracle_infinite_hbm,64k_128k,3360,0.327498,0.245872,0.518891,0.783431,3.653122,8.363366
claude,0.001,oracle_infinite_hbm,gt_512k,2093,1.883388,1.803016,2.611695,2.871107,9.154372,19.051497
claude,0.001,oracle_infinite_hbm,lt_16k,349,1.890725,0.060728,2.051657,5.340563,3.200189,5.966518
claude,0.002,baseline_cpu_ssd,128k_256k,4104,0.657582,0.46426,0.881892,1.398384,4.610156,9.798396
claude,0.002,baseline_cpu_ssd,16k_64k,3354,0.338397,0.141065,0.574602,1.017225,2.629324,5.36591
claude,0.002,baseline_cpu_ssd,256k_512k,3634,1.271731,0.964391,1.780279,2.450332,8.002663,19.363062
claude,0.002,baseline_cpu_ssd,64k_128k,3310,0.438315,0.2548,0.70338,1.231904,4.273559,9.482216
claude,0.002,baseline_cpu_ssd,gt_512k,2429,3.454321,2.092379,5.194385,8.351229,11.246942,24.308321
claude,0.002,baseline_cpu_ssd,lt_16k,344,1.682119,0.070275,2.007526,4.713843,3.127304,5.592277
claude,0.002,hbf_prefill_p4d4,128k_256k,4103,0.659821,0.466574,0.883763,1.444979,4.643601,10.079577
claude,0.002,hbf_prefill_p4d4,16k_64k,3354,0.352272,0.14688,0.64847,1.117659,2.653787,5.265957
claude,0.002,hbf_prefill_p4d4,256k_512k,3634,1.335105,0.972352,1.765718,2.519539,8.015358,18.551483
claude,0.002,hbf_prefill_p4d4,64k_128k,3310,0.449292,0.259594,0.756893,1.291949,4.285847,9.483404
claude,0.002,hbf_prefill_p4d4,gt_512k,2430,3.291476,2.074284,5.030269,7.907894,11.086287,24.32881
claude,0.002,hbf_prefill_p4d4,lt_16k,344,1.830393,0.096252,2.362099,5.234555,3.253844,6.410157
claude,0.002,oracle_infinite_hbm,128k_256k,4103,0.61945,0.457815,0.829371,1.333439,4.575419,9.931952
claude,0.002,oracle_infinite_hbm,16k_64k,3354,0.325888,0.140397,0.562977,1.081107,2.59473,5.356678
claude,0.002,oracle_infinite_hbm,256k_512k,3634,1.199279,0.955645,1.689694,2.409723,7.946398,18.331642
claude,0.002,oracle_infinite_hbm,64k_128k,3310,0.408532,0.256211,0.69397,1.164057,4.272969,9.399891
claude,0.002,oracle_infinite_hbm,gt_512k,2433,2.411241,1.964313,4.413048,5.023705,10.450503,22.052884
claude,0.002,oracle_infinite_hbm,lt_16k,344,1.721669,0.091377,2.037459,4.729928,3.293569,6.108564
claude,0.004,baseline_cpu_ssd,128k_256k,4300,0.840018,0.478126,1.373602,2.209272,5.636644,12.246579
claude,0.004,baseline_cpu_ssd,16k_64k,3439,0.46559,0.149253,0.976187,1.671645,3.391098,7.063503
claude,0.004,baseline_cpu_ssd,256k_512k,2866,1.436844,0.922009,2.103644,3.834294,8.807883,20.764113
claude,0.004,baseline_cpu_ssd,64k_128k,3602,0.591155,0.269482,1.126886,2.033714,5.570667,12.734792
claude,0.004,baseline_cpu_ssd,gt_512k,2262,3.665948,2.355071,6.159848,10.40833,10.392814,21.82325
claude,0.004,baseline_cpu_ssd,lt_16k,353,1.222509,0.098493,1.82943,4.141187,3.211168,5.890747
claude,0.004,hbf_prefill_p4d4,128k_256k,4301,0.723634,0.478416,1.29226,2.049573,5.520167,11.911024
claude,0.004,hbf_prefill_p4d4,16k_64k,3438,0.431389,0.155489,0.957243,1.567035,3.314367,6.874956
claude,0.004,hbf_prefill_p4d4,256k_512k,2867,1.328936,0.91476,1.991031,3.25177,8.5459,20.264684
claude,0.004,hbf_prefill_p4d4,64k_128k,3605,0.550957,0.272791,1.054038,1.977693,5.583394,12.690014
claude,0.004,hbf_prefill_p4d4,gt_512k,2264,3.559344,2.362311,5.547041,8.892518,10.293149,21.972097
claude,0.004,hbf_prefill_p4d4,lt_16k,353,1.364914,0.132343,2.295666,4.685342,3.438838,6.201888
claude,0.004,oracle_infinite_hbm,128k_256k,4308,0.691757,0.471182,1.183232,1.886395,5.523737,11.994637
claude,0.004,oracle_infinite_hbm,16k_64k,3438,0.38912,0.147796,0.821192,1.377178,3.294973,6.879417
claude,0.004,oracle_infinite_hbm,256k_512k,2867,1.103457,0.899415,1.766476,2.662766,8.502184,19.849836
claude,0.004,oracle_infinite_hbm,64k_128k,3614,0.52346,0.267837,0.993801,1.719412,5.502612,12.280984
claude,0.004,oracle_infinite_hbm,gt_512k,2264,2.55705,2.164747,4.437379,5.026317,9.485677,19.214169
claude,0.004,oracle_infinite_hbm,lt_16k,353,1.239869,0.131138,2.020549,4.245517,3.293137,5.569303
claude,0.006,baseline_cpu_ssd,128k_256k,4313,1.699898,0.517435,2.845811,6.361112,8.061173,18.587441
claude,0.006,baseline_cpu_ssd,16k_64k,3530,0.878479,0.166409,1.586852,2.930035,4.88806,10.315173
claude,0.006,baseline_cpu_ssd,256k_512k,2578,2.961106,1.0345,5.896148,10.945986,11.595598,27.743907
claude,0.006,baseline_cpu_ssd,64k_128k,3892,1.345972,0.290832,1.939917,4.191449,7.416638,16.933891
claude,0.006,baseline_cpu_ssd,gt_512k,2731,10.635463,3.446803,25.389275,40.092729,18.49936,42.024719
claude,0.006,baseline_cpu_ssd,lt_16k,354,3.775891,0.15217,2.387534,10.07723,6.836564,9.385712
claude,0.006,hbf_prefill_p4d4,128k_256k,4330,1.678994,0.516462,2.448217,4.417117,8.012186,17.502948
claude,0.006,hbf_prefill_p4d4,16k_64k,3539,0.869096,0.173134,1.563052,2.766494,4.89332,9.922625
claude,0.006,hbf_prefill_p4d4,256k_512k,2581,2.939088,1.010576,4.866171,10.258871,11.473873,26.804861
claude,0.006,hbf_prefill_p4d4,64k_128k,3925,1.283041,0.297641,1.784505,3.476553,7.098862,15.978266
claude,0.006,hbf_prefill_p4d4,gt_512k,2794,8.381932,2.832854,18.868867,33.047985,16.274814,37.060943
claude,0.006,hbf_prefill_p4d4,lt_16k,355,3.646768,0.142541,2.622421,9.914213,6.572646,9.003168
claude,0.006,oracle_infinite_hbm,128k_256k,4364,1.415952,0.487269,1.715495,2.747587,7.938148,17.060166
claude,0.006,oracle_infinite_hbm,16k_64k,3539,0.726812,0.15945,1.205534,2.299144,4.894719,9.564813
claude,0.006,oracle_infinite_hbm,256k_512k,2581,2.01218,0.927664,2.034672,3.292444,11.318886,26.560689
claude,0.006,oracle_infinite_hbm,64k_128k,3996,0.977284,0.281713,1.296685,2.347411,6.891455,15.59878
claude,0.006,oracle_infinite_hbm,gt_512k,2843,3.137278,2.130266,5.419188,6.147091,11.923031,25.628598
claude,0.006,oracle_infinite_hbm,lt_16k,355,4.048012,0.121288,2.347193,15.53319,7.012799,9.270742
claude,0.008,baseline_cpu_ssd,128k_256k,4368,3.199237,0.626894,6.962363,11.846016,12.586803,28.315239
claude,0.008,baseline_cpu_ssd,16k_64k,3569,1.835266,0.192972,3.075909,7.096958,7.289526,14.809816
claude,0.008,baseline_cpu_ssd,256k_512k,2554,8.041292,1.679509,20.423482,33.636252,19.090445,45.553027
claude,0.008,baseline_cpu_ssd,64k_128k,4190,2.671823,0.352407,4.930547,10.359795,11.206881,26.717695
claude,0.008,baseline_cpu_ssd,gt_512k,2173,28.58834,9.154866,74.135218,114.978003,38.007346,90.935275
claude,0.008,baseline_cpu_ssd,lt_16k,361,6.057935,0.285154,4.834954,11.645827,9.942966,12.760951
claude,0.008,hbf_prefill_p4d4,128k_256k,4428,2.645141,0.595962,4.626293,8.974707,11.999674,27.517662
claude,0.008,hbf_prefill_p4d4,16k_64k,3585,1.303696,0.192629,2.136986,3.773667,6.779543,13.316271
claude,0.008,hbf_prefill_p4d4,256k_512k,2601,6.343685,1.521541,15.869636,28.743597,17.557145,41.863444
claude,0.008,hbf_prefill_p4d4,64k_128k,4250,2.284412,0.337772,2.92306,6.299811,10.947029,25.607643
claude,0.008,hbf_prefill_p4d4,gt_512k,2207,24.739524,6.562304,58.251142,109.137704,34.097248,79.951823
claude,0.008,hbf_prefill_p4d4,lt_16k,361,7.751115,0.218014,6.736484,24.731445,11.753704,16.086324
claude,0.008,oracle_infinite_hbm,128k_256k,4485,1.7908,0.50581,2.049517,3.692012,13.463398,31.044753
claude,0.008,oracle_infinite_hbm,16k_64k,3611,1.180922,0.171274,1.623927,2.869935,8.225473,15.504817
claude,0.008,oracle_infinite_hbm,256k_512k,2735,2.133628,0.936854,2.538559,4.591631,16.901625,38.222501
claude,0.008,oracle_infinite_hbm,64k_128k,4208,1.861736,0.297066,1.771886,3.62394,12.54543,30.6614
claude,0.008,oracle_infinite_hbm,gt_512k,2304,3.748366,2.240338,5.553676,6.50321,17.239968,40.840964
claude,0.008,oracle_infinite_hbm,lt_16k,362,7.032092,0.148799,4.316246,17.099909,12.308749,18.063721
claude,0.012,baseline_cpu_ssd,128k_256k,4366,6.824709,2.306674,17.040886,26.662958,19.429277,45.073765
claude,0.012,baseline_cpu_ssd,16k_64k,3459,2.122433,0.301649,4.811928,9.025394,9.896301,19.557963
claude,0.012,baseline_cpu_ssd,256k_512k,2046,20.640375,8.382083,54.235436,85.912542,35.318376,81.037396
claude,0.012,baseline_cpu_ssd,64k_128k,3909,3.404177,0.797933,8.692708,13.223585,15.026536,33.855593
claude,0.012,baseline_cpu_ssd,gt_512k,899,164.040083,77.241294,391.638688,555.701222,176.591347,407.576167
claude,0.012,baseline_cpu_ssd,lt_16k,345,4.785518,0.384146,6.047484,17.379905,9.968534,16.207168
claude,0.012,hbf_prefill_p4d4,128k_256k,4353,5.859255,1.781116,13.414506,21.049295,19.130622,43.219606
claude,0.012,hbf_prefill_p4d4,16k_64k,3466,1.856357,0.27118,3.155374,5.888832,9.952959,19.431328
claude,0.012,hbf_prefill_p4d4,256k_512k,2055,17.963796,6.000416,46.235758,73.567269,32.699009,75.972781
claude,0.012,hbf_prefill_p4d4,64k_128k,3912,2.753391,0.580578,5.517367,9.447856,14.9567,33.816482
claude,0.012,hbf_prefill_p4d4,gt_512k,918,156.089596,85.227645,340.841966,578.464975,169.008018,356.292297
claude,0.012,hbf_prefill_p4d4,lt_16k,345,3.962001,0.205422,3.371985,9.780272,9.171721,15.351802
