family,rate,system,output_tokens_per_s,slo_level,slo_good_tokens_per_s,capex_usd,power_w,energy_usd,ssd_sets_consumed,ssd_replacement_usd,tco_usd,tco_usd_per_hour,ssd_write_gb_per_s,ssd_budget_gb_per_s,ssd_endurance_multiple,good_tokens_per_usd_hour
claude,0.0005,baseline_cpu_ssd,17.820569,ttft5_tpot100,17.5,292407.3486,7409.2093,27259.9628,0.0012,0.0,319667.3115,7.2983,0.0006,0.3556,0.002,2.4
claude,0.0005,hbf_prefill_p4d4,17.820569,ttft5_tpot100,17.5,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,2.72
claude,0.001,baseline_cpu_ssd,33.672703,ttft5_tpot100,33.1,292407.3486,7409.2093,27259.9628,0.0116,0.0,319667.3115,7.2983,0.0059,0.3556,0.017,4.54
claude,0.001,hbf_prefill_p4d4,33.672703,ttft5_tpot100,33.1,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,5.14
claude,0.002,baseline_cpu_ssd,68.320598,ttft5_tpot100,66.3,292407.3486,7409.2093,27259.9628,0.0874,0.0,319667.3115,7.2983,0.0444,0.3556,0.125,9.08
claude,0.002,hbf_prefill_p4d4,68.311985,ttft5_tpot100,66.4,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,10.3
claude,0.004,baseline_cpu_ssd,127.279587,ttft5_tpot100,121.5,292407.3486,7409.2093,27259.9628,0.4347,0.0,319667.3115,7.2983,0.2208,0.3556,0.621,16.65
claude,0.004,hbf_prefill_p4d4,127.389802,ttft5_tpot100,122.8,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,19.06
claude,0.006,baseline_cpu_ssd,187.494458,ttft5_tpot100,164.5,292407.3486,7409.2093,27259.9628,2.1203,4481.375,324148.6865,7.4007,1.077,0.3556,3.029,22.23
claude,0.006,hbf_prefill_p4d4,188.579172,ttft5_tpot100,171.4,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,26.6
claude,0.008,baseline_cpu_ssd,254.149207,ttft5_tpot100,196.5,292407.3486,7409.2093,27259.9628,4.526,14103.8375,333771.149,7.6203,2.2989,0.3556,6.466,25.79
claude,0.008,hbf_prefill_p4d4,257.068488,ttft5_tpot100,211.1,249771.686,8829.6893,32486.1928,0.111,0.0,282257.8788,6.4442,0.0564,0.3556,0.159,32.76
claude,0.012,baseline_cpu_ssd,349.245873,ttft5_tpot100,217.6,292407.3486,7409.2093,27259.9628,6.0657,20262.875,339930.1865,7.761,3.081,0.3556,8.665,28.04
claude,0.012,hbf_prefill_p4d4,349.776098,ttft5_tpot100,251.2,249771.686,8829.6893,32486.1928,0.7406,0.0,282257.8788,6.4442,0.3762,0.3556,1.058,38.98
claude,0.016,baseline_cpu_ssd,415.416884,ttft5_tpot100,230.8,292407.3486,7409.2093,27259.9628,6.5355,22141.85,341809.1615,7.8039,3.3196,0.3556,9.336,29.58
claude,0.016,hbf_prefill_p4d4,416.995351,ttft5_tpot100,252.8,249771.686,8829.6893,32486.1928,1.2927,1170.725,283428.6038,6.471,0.6566,0.3556,1.847,39.07
claude,0.024,baseline_cpu_ssd,502.02621,ttft5_tpot100,228.3,292407.3486,7409.2093,27259.9628,7.1771,24708.3125,344375.624,7.8625,3.6455,0.3556,10.253,29.04
claude,0.024,hbf_prefill_p4d4,496.196299,ttft5_tpot100,224.1,249771.686,8829.6893,32486.1928,2.1001,4400.2625,286658.1413,6.5447,1.0667,0.3556,3.0,34.24
claude,0.032,baseline_cpu_ssd,575.419228,ttft5_tpot100,173.1,292407.3486,7409.2093,27259.9628,8.4461,29784.5375,349451.849,7.9784,4.2901,0.3556,12.066,21.7
claude,0.032,hbf_prefill_p4d4,567.955345,ttft5_tpot100,163.1,249771.686,8829.6893,32486.1928,2.8029,7211.6375,289469.5163,6.6089,1.4237,0.3556,4.004,24.68
codex,0.00025,baseline_cpu_ssd,9.989816,ttft5_tpot100,9.7,292407.3486,7409.2093,27259.9628,0.0,0.0,319667.3115,7.2983,0.0,0.3556,0.0,1.33
codex,0.00025,hbf_prefill_p4d4,9.989816,ttft5_tpot100,9.6,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,1.49
codex,0.0005,baseline_cpu_ssd,21.803784,ttft5_tpot100,21.1,292407.3486,7409.2093,27259.9628,0.0,0.0,319667.3115,7.2983,0.0,0.3556,0.0,2.89
codex,0.0005,hbf_prefill_p4d4,21.803784,ttft5_tpot100,21.0,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,3.26
codex,0.001,baseline_cpu_ssd,42.725245,ttft5_tpot100,41.1,292407.3486,7409.2093,27259.9628,0.0,0.0,319667.3115,7.2983,0.0,0.3556,0.0,5.63
codex,0.001,hbf_prefill_p4d4,42.725245,ttft5_tpot100,40.8,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,6.33
codex,0.002,baseline_cpu_ssd,94.709956,ttft5_tpot100,89.1,292407.3486,7409.2093,27259.9628,0.0455,0.0,319667.3115,7.2983,0.0231,0.3556,0.065,12.21
codex,0.002,hbf_prefill_p4d4,94.607046,ttft5_tpot100,88.0,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,13.66
codex,0.003,baseline_cpu_ssd,154.90862,ttft5_tpot100,141.8,292407.3486,7409.2093,27259.9628,0.0695,0.0,319667.3115,7.2983,0.0353,0.3556,0.099,19.43
codex,0.003,hbf_prefill_p4d4,154.920935,ttft5_tpot100,140.9,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,21.86
codex,0.004,baseline_cpu_ssd,196.528356,ttft5_tpot100,179.8,292407.3486,7409.2093,27259.9628,0.1461,0.0,319667.3115,7.2983,0.0742,0.3556,0.209,24.64
codex,0.004,hbf_prefill_p4d4,196.099799,ttft5_tpot100,177.0,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,27.47
codex,0.006,baseline_cpu_ssd,290.017571,ttft5_tpot100,249.5,292407.3486,7409.2093,27259.9628,0.4605,0.0,319667.3115,7.2983,0.2339,0.3556,0.658,34.19
codex,0.006,hbf_prefill_p4d4,289.350991,ttft5_tpot100,246.9,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,38.31
codex,0.008,baseline_cpu_ssd,374.035608,ttft5_tpot100,270.9,292407.3486,7409.2093,27259.9628,0.8674,0.0,319667.3115,7.2983,0.4406,0.3556,1.239,37.12
codex,0.008,hbf_prefill_p4d4,369.272076,ttft5_tpot100,264.0,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,40.97
codex,0.012,baseline_cpu_ssd,467.903281,ttft5_tpot100,225.7,292407.3486,7409.2093,27259.9628,5.5578,18231.125,337898.4365,7.7146,2.823,0.3556,7.94,29.26
codex,0.012,hbf_prefill_p4d4,467.304909,ttft5_tpot100,228.7,249771.686,8829.6893,32486.1928,2.745,6980.1125,289237.9913,6.6036,1.3943,0.3556,3.921,34.63
codex,0.016,baseline_cpu_ssd,497.492128,ttft5_tpot100,130.4,292407.3486,7409.2093,27259.9628,12.4482,45792.8375,365460.149,8.3438,6.3229,0.3556,17.783,15.63
codex,0.016,hbf_prefill_p4d4,516.962855,ttft5_tpot100,128.2,249771.686,8829.6893,32486.1928,3.6268,10507.325,292765.2038,6.6841,1.8422,0.3556,5.181,19.18
