family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.0005,baseline_cpu_ssd,1h_4h,55,3.265175,0.513607,5.119924,14.380886,17.331865,39.333991
claude,0.0005,baseline_cpu_ssd,1m_5m,1270,0.881983,0.464892,1.675694,2.568151,7.508725,19.317287
claude,0.0005,baseline_cpu_ssd,30m_1h,245,1.746133,1.121594,1.652808,1.845081,6.138209,11.111717
claude,0.0005,baseline_cpu_ssd,4h_12h,25,1.161435,0.689942,2.257834,3.151972,12.936542,19.838187
claude,0.0005,baseline_cpu_ssd,5m_30m,729,1.089047,0.716582,1.975962,2.69595,7.606796,16.433067
claude,0.0005,baseline_cpu_ssd,gt_12h,36,2.733287,0.933525,3.065693,10.61142,12.937035,27.689279
claude,0.0005,baseline_cpu_ssd,lt_1m,14969,0.658132,0.393229,1.481683,2.012295,4.174466,9.507299
claude,0.0005,hbf_prefill_p4d4,1h_4h,55,3.419806,0.525935,5.359216,15.344407,17.4218,39.479795
claude,0.0005,hbf_prefill_p4d4,1m_5m,1270,0.90324,0.474667,1.670414,2.633158,7.537946,19.25895
claude,0.0005,hbf_prefill_p4d4,30m_1h,245,1.74342,1.118564,1.681532,1.839443,6.142621,11.046161
claude,0.0005,hbf_prefill_p4d4,4h_12h,25,1.173463,0.691829,2.269751,3.18819,12.916401,19.849641
claude,0.0005,hbf_prefill_p4d4,5m_30m,729,1.121054,0.724249,1.985976,2.718277,7.634407,15.904021
claude,0.0005,hbf_prefill_p4d4,gt_12h,36,2.770034,1.110474,3.28349,10.823796,12.992872,27.691836
claude,0.0005,hbf_prefill_p4d4,lt_1m,14969,0.6651,0.399759,1.489426,2.032747,4.187266,9.495685
claude,0.0005,oracle_infinite_hbm,1h_4h,55,3.204403,0.464091,5.059987,14.357945,17.347767,39.186307
claude,0.0005,oracle_infinite_hbm,1m_5m,1270,0.879765,0.465566,1.674338,2.568151,7.511318,19.143835
claude,0.0005,oracle_infinite_hbm,30m_1h,245,1.688501,1.079954,1.528645,1.572761,6.094408,10.990737
claude,0.0005,oracle_infinite_hbm,4h_12h,25,1.09522,0.648161,2.042859,2.991085,12.877954,19.776036
claude,0.0005,oracle_infinite_hbm,5m_30m,729,1.068187,0.715392,1.961059,2.660246,7.584342,16.422971
claude,0.0005,oracle_infinite_hbm,gt_12h,36,2.595619,0.940217,2.839996,10.207469,12.797726,27.592637
claude,0.0005,oracle_infinite_hbm,lt_1m,14969,0.653441,0.393337,1.479902,2.011535,4.165194,9.487131
claude,0.001,baseline_cpu_ssd,1h_4h,58,3.147473,0.598772,4.155667,14.228681,14.662517,34.41128
claude,0.001,baseline_cpu_ssd,1m_5m,1055,0.972071,0.463775,1.771582,2.582092,8.412863,22.373524
claude,0.001,baseline_cpu_ssd,30m_1h,167,1.916096,0.879266,2.391547,2.992334,7.262512,14.803061
claude,0.001,baseline_cpu_ssd,4h_12h,26,1.174571,0.793466,1.812456,3.402392,11.484981,22.633518
claude,0.001,baseline_cpu_ssd,5m_30m,681,1.278205,0.735767,2.271247,3.050546,7.999209,16.692061
claude,0.001,baseline_cpu_ssd,gt_12h,30,2.854496,1.237049,4.329549,10.404731,16.510425,31.118074
claude,0.001,baseline_cpu_ssd,lt_1m,14759,0.666765,0.389698,1.555285,2.101571,4.391297,10.065791
claude,0.001,hbf_prefill_p4d4,1h_4h,58,3.282061,0.64669,4.305002,15.04853,14.605243,34.182855
claude,0.001,hbf_prefill_p4d4,1m_5m,1055,1.004883,0.464546,1.736612,2.778811,8.450756,22.473858
claude,0.001,hbf_prefill_p4d4,30m_1h,167,1.813466,0.870718,2.203312,2.662016,7.232408,14.78366
claude,0.001,hbf_prefill_p4d4,4h_12h,26,1.044056,0.671092,1.758976,2.712704,11.358148,22.164078
claude,0.001,hbf_prefill_p4d4,5m_30m,681,1.250612,0.726673,2.25615,2.827894,7.880703,16.43437
claude,0.001,hbf_prefill_p4d4,gt_12h,30,2.35075,1.212659,3.35809,8.092414,16.09292,30.265273
claude,0.001,hbf_prefill_p4d4,lt_1m,14759,0.670128,0.398271,1.560954,2.110376,4.393063,10.07408
claude,0.001,oracle_infinite_hbm,1h_4h,58,3.068616,0.450155,4.072551,14.16367,14.204619,33.815863
claude,0.001,oracle_infinite_hbm,1m_5m,1055,0.932771,0.457901,1.68191,2.576714,8.404069,22.538669
claude,0.001,oracle_infinite_hbm,30m_1h,167,1.686976,0.774915,1.908165,2.425519,7.091082,14.70014
claude,0.001,oracle_infinite_hbm,4h_12h,26,0.849771,0.543509,1.571222,2.266277,11.161875,22.088398
claude,0.001,oracle_infinite_hbm,5m_30m,681,1.173149,0.697985,2.21541,2.617345,7.875677,16.27268
claude,0.001,oracle_infinite_hbm,gt_12h,30,2.14188,1.027583,3.294308,7.891326,15.900821,29.632479
claude,0.001,oracle_infinite_hbm,lt_1m,14759,0.652892,0.390787,1.540877,2.087582,4.371356,10.078488
claude,0.002,baseline_cpu_ssd,1h_4h,53,3.065584,0.78851,3.493103,11.906318,15.640447,44.39415
claude,0.002,baseline_cpu_ssd,1m_5m,1513,2.160774,0.981903,4.345905,5.086726,7.871825,18.077649
claude,0.002,baseline_cpu_ssd,30m_1h,131,2.070017,1.099499,2.518227,4.96487,9.781605,26.386871
claude,0.002,baseline_cpu_ssd,4h_12h,28,8.294656,0.833515,19.576261,39.286289,18.69364,40.06697
claude,0.002,baseline_cpu_ssd,5m_30m,623,2.018401,0.883715,3.870107,8.321608,9.567644,21.115569
claude,0.002,baseline_cpu_ssd,gt_12h,28,2.150108,1.331073,4.208678,5.800122,16.610952,37.785302
claude,0.002,baseline_cpu_ssd,lt_1m,14799,0.8862,0.411565,1.753895,2.540365,5.131015,11.832422
claude,0.002,hbf_prefill_p4d4,1h_4h,53,2.513236,0.558761,6.229218,11.994909,14.814785,36.912081
claude,0.002,hbf_prefill_p4d4,1m_5m,1514,2.031646,0.961007,4.426261,5.038052,7.721625,17.998897
claude,0.002,hbf_prefill_p4d4,30m_1h,131,1.946641,1.156018,2.425946,4.455866,9.71967,25.381682
