family,rate,system,window_s_mean,produced_kv_gb_per_s,ssd_write_gb_per_s,ssd_read_gb_per_s,hbf_media_write_gb_per_s,nvlink_handoff_gb_per_s,ssd_endurance_budget_gb_per_s,ssd_endurance_multiple
claude,0.0005,baseline_cpu_ssd,220330.2,0.0062,0.0006,0.0004,0.0,0.0169,0.3556,0.0017
claude,0.0005,hbf_prefill_p4d4,220330.2,0.0062,0.0,0.0,0.0062,0.0172,0.3556,0.0
claude,0.0005,oracle_infinite_hbm,220330.2,0.0062,0.0,0.0,0.0,0.0042,0.3556,0.0
claude,0.001,baseline_cpu_ssd,115411.1,0.0117,0.0059,0.0029,0.0,0.0509,0.3556,0.0165
claude,0.001,hbf_prefill_p4d4,115411.1,0.0117,0.0,0.0,0.0117,0.0495,0.3556,0.0
claude,0.001,oracle_infinite_hbm,115411.1,0.0117,0.0,0.0,0.0,0.008,0.3556,0.0
claude,0.002,baseline_cpu_ssd,57705.5,0.0234,0.0444,0.035,0.0,0.3991,0.3556,0.1249
claude,0.002,hbf_prefill_p4d4,57705.5,0.0234,0.0,0.0,0.0234,0.3987,0.3556,0.0
claude,0.002,oracle_infinite_hbm,57705.5,0.0234,0.0,0.0,0.0,0.0159,0.3556,0.0
claude,0.004,baseline_cpu_ssd,28852.8,0.0465,0.2208,0.1962,0.0,1.2331,0.3556,0.621
claude,0.004,hbf_prefill_p4d4,28852.8,0.0465,0.0,0.0,0.0465,1.2231,0.3556,0.0
claude,0.004,oracle_infinite_hbm,28852.8,0.0465,0.0,0.0,0.0,0.0324,0.3556,0.0
claude,0.006,baseline_cpu_ssd,19235.2,0.0724,1.077,0.9869,0.0,3.667,0.3556,3.0292
claude,0.006,hbf_prefill_p4d4,19235.2,0.0727,0.0,0.0,0.0727,3.6508,0.3556,0.0
claude,0.006,oracle_infinite_hbm,19235.2,0.0729,0.0,0.0,0.0,0.052,0.3556,0.0
claude,0.008,baseline_cpu_ssd,14426.4,0.0986,2.2989,2.1114,0.0,6.305,0.3556,6.4656
claude,0.008,hbf_prefill_p4d4,14426.4,0.0992,0.0564,0.0024,0.1016,6.2838,0.3556,0.1586
claude,0.008,oracle_infinite_hbm,14426.4,0.0999,0.0,0.0,0.0,0.0715,0.3556,0.0
claude,0.012,baseline_cpu_ssd,9579.6,0.136,3.081,2.9066,0.0,8.4304,0.3556,8.6652
claude,0.012,hbf_prefill_p4d4,9579.6,0.1361,0.3762,0.1716,0.3076,8.3671,0.3556,1.0581
claude,0.012,oracle_infinite_hbm,9579.6,0.1345,0.0,0.0,0.0,0.0973,0.3556,0.0
claude,0.016,baseline_cpu_ssd,7191.8,0.1684,3.3196,3.1679,0.0,9.3883,0.3556,9.3365
claude,0.016,hbf_prefill_p4d4,7191.8,0.1694,0.6566,0.3208,0.4901,9.7071,0.3556,1.8467
claude,0.016,oracle_infinite_hbm,7191.8,0.1705,0.0,0.0,0.0,0.1268,0.3556,0.0
claude,0.024,baseline_cpu_ssd,4799.3,0.2223,3.6455,3.4174,0.0,9.2586,0.3556,10.2529
claude,0.024,hbf_prefill_p4d4,4799.3,0.2218,1.0667,0.5614,0.7833,9.1523,0.3556,3.0001
claude,0.024,oracle_infinite_hbm,4799.3,0.2048,0.0,0.0,0.0,0.159,0.3556,0.0
claude,0.032,baseline_cpu_ssd,3595.9,0.268,4.2901,4.0983,0.0,9.1252,0.3556,12.0659
claude,0.032,hbf_prefill_p4d4,3595.9,0.2653,1.4237,0.5531,0.8184,8.8331,0.3556,4.0041
claude,0.032,oracle_infinite_hbm,3595.9,0.2369,0.0,0.0,0.0,0.1908,0.3556,0.0
codex,0.00025,baseline_cpu_ssd,177681.1,0.0107,0.0,0.0,0.0,0.0097,0.3556,0.0
codex,0.00025,hbf_prefill_p4d4,177681.1,0.0107,0.0,0.0,0.0107,0.0097,0.3556,0.0
codex,0.00025,oracle_infinite_hbm,177681.1,0.0107,0.0,0.0,0.0,0.0097,0.3556,0.0
codex,0.0005,baseline_cpu_ssd,88840.6,0.023,0.0,0.0,0.0,0.0211,0.3556,0.0
codex,0.0005,hbf_prefill_p4d4,88840.6,0.023,0.0,0.0,0.023,0.0213,0.3556,0.0
codex,0.0005,oracle_infinite_hbm,88840.6,0.023,0.0,0.0,0.0,0.0209,0.3556,0.0
codex,0.001,baseline_cpu_ssd,44420.3,0.0456,0.0,0.0,0.0,0.0457,0.3556,0.0
codex,0.001,hbf_prefill_p4d4,44420.3,0.0456,0.0,0.0,0.0456,0.0458,0.3556,0.0
codex,0.001,oracle_infinite_hbm,44420.3,0.0456,0.0,0.0,0.0,0.0415,0.3556,0.0
codex,0.002,baseline_cpu_ssd,21905.9,0.1078,0.0231,0.0073,0.0,0.1427,0.3556,0.0651
codex,0.002,hbf_prefill_p4d4,21905.9,0.1077,0.0,0.0,0.1077,0.1438,0.3556,0.0
codex,0.002,oracle_infinite_hbm,21905.9,0.1078,0.0,0.0,0.0,0.0988,0.3556,0.0
codex,0.003,baseline_cpu_ssd,14670.9,0.1809,0.0353,0.0173,0.0,0.3634,0.3556,0.0992
codex,0.003,hbf_prefill_p4d4,14670.9,0.1809,0.0,0.0,0.1809,0.3789,0.3556,0.0
codex,0.003,oracle_infinite_hbm,14670.9,0.1809,0.0,0.0,0.0,0.1662,0.3556,0.0
codex,0.004,baseline_cpu_ssd,11028.5,0.2233,0.0742,0.0435,0.0,0.6013,0.3556,0.2088
codex,0.004,hbf_prefill_p4d4,11028.5,0.2225,0.0,0.0,0.2225,0.5798,0.3556,0.0
codex,0.004,oracle_infinite_hbm,11028.5,0.2232,0.0,0.0,0.0,0.2045,0.3556,0.0
codex,0.006,baseline_cpu_ssd,7335.5,0.3334,0.2339,0.1616,0.0,1.5801,0.3556,0.6579
codex,0.006,hbf_prefill_p4d4,7335.5,0.3311,0.0,0.0,0.3311,1.5862,0.3556,0.0
codex,0.006,oracle_infinite_hbm,7335.5,0.3332,0.0,0.0,0.0,0.3063,0.3556,0.0
codex,0.008,baseline_cpu_ssd,5495.3,0.4512,0.4406,0.3443,0.0,4.8835,0.3556,1.2391
