family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.001,baseline_cpu_ssd,128k_256k,4015,0.535467,0.447402,0.75705,1.10395,4.559393,10.64822
claude,0.001,baseline_cpu_ssd,16k_64k,3370,0.246035,0.137368,0.462515,0.799789,2.125052,4.067324
claude,0.001,baseline_cpu_ssd,256k_512k,3589,1.074481,0.879023,1.515332,2.1307,7.787323,19.364114
claude,0.001,baseline_cpu_ssd,64k_128k,3360,0.329098,0.246023,0.508379,0.75855,3.657659,8.384356
claude,0.001,baseline_cpu_ssd,gt_512k,2093,1.995972,1.811139,2.646658,3.112975,9.274526,19.164758
claude,0.001,baseline_cpu_ssd,lt_16k,349,1.915015,0.079157,2.0933,5.526136,3.258771,6.19557
claude,0.001,hbf_prefill_p4d4,128k_256k,4015,0.538078,0.449958,0.761449,1.11104,4.563504,10.588467
claude,0.001,hbf_prefill_p4d4,16k_64k,3370,0.262342,0.142094,0.508597,0.878805,2.135609,4.100357
claude,0.001,hbf_prefill_p4d4,256k_512k,3589,1.067566,0.881042,1.481078,2.021721,7.777431,19.384879
claude,0.001,hbf_prefill_p4d4,64k_128k,3360,0.337215,0.249205,0.540867,0.860258,3.670495,8.391362
claude,0.001,hbf_prefill_p4d4,gt_512k,2093,1.956555,1.81101,2.639938,2.923338,9.220789,19.147814
claude,0.001,hbf_prefill_p4d4,lt_16k,349,2.048456,0.069325,2.490345,6.133615,3.369536,6.527351
claude,0.001,oracle_infinite_hbm,128k_256k,4015,0.530187,0.447608,0.756583,1.109721,4.555131,10.598518
claude,0.001,oracle_infinite_hbm,16k_64k,3370,0.2413,0.137025,0.457014,0.77965,2.114677,4.031824
claude,0.001,oracle_infinite_hbm,256k_512k,3589,1.049893,0.867513,1.467253,1.948691,7.767515,19.464105
claude,0.001,oracle_infinite_hbm,64k_128k,3360,0.327498,0.245872,0.518891,0.783431,3.653122,8.363366
claude,0.001,oracle_infinite_hbm,gt_512k,2093,1.883388,1.803016,2.611695,2.871107,9.154372,19.051497
claude,0.001,oracle_infinite_hbm,lt_16k,349,1.890725,0.060728,2.051657,5.340563,3.200189,5.966518
claude,0.002,baseline_cpu_ssd,128k_256k,4104,0.657582,0.46426,0.881892,1.398384,4.610156,9.798396
claude,0.002,baseline_cpu_ssd,16k_64k,3354,0.338397,0.141065,0.574602,1.017225,2.629324,5.36591
claude,0.002,baseline_cpu_ssd,256k_512k,3634,1.271731,0.964391,1.780279,2.450332,8.002663,19.363062
claude,0.002,baseline_cpu_ssd,64k_128k,3310,0.438315,0.2548,0.70338,1.231904,4.273559,9.482216
claude,0.002,baseline_cpu_ssd,gt_512k,2429,3.454321,2.092379,5.194385,8.351229,11.246942,24.308321
claude,0.002,baseline_cpu_ssd,lt_16k,344,1.682119,0.070275,2.007526,4.713843,3.127304,5.592277
claude,0.002,hbf_prefill_p4d4,128k_256k,4103,0.659821,0.466574,0.883763,1.444979,4.643601,10.079577
claude,0.002,hbf_prefill_p4d4,16k_64k,3354,0.352272,0.14688,0.64847,1.117659,2.653787,5.265957
claude,0.002,hbf_prefill_p4d4,256k_512k,3634,1.335105,0.972352,1.765718,2.519539,8.015358,18.551483
claude,0.002,hbf_prefill_p4d4,64k_128k,3310,0.449292,0.259594,0.756893,1.291949,4.285847,9.483404
