family,rate,system,output_tokens_per_s,slo_level,slo_good_tokens_per_s,capex_usd,power_w,energy_usd,ssd_sets_consumed,ssd_replacement_usd,tco_usd,tco_usd_per_hour,ssd_write_gb_per_s,ssd_budget_gb_per_s,ssd_endurance_multiple,good_tokens_per_usd_hour
claude,0.001,baseline_cpu_ssd,33.672703,ttft5_tpot100,33.1,292407.3486,7409.2093,27259.9628,0.0116,0.0,319667.3115,7.2983,0.0059,0.3556,0.017,4.54
claude,0.001,hbf_prefill_p4d4,33.672703,ttft5_tpot100,33.1,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,5.14
claude,0.002,baseline_cpu_ssd,68.320598,ttft5_tpot100,66.3,292407.3486,7409.2093,27259.9628,0.0874,0.0,319667.3115,7.2983,0.0444,0.3556,0.125,9.08
claude,0.002,hbf_prefill_p4d4,68.311985,ttft5_tpot100,66.4,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,10.3
claude,0.004,baseline_cpu_ssd,127.279587,ttft5_tpot100,121.5,292407.3486,7409.2093,27259.9628,0.4347,0.0,319667.3115,7.2983,0.2208,0.3556,0.621,16.65
claude,0.004,hbf_prefill_p4d4,127.389802,ttft5_tpot100,122.8,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,19.06
claude,0.006,baseline_cpu_ssd,184.379537,ttft5_tpot100,164.2,292407.3486,7409.2093,27259.9628,1.8703,3481.25,323148.5615,7.3778,0.95,0.3556,2.672,22.26
claude,0.006,hbf_prefill_p4d4,184.99441,ttft5_tpot100,169.4,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,26.29
codex,0.0005,baseline_cpu_ssd,21.803784,ttft5_tpot100,21.1,292407.3486,7409.2093,27259.9628,0.0,0.0,319667.3115,7.2983,0.0,0.3556,0.0,2.89
codex,0.0005,hbf_prefill_p4d4,21.803784,ttft5_tpot100,21.0,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,3.26
codex,0.001,baseline_cpu_ssd,42.725245,ttft5_tpot100,41.1,292407.3486,7409.2093,27259.9628,0.0,0.0,319667.3115,7.2983,0.0,0.3556,0.0,5.63
codex,0.001,hbf_prefill_p4d4,42.725245,ttft5_tpot100,40.8,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,6.33
codex,0.002,baseline_cpu_ssd,94.426968,ttft5_tpot100,88.8,292407.3486,7409.2093,27259.9628,0.0347,0.0,319667.3115,7.2983,0.0176,0.3556,0.05,12.17
codex,0.002,hbf_prefill_p4d4,94.379468,ttft5_tpot100,87.7,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,13.61
codex,0.004,baseline_cpu_ssd,212.177882,ttft5_tpot100,188.8,292407.3486,7409.2093,27259.9628,0.0799,0.0,319667.3115,7.2983,0.0406,0.3556,0.114,25.87
codex,0.004,hbf_prefill_p4d4,211.994363,ttft5_tpot100,185.5,249771.686,8829.6893,32486.1928,0.0,0.0,282257.8788,6.4442,0.0,0.3556,0.0,28.79
