family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.001,baseline_cpu_ssd,1h_4h,58,3.147473,0.598772,4.155667,14.228681,14.662517,34.41128
claude,0.001,baseline_cpu_ssd,1m_5m,1055,0.972071,0.463775,1.771582,2.582092,8.412863,22.373524
claude,0.001,baseline_cpu_ssd,30m_1h,167,1.916096,0.879266,2.391547,2.992334,7.262512,14.803061
claude,0.001,baseline_cpu_ssd,4h_12h,26,1.174571,0.793466,1.812456,3.402392,11.484981,22.633518
claude,0.001,baseline_cpu_ssd,5m_30m,681,1.278205,0.735767,2.271247,3.050546,7.999209,16.692061
claude,0.001,baseline_cpu_ssd,gt_12h,30,2.854496,1.237049,4.329549,10.404731,16.510425,31.118074
claude,0.001,baseline_cpu_ssd,lt_1m,14759,0.666765,0.389698,1.555285,2.101571,4.391297,10.065791
claude,0.001,hbf_prefill_p4d4,1h_4h,58,3.282061,0.64669,4.305002,15.04853,14.605243,34.182855
claude,0.001,hbf_prefill_p4d4,1m_5m,1055,1.004883,0.464546,1.736612,2.778811,8.450756,22.473858
claude,0.001,hbf_prefill_p4d4,30m_1h,167,1.813466,0.870718,2.203312,2.662016,7.232408,14.78366
claude,0.001,hbf_prefill_p4d4,4h_12h,26,1.044056,0.671092,1.758976,2.712704,11.358148,22.164078
claude,0.001,hbf_prefill_p4d4,5m_30m,681,1.250612,0.726673,2.25615,2.827894,7.880703,16.43437
claude,0.001,hbf_prefill_p4d4,gt_12h,30,2.35075,1.212659,3.35809,8.092414,16.09292,30.265273
claude,0.001,hbf_prefill_p4d4,lt_1m,14759,0.670128,0.398271,1.560954,2.110376,4.393063,10.07408
claude,0.001,oracle_infinite_hbm,1h_4h,58,3.068616,0.450155,4.072551,14.16367,14.204619,33.815863
claude,0.001,oracle_infinite_hbm,1m_5m,1055,0.932771,0.457901,1.68191,2.576714,8.404069,22.538669
claude,0.001,oracle_infinite_hbm,30m_1h,167,1.686976,0.774915,1.908165,2.425519,7.091082,14.70014
claude,0.001,oracle_infinite_hbm,4h_12h,26,0.849771,0.543509,1.571222,2.266277,11.161875,22.088398
claude,0.001,oracle_infinite_hbm,5m_30m,681,1.173149,0.697985,2.21541,2.617345,7.875677,16.27268
claude,0.001,oracle_infinite_hbm,gt_12h,30,2.14188,1.027583,3.294308,7.891326,15.900821,29.632479
claude,0.001,oracle_infinite_hbm,lt_1m,14759,0.652892,0.390787,1.540877,2.087582,4.371356,10.078488
claude,0.002,baseline_cpu_ssd,1h_4h,53,3.065584,0.78851,3.493103,11.906318,15.640447,44.39415
claude,0.002,baseline_cpu_ssd,1m_5m,1513,2.160774,0.981903,4.345905,5.086726,7.871825,18.077649
claude,0.002,baseline_cpu_ssd,30m_1h,131,2.070017,1.099499,2.518227,4.96487,9.781605,26.386871
claude,0.002,baseline_cpu_ssd,4h_12h,28,8.294656,0.833515,19.576261,39.286289,18.69364,40.06697
claude,0.002,baseline_cpu_ssd,5m_30m,623,2.018401,0.883715,3.870107,8.321608,9.567644,21.115569
