family,rate,system,window_s_mean,produced_kv_gb_per_s,ssd_write_gb_per_s,ssd_read_gb_per_s,hbf_media_write_gb_per_s,nvlink_handoff_gb_per_s,ssd_endurance_budget_gb_per_s,ssd_endurance_multiple
claude,0.001,baseline_cpu_ssd,115411.1,0.0117,0.0059,0.0029,0.0,0.0509,0.3556,0.0165
claude,0.001,hbf_prefill_p4d4,115411.1,0.0117,0.0,0.0,0.0117,0.0495,0.3556,0.0
claude,0.001,oracle_infinite_hbm,115411.1,0.0117,0.0,0.0,0.0,0.008,0.3556,0.0
claude,0.002,baseline_cpu_ssd,57705.5,0.0234,0.0444,0.035,0.0,0.3991,0.3556,0.1249
claude,0.002,hbf_prefill_p4d4,57705.5,0.0234,0.0,0.0,0.0234,0.3987,0.3556,0.0
claude,0.002,oracle_infinite_hbm,57705.5,0.0234,0.0,0.0,0.0,0.0159,0.3556,0.0
claude,0.004,baseline_cpu_ssd,28852.8,0.0465,0.2208,0.1962,0.0,1.2331,0.3556,0.621
claude,0.004,hbf_prefill_p4d4,28852.8,0.0465,0.0,0.0,0.0465,1.2231,0.3556,0.0
claude,0.004,oracle_infinite_hbm,28852.8,0.0465,0.0,0.0,0.0,0.0324,0.3556,0.0
claude,0.006,baseline_cpu_ssd,28800.0,0.0749,0.95,0.8724,0.0,3.3651,0.3556,2.6719
claude,0.006,hbf_prefill_p4d4,28800.0,0.075,0.0,0.0,0.075,3.3565,0.3556,0.0
claude,0.006,oracle_infinite_hbm,28800.0,0.0751,0.0,0.0,0.0,0.0543,0.3556,0.0
codex,0.0005,baseline_cpu_ssd,88840.6,0.023,0.0,0.0,0.0,0.0211,0.3556,0.0
codex,0.0005,hbf_prefill_p4d4,88840.6,0.023,0.0,0.0,0.023,0.0213,0.3556,0.0
codex,0.0005,oracle_infinite_hbm,88840.6,0.023,0.0,0.0,0.0,0.0209,0.3556,0.0
codex,0.001,baseline_cpu_ssd,44420.3,0.0456,0.0,0.0,0.0,0.0457,0.3556,0.0
codex,0.001,hbf_prefill_p4d4,44420.3,0.0456,0.0,0.0,0.0456,0.0458,0.3556,0.0
codex,0.001,oracle_infinite_hbm,44420.3,0.0456,0.0,0.0,0.0,0.0415,0.3556,0.0
codex,0.002,baseline_cpu_ssd,28800.0,0.1104,0.0176,0.0059,0.0,0.137,0.3556,0.0495
codex,0.002,hbf_prefill_p4d4,28800.0,0.1103,0.0,0.0,0.1103,0.1381,0.3556,0.0
codex,0.002,oracle_infinite_hbm,28800.0,0.1105,0.0,0.0,0.0,0.1016,0.3556,0.0
codex,0.004,baseline_cpu_ssd,28800.0,0.2582,0.0406,0.0258,0.0,0.584,0.3556,0.1141
codex,0.004,hbf_prefill_p4d4,28800.0,0.2579,0.0,0.0,0.2579,0.5757,0.3556,0.0
codex,0.004,oracle_infinite_hbm,28800.0,0.2583,0.0,0.0,0.0,0.2383,0.3556,0.0
