family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.002,baseline_cpu_ssd,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,baseline_cpu_ssd,1m_5m,98,1.16561,0.243075,1.533186,2.955977,4.727837,10.287455
claude,0.002,baseline_cpu_ssd,30m_1h,3,1.435234,0.65711,2.81056,3.079742,10.876454,21.035878
claude,0.002,baseline_cpu_ssd,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,baseline_cpu_ssd,5m_30m,25,1.051553,0.242221,0.996707,1.669905,3.556103,8.297066
claude,0.002,baseline_cpu_ssd,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,baseline_cpu_ssd,lt_1m,1263,1.075859,0.242507,1.091873,2.587345,4.438693,9.731019
claude,0.002,hbf_prefill_p4d4,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,hbf_prefill_p4d4,1m_5m,98,1.251446,0.25379,1.551711,3.495321,4.821924,10.398904
claude,0.002,hbf_prefill_p4d4,30m_1h,3,1.460631,0.659147,2.869167,3.14542,10.882578,21.039989
claude,0.002,hbf_prefill_p4d4,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,hbf_prefill_p4d4,5m_30m,25,1.00306,0.239038,0.782263,1.005399,3.527476,8.439796
claude,0.002,hbf_prefill_p4d4,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,hbf_prefill_p4d4,lt_1m,1263,1.149047,0.246203,1.134535,2.543647,4.512859,9.843952
claude,0.002,oracle_infinite_hbm,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,oracle_infinite_hbm,1m_5m,98,1.165369,0.244479,1.533186,2.955977,4.727658,10.287455
claude,0.002,oracle_infinite_hbm,30m_1h,3,1.438802,0.667814,2.812701,3.080812,10.880359,21.036135
claude,0.002,oracle_infinite_hbm,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,oracle_infinite_hbm,5m_30m,25,1.051577,0.242221,0.996707,1.667862,3.556273,8.295811
claude,0.002,oracle_infinite_hbm,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.002,oracle_infinite_hbm,lt_1m,1263,1.075863,0.242507,1.091873,2.587345,4.438696,9.731019
claude,0.008,baseline_cpu_ssd,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,baseline_cpu_ssd,1m_5m,125,17.935641,1.309493,26.506093,50.213243,29.235761,60.485396
claude,0.008,baseline_cpu_ssd,30m_1h,9,0.411134,0.20645,0.866805,1.163854,7.167814,18.454949
claude,0.008,baseline_cpu_ssd,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,baseline_cpu_ssd,5m_30m,30,18.023828,0.37459,20.477078,108.695617,25.551646,33.712418
claude,0.008,baseline_cpu_ssd,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,baseline_cpu_ssd,lt_1m,2394,6.756461,1.091671,16.900664,25.998405,15.652629,31.270243
claude,0.008,hbf_prefill_p4d4,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,hbf_prefill_p4d4,1m_5m,125,16.98686,1.418363,20.772364,68.42557,27.937101,58.371044
claude,0.008,hbf_prefill_p4d4,30m_1h,9,0.886997,0.497401,1.971391,2.735053,7.435396,20.596637
claude,0.008,hbf_prefill_p4d4,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,hbf_prefill_p4d4,5m_30m,30,13.935025,0.32259,22.434686,56.229445,21.7206,34.15611
claude,0.008,hbf_prefill_p4d4,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,hbf_prefill_p4d4,lt_1m,2396,6.657694,1.176337,16.799926,22.42037,15.378063,29.550027
claude,0.008,oracle_infinite_hbm,1h_4h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,oracle_infinite_hbm,1m_5m,125,5.697165,0.662075,21.134473,32.84632,23.110666,48.537568
claude,0.008,oracle_infinite_hbm,30m_1h,9,0.358693,0.20703,0.791738,1.039587,7.931188,23.629046
claude,0.008,oracle_infinite_hbm,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,oracle_infinite_hbm,5m_30m,30,1.592112,0.246462,1.225121,10.406762,11.989578,31.470193
claude,0.008,oracle_infinite_hbm,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.008,oracle_infinite_hbm,lt_1m,2396,4.21661,0.464364,17.641405,25.788224,18.415629,38.696279
claude,0.032,baseline_cpu_ssd,1h_4h,5,180.567073,104.998918,321.439947,323.099838,195.7546,355.097072
claude,0.032,baseline_cpu_ssd,1m_5m,168,105.758554,65.258815,195.471277,416.623244,114.679608,206.445016
claude,0.032,baseline_cpu_ssd,30m_1h,2,72.452138,72.452138,104.950015,109.012249,98.902483,146.686383
claude,0.032,baseline_cpu_ssd,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.032,baseline_cpu_ssd,5m_30m,27,137.215818,104.927068,268.549803,342.392102,144.344492,273.143932
claude,0.032,baseline_cpu_ssd,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.032,baseline_cpu_ssd,lt_1m,2566,77.566153,65.699862,123.60842,173.579428,84.646324,136.930263
claude,0.032,hbf_prefill_p4d4,1h_4h,5,145.788556,107.642756,235.570809,236.852964,163.027975,273.684113
claude,0.032,hbf_prefill_p4d4,1m_5m,172,89.16156,55.890276,228.361681,357.975401,99.738205,263.511156
claude,0.032,hbf_prefill_p4d4,30m_1h,3,154.429416,88.428129,288.722708,313.75953,182.689197,313.483548
claude,0.032,hbf_prefill_p4d4,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.032,hbf_prefill_p4d4,5m_30m,32,162.344978,96.426743,334.281698,522.289089,175.662559,337.816646
claude,0.032,hbf_prefill_p4d4,gt_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,0.032,hbf_prefill_p4d4,lt_1m,2686,70.142114,63.50457,119.706124,168.432709,78.471899,141.918328
claude,0.032,oracle_infinite_hbm,1h_4h,6,35.095794,17.871018,84.830403,89.579219,255.045574,483.358844
claude,0.032,oracle_infinite_hbm,1m_5m,187,65.006099,83.799921,95.985094,97.573252,113.07198,179.530922
claude,0.032,oracle_infinite_hbm,30m_1h,2,1.666123,1.666123,2.730426,2.863464,153.200386,194.331344
claude,0.032,oracle_infinite_hbm,4h_12h,0,0.0,0.0,0.0,0.0,0.0,0.0
