family,rate,slo_level,target_concurrency,baseline_goodput_tok_s,hbf_goodput_tok_s,oracle_goodput_tok_s,baseline_tco_usd,hbf_tco_usd,baseline_capex_usd,hbf_capex_usd,baseline_opex_usd,hbf_opex_usd,baseline_it_power_w,hbf_it_power_w,baseline_goodput_per_musd,hbf_goodput_per_musd,hbf_over_baseline_goodput,hbf_over_baseline_tco,hbf_over_baseline_goodput_per_dollar,hbf_occupied_bytes,retention_window_h,stale_byte_share,hbf_workload_write_bytes,hbf_refresh_write_bytes,hbf_write_bytes,refresh_share_of_writes,measurement_window_s,hbf_workload_tb_per_day,hbf_refresh_tb_per_day,hbf_write_tb_per_day,endurance_years_slc_100k_waf1,endurance_years_slc_100k_waf2,endurance_years_slc_100k_waf4
claude,0.0005,tight,11.0,12.250208021552387,12.707802937995487,12.264501716614163,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,19.323109503195543,23.32446956180188,1.0373540527342908,0.8593938610889403,1.207076405479388,155252850688.0,24.0,0.7167017776638553,608765247488.0,283751678743.9567,892516926231.9568,0.31792302241471704,220330.244889286,0.2387203690959128,0.1112699940754707,0.3499903631713835,7967.777359028378,3983.888679514189,1991.9443397570944
claude,0.001,tight,21.0,23.816309355822014,24.746921905234476,23.893384566302235,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,37.56712970382772,45.4216066729453,1.0390745910925518,0.8593938610889403,1.2090784425384857,196758241280.0,24.0,0.7167017776638553,668160983040.0,188367155117.93045,856528138157.9304,0.21991940104038765,115411.08065629301,0.5002042144166355,0.14101698129538978,0.6412211957120253,4348.959938010937,2174.4799690054683,1087.2399845027342
claude,0.002,tight,42.0,45.22442706817725,47.4255848647718,45.91965782831795,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,71.33565037591329,87.04703842405576,1.048671877993639,0.8593938610889403,1.2202459494705538,248001003520.0,24.0,0.7167017776638553,701263839232.0,118712291783.94351,819976131015.9435,0.14477530173574685,57705.540328145995,1.0499718981071962,0.177742760085204,1.2277146581923999,2271.4115800009035,1135.7057900004518,567.8528950002259
claude,0.004,tight,84.0,102.9992954957391,108.7110636343333,104.29161508196826,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,162.46798928757693,199.53314566979594,1.0554544388978901,0.8593938610889403,1.2281382107623169,447955697664.0,24.0,0.7167017776638553,862108286976.0,107212968360.18698,969321255336.187,0.11060622860581201,28852.770164072997,2.581594611926565,0.3210506448304413,2.9026452567570065,960.7254917091368,480.3627458545684,240.1813729272842
claude,0.008,tight,168.0,212.9334999168852,242.63773034119802,234.0812555695861,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,335.87489523065614,445.3481363774336,1.13950003374719,0.8593938610889403,1.3259345747517053,858596311040.0,24.0,0.7167017776638553,1070970929152.0,102747503391.22589,1173718432543.2258,0.08754016341772147,14426.385082036,6.414073085707049,0.6153575024179965,7.029430588125046,396.7099833471549,198.35499167357744,99.17749583678872
claude,0.016,tight,337.0,384.70426399953845,575.1102644015754,606.4531405429229,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,606.8209296144921,1055.5830871918058,1.4949412268595634,0.8593938610889403,1.7395297948315793,1718557605888.0,24.0,0.7167017776638553,1464306597888.0,102524045539.40741,1566830643427.4075,0.06543403141206015,7191.788408849,17.59174253539688,1.231693291157669,18.82343582655455,148.14751766099351,74.07375883049676,37.03687941524838
claude,0.032,tight,674.0,67.69971143769928,320.6888007387072,593.5415630528948,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,106.78748762011858,588.6065599330574,4.736930098052506,0.8593938610889403,5.511943141006766,3496097120256.0,24.0,0.7167017776638553,1500059336704.0,104283388330.77988,1604342725034.7798,0.06500069262228192,3595.894204424,36.04253054268767,2.5056590209729603,38.548189563660635,72.34179667373857,36.170898336869286,18.085449168434643
codex,0.0005,tight,18.0,19.306628472475495,19.726196596197077,19.344584109365318,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,30.45369478255447,36.206343010123405,1.0217318173558754,0.8593938610889403,1.1888982032769426,122200752128.0,24.0,0.7576807165703286,1380894277632.0,95204538801.21916,1476098816433.2192,0.06449740203116432,88840.559039708,1.3429594194030068,0.09258915343777616,1.4355485728407829,1942.5642185249537,971.2821092624769,485.64105463123843
codex,0.001,tight,36.0,43.689894667725234,45.327404999783255,44.14022951964932,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,68.91512514418108,83.1959453094634,1.03748029938071,0.8593938610889403,1.2072233074438252,219710521344.0,24.0,0.7576807165703286,2012702015488.0,85586375247.59595,2098288390735.596,0.0407886616660887,44420.279519854,3.9148212487145284,0.1664704252499624,4.081291673964491,683.2751771564101,341.63758857820505,170.81879428910253
codex,0.002,tight,73.0,96.4140334349001,104.2700023100478,100.0321925420947,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,152.08059507476372,191.38182319605193,1.0814815913748919,0.8593938610889403,1.2584236871375176,411393261568.0,24.0,0.7576807165703286,2533053005824.0,79029747331.76363,2612082753155.7637,0.030255453138413997,21905.891270065,9.990727015169021,0.3117047412170469,10.302431756386069,270.67835609068686,135.33917804534343,67.66958902267172
