family,rate,hbf_system,slo_level,target_concurrency,baseline_goodput_tok_s,hbf_goodput_tok_s,oracle_goodput_tok_s,baseline_tco_usd,hbf_tco_usd,baseline_capex_usd,hbf_capex_usd,baseline_opex_usd,hbf_opex_usd,baseline_it_power_w,hbf_it_power_w,baseline_goodput_per_musd,hbf_goodput_per_musd,hbf_over_baseline_goodput,hbf_over_baseline_tco,hbf_over_baseline_goodput_per_dollar,hbf_occupied_bytes,retention_window_h,stale_byte_share,hbf_workload_write_bytes,hbf_refresh_write_bytes,hbf_write_bytes,refresh_share_of_writes,measurement_window_s,hbf_workload_tb_per_day,hbf_refresh_tb_per_day,hbf_write_tb_per_day,endurance_years_slc_100k_waf1,endurance_years_slc_100k_waf2,endurance_years_slc_100k_waf4
claude,0.008,hbf_tp8_context,ttft5_tpot100,168.0,189.41162213967175,204.17051695561065,203.16447837300882,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,298.77219303896885,374.74369341296017,1.0779196896643213,0.8593938610889403,1.254279019748275,937842720768.0,24.0,0.7167017776638553,1162319659008.0,112230855052.04012,1274550514060.04,0.08805524285932953,14426.385082036,6.961163033374281,0.6721535451435323,7.633316578517812,365.32551255676464,182.66275627838232,91.33137813919116
claude,0.008,hbf_tp4x2,ttft5_tpot100,168.0,189.41162213967175,203.1701624026208,203.16447837300882,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,298.77219303896885,372.9075979497186,1.0726383107199384,0.8593938610889403,1.2481335500358306,937015640064.0,24.0,0.7167017776638553,1455048278016.0,112131878995.01964,1567180157011.0195,0.0715500885417548,14426.385082036,8.714322438067072,0.6715607749327039,9.385883212999776,297.11058919768976,148.55529459884488,74.27764729942244
claude,0.016,hbf_tp8_context,ttft5_tpot100,337.0,413.6628236085892,503.9836816584104,516.0311718061172,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,652.499290128536,925.0341778073467,1.2183441510694795,0.8593938610889403,1.417678443182864,1734553436160.0,24.0,0.7167017776638553,1760218742784.0,103478309292.7017,1863697052076.7017,0.055523138364895044,7191.788408849,21.146742747521614,1.2431575311488205,22.389900278670435,124.54925019079472,62.27462509539736,31.13731254769868
claude,0.016,hbf_tp4x2,ttft5_tpot100,337.0,413.6628236085892,495.72975417537134,516.0311718061172,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,652.499290128536,909.8845503475247,1.1983908775047054,0.8593938610889403,1.3944605980617792,1730786279424.0,24.0,0.7167017776638553,2323268812800.0,103253571903.95634,2426522384703.9565,0.04255207887420895,7191.788408849,27.91105828126632,1.240457603219391,29.15151588448571,95.66038701401361,47.830193507006804,23.915096753503402
claude,0.024,hbf_tp8_context,ttft5_tpot100,505.0,481.4058636003271,764.9423692610633,879.9686532418248,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,759.3551229059639,1404.009418104546,1.588976011925218,0.8593938610889403,1.8489496886931707,2684647587840.0,24.0,0.7167017776638553,2176328318976.0,106877785720.92456,2283206104696.925,0.046810397668900605,4799.272660954,39.17984662328996,1.9240916986059091,41.103938321895875,67.84374941681854,33.92187470840927,16.960937354204635
claude,0.024,hbf_tp4x2,ttft5_tpot100,505.0,481.4058636003271,801.2298470317849,879.9686532418248,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,759.3551229059639,1470.6130768854923,1.6643541502373185,0.8593938610889403,1.9366605064276474,2684647587840.0,24.0,0.7167017776638553,2998866690048.0,106877785720.92456,3105744475768.925,0.03441293594974957,4799.272660954,53.987781133619286,1.9240916986059091,55.9118728322252,49.8757267516858,24.9378633758429,12.46893168792145
claude,0.028,hbf_tp8_context,ttft5_tpot100,590.0,407.309462581821,819.415105719311,985.9727120082864,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,642.477689628562,1503.9911135768295,2.0117752740760486,0.8593938610889403,2.3409234870806763,3055196110848.0,24.0,0.7167017776638553,2217381199872.0,104106686111.99431,2321487885983.994,0.04484481126976343,4107.852023359,46.637935003385046,2.189664483756459,48.827599487141505,57.11207023989462,28.55603511994731,14.278017559973655
claude,0.028,hbf_tp4x2,ttft5_tpot100,590.0,407.309462581821,889.6844334260002,985.9727120082864,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,642.477689628562,1632.9665787473248,2.1842960087068417,0.8593938610889403,2.541670481493915,3052185354240.0,24.0,0.7167017776638553,2970639925248.0,104004093714.7221,3074644018962.722,0.03382638545252126,4107.852023359,62.48114296277718,2.187506669143392,64.66864963192059,43.12205848471261,21.561029242356305,10.780514621178153
claude,0.032,hbf_tp8_context,ttft5_tpot100,674.0,255.23804311896245,859.3418839181286,1005.8346531858996,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,402.6048086605519,1577.274507043272,3.3668252327009216,0.8593938610889403,3.9176742878228246,3478267527168.0,24.0,0.7167017776638553,2218112188416.0,103751558030.9284,2321863746446.928,0.0446846022681977,3595.894204424,53.29547594680712,2.492880519911768,55.78835646671888,49.98615245492423,24.993076227462115,12.496538113731058
claude,0.032,hbf_tp4x2,ttft5_tpot100,674.0,255.23804311896245,876.0456567727645,1005.8346531858996,633966.7029018555,544827.0926086507,579814.697265625,481623.3719644202,54152.00563623046,63203.72064423047,14718.418579101562,17178.658579101564,402.6048086605519,1607.9333584132683,3.4322691322486487,0.8593938610889403,3.9938255177894932,3478197829632.0,24.0,0.7167017776638553,2978834350080.0,103749479056.8718,3082583829136.8716,0.03365666103747836,3595.894204424,71.57365406642668,2.492830567563818,74.0664846339905,37.65056901695192,18.82528450847596,9.41264225423798
