family,rate,system,label,seed,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,101,440.033,440.033,440.033,385.264,385.264,385.264,411.052,411.052,411.052,158.299,293.954,396.127,554.692,0.771566,0.771566,0.771566,0.671143,0.671143,0.671143,0.712305,0.712305,0.712305,0.628229,0.831411,0.927894,0.685214,122.446,10.0298,27.2619,18.3686,5.60297,161.372
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,102,449.369,449.369,449.369,386.998,386.998,386.998,416.274,416.274,416.274,172.382,318.75,418.384,571.778,0.827037,0.827037,0.827037,0.731975,0.731975,0.731975,0.772469,0.772469,0.772469,0.683333,0.858519,0.935556,0.682478,129.54,12.5021,26.5862,16.344,4.27317,152.55
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,103,436.34,436.34,436.34,372.786,372.786,372.786,400.353,400.353,400.353,194.819,336.987,431.529,531.372,0.819705,0.819705,0.819705,0.708815,0.708815,0.708815,0.752958,0.752958,0.752958,0.685281,0.869964,0.95466,0.555329,90.7314,8.50514,27.3513,14.0358,4.03163,117.418
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,104,556.2,556.2,556.2,497.023,497.023,497.023,523.993,523.993,523.993,177.779,369.13,502.263,692.245,0.815036,0.815036,0.815036,0.726718,0.726718,0.726718,0.767417,0.767417,0.767417,0.649894,0.85855,0.953554,0.700656,92.574,13.9585,27.7154,15.8804,5.01432,136.279
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,105,499.82,499.82,499.82,435.653,435.653,435.653,467.366,467.366,467.366,185.856,352.654,463.877,604.968,0.839304,0.839304,0.839304,0.736,0.736,0.736,0.787014,0.787014,0.787014,0.687768,0.87687,0.958609,0.701231,82.3823,14.3665,26.3769,14.1227,4.65476,126.712
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,106,530.666,530.666,530.666,421.51,421.51,421.51,469.082,469.082,469.082,137.092,305.449,451.85,714.487,0.779343,0.779343,0.779343,0.64379,0.64379,0.64379,0.703329,0.703329,0.703329,0.598682,0.826383,0.934326,1.04109,101.025,18.2459,28.5604,18.7023,6.35611,158.432
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,107,392.667,392.667,392.667,340.934,340.934,340.934,364.078,364.078,364.078,158.4,291.389,384.845,483.786,0.801216,0.801216,0.801216,0.71117,0.71117,0.71117,0.747219,0.747219,0.747219,0.663403,0.858775,0.942887,0.547925,124.56,10.9812,24.7084,15.7854,4.54859,145.923
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,108,457.551,457.551,457.551,397.851,397.851,397.851,418.781,418.781,418.781,155.329,320.123,427.644,570.648,0.783423,0.783423,0.783423,0.689627,0.689627,0.689627,0.729849,0.729849,0.729849,0.625142,0.834229,0.929165,0.586099,128.256,8.97093,25.1789,17.9363,5.3785,149.935
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,109,606.939,606.939,606.939,539.92,539.92,539.92,570.946,570.946,570.946,189.742,394.243,534.491,748.298,0.823102,0.823102,0.823102,0.736903,0.736903,0.736903,0.77556,0.77556,0.77556,0.641819,0.853104,0.943342,0.573014,121.519,11.8785,25.002,17.5668,5.30807,186.466
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,110,533.839,533.839,533.839,473.29,473.29,473.29,502.895,502.895,502.895,161.357,323.512,450.175,637.455,0.822727,0.822727,0.822727,0.737362,0.737362,0.737362,0.778722,0.778722,0.778722,0.649909,0.846818,0.944576,0.726192,94.0686,11.6511,24.5,16.1139,5.14981,134.035
