family,system,slo_level,max_rate_pass90,goodput_at_max
claude,baseline_cpu_ssd,turn10,,
claude,baseline_cpu_ssd,turn30,,
claude,baseline_cpu_ssd,turn60,,
claude,baseline_cpu_ssd,ttft5_tpot100,,
claude,hbf_tp4x2,turn10,,
claude,hbf_tp4x2,turn30,,
claude,hbf_tp4x2,turn60,0.02,418.1
claude,hbf_tp4x2,ttft5_tpot100,,
claude,oracle_infinite_hbm,turn10,,
claude,oracle_infinite_hbm,turn30,,
claude,oracle_infinite_hbm,turn60,0.02,398.7
claude,oracle_infinite_hbm,ttft5_tpot100,0.032,776.2
codex,baseline_cpu_ssd,turn10,,
codex,baseline_cpu_ssd,turn30,0.0135,744.7
codex,baseline_cpu_ssd,turn60,0.0165,1021.0
codex,baseline_cpu_ssd,ttft5_tpot100,0.0075,498.2
codex,hbf_tp4x2,turn10,,
codex,hbf_tp4x2,turn30,0.015,829.2
codex,hbf_tp4x2,turn60,0.0165,1102.6
codex,hbf_tp4x2,ttft5_tpot100,,
codex,oracle_infinite_hbm,turn10,,
codex,oracle_infinite_hbm,turn30,0.015,821.3
codex,oracle_infinite_hbm,turn60,0.0165,1104.3
codex,oracle_infinite_hbm,ttft5_tpot100,0.0075,510.6
