family,rate,system,label,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,n_seeds,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.016,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,440.584,440.584,440.584,367.723,367.723,367.723,399.557,399.557,399.557,118.755,262.922,375.22,2,586.363,0.816349,0.816349,0.816349,0.717069,0.717069,0.717069,0.763909,0.763909,0.763909,0.595766,0.803088,0.893193,0.650869,247.318,15.3082,25.3105,28.8578,6.58561,275.984
claude,0.016,hbf_tp4x2,GPU+HBF (tp4x2),557.663,557.879,504.123,518.745,518.956,468.961,536.55,536.762,484.126,131.403,291.279,409.206,2,614.791,0.917665,0.919847,0.835324,0.860203,0.861626,0.783026,0.886032,0.887712,0.805953,0.616275,0.844817,0.93336,0.416803,49.1365,10.7672,83.7685,18.1958,6.14394,181.018
claude,0.016,hbf_tp8_context,GPU+HBF (tp8_context),599.514,599.635,593.327,575.901,576.019,569.774,587.409,587.53,581.279,131.199,289.184,411.874,2,624.311,0.958279,0.959674,0.937587,0.930263,0.931087,0.909978,0.943947,0.945261,0.923336,0.645923,0.858836,0.942207,0.235755,35.1737,16.126,59.8354,16.4343,5.53427,169.585
claude,0.016,oracle_infinite_hbm,Infinite-HBM oracle,618.778,618.778,584.538,581.41,581.41,550.689,605.425,605.425,573.838,154.702,313.828,436.323,2,627.904,0.989251,0.989332,0.933388,0.94145,0.941531,0.891531,0.973046,0.973127,0.920033,0.694137,0.884039,0.950896,0.378188,9.13181,13.794,59.7224,15.411,5.16174,179.767
claude,0.02,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,401.67,401.67,401.67,282,282,282,338.541,338.541,338.541,72.7905,202.108,332.675,2,639.74,0.698383,0.698383,0.698383,0.531159,0.531159,0.531159,0.60959,0.60959,0.60959,0.454661,0.703273,0.832763,2.36305,332.458,19.9696,27.4784,40.8206,12.0861,351.161
claude,0.02,hbf_tp4x2,GPU+HBF (tp4x2),619.102,620.258,492.891,570.351,571.49,450.46,591.496,592.649,466.946,100.956,253.098,391.517,2,694.151,0.897898,0.903965,0.730387,0.839131,0.844222,0.680294,0.866047,0.871758,0.70185,0.520322,0.779319,0.897634,0.465543,65.231,22.3973,99.7985,25.3851,9.1812,237.045
claude,0.02,hbf_tp8_context,GPU+HBF (tp8_context),642.9,643.3,511.309,619.521,619.918,489.725,630.604,631.004,500.276,107.101,249.745,378.596,2,682.228,0.946272,0.949239,0.778921,0.921908,0.924603,0.756541,0.934848,0.937816,0.76813,0.544982,0.79356,0.901731,0.268562,36.0391,30.6665,85.989,24.4679,8.34022,241.445
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,688.074,688.077,547.494,646.758,646.761,517.705,668.234,668.237,532.3,104.582,259.135,383.709,2,698.577,0.985095,0.98645,0.771103,0.934951,0.936215,0.737271,0.964353,0.965709,0.758275,0.552345,0.811929,0.908139,0.416121,12.7338,26.9273,81.1897,23.8614,8.39873,255.716
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,294.398,294.398,294.398,180.05,180.05,180.05,221.238,221.238,221.238,51.0051,152.579,278.306,2,619.975,0.572274,0.572274,0.572274,0.397369,0.397369,0.397369,0.46757,0.46757,0.46757,0.364879,0.60828,0.757955,6.22139,635.907,21.404,27.9251,61.732,18.2271,649.819
claude,0.024,hbf_tp4x2,GPU+HBF (tp4x2),655.524,660.973,382.369,586.713,592.002,328,620.969,626.364,352.598,96.6546,257.474,392.411,2,758.726,0.868612,0.890437,0.563497,0.794871,0.81406,0.504034,0.830925,0.851427,0.532049,0.465091,0.749847,0.875784,0.511765,59.8952,31.6361,122.897,29.904,11.4245,269.308
