instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,711600111,140692335,3739551,15137413,11414083,"[11043655, 11381158, 11647866, 11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089]"
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,822347845,775421037,0,11327007,11073826,"[10978414, 10978254, 10977998, 10977742, 10977390, 10977006, 10976590, 10976974, 10977294, 10977518, 10977678, 10977774, 10977774, 10977710, 10977550, 10977326, 10977006, 10976622, 10976142, 10975598, 10974990, 10974286, 10973518, 10973838, 10974190, 10974510, 10974830, 11464488, 10920963, 10921347, 10921699, 10924995, 10928291, 10931587, 10934883, 10938179, 10941475, 10944771, 10948067, 11369489, 10976140, 10981068, 10986028, 10990956, 10995916, 11000844, 11005804, 11397862, 11043655, 11381158, 11647866, 11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335]"
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,922958924,111022068,10410989,21819161,11150363,"[11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,1262540133,782926612,6727561,18097050,11247493,"[10976140, 10981068, 10986028, 10990956, 10995916, 11000844, 11005804, 11397862, 11043655, 11381158, 11647866, 11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335, 11408172, 11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346, 11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,1317989584,713159691,3640109,15287975,11255995,"[11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335, 11408172, 11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346, 11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1329070006,302099929,6809797,18319837,11351203,"[11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383, 11080422]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,1517297613,1169358661,6681385,18145873,11176823,"[10920963, 10921347, 10921699, 10924995, 10928291, 10931587, 10934883, 10938179, 10941475, 10944771, 10948067, 11369489, 10976140, 10981068, 10986028, 10990956, 10995916, 11000844, 11005804, 11397862, 11043655, 11381158, 11647866, 11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335, 11408172, 11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346, 11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383, 11080422, 11069671, 11070055, 11070407, 11070727, 11071079, 11071399, 11071719, 11072039, 11072327, 11072615, 11072903, 11073159, 11073415, 11073671, 11073895, 11074151, 11074375]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,1561468253,950654484,9304099,20923591,11201577,"[11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335, 11408172, 11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346, 11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383, 11080422, 11069671, 11070055, 11070407, 11070727, 11071079, 11071399, 11071719, 11072039, 11072327, 11072615, 11072903, 11073159, 11073415, 11073671, 11073895, 11074151, 11074375, 11042092, 11042476, 11042860, 11043212]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,1561468253,657623182,7394507,19113853,11201918,"[11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383, 11080422, 11069671, 11070055, 11070407, 11070727, 11071079, 11071399, 11071719, 11072039, 11072327, 11072615, 11072903, 11073159, 11073415, 11073671, 11073895, 11074151, 11074375, 11042092, 11042476, 11042860, 11043212]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,1671919753,1084049490,9218581,20599739,11194207,"[11647866, 11619492, 11404745, 11405865, 11407145, 11408585, 11410249, 11412073, 11414089, 11067119, 11068815, 11070639, 11072591, 11074671, 11076879, 11078159, 11078895, 11079631, 11080335, 11408172, 11064143, 11065583, 11067119, 11068815, 11070639, 11072591, 11074671, 11719346, 11079151, 11079855, 11080559, 11081231, 11081871, 11082479, 11083087, 11083695, 11084239, 11084783, 11510040, 11430889, 11431401, 11431913, 11432393, 11432841, 11433257, 11433641, 11434025, 11434345, 11434665, 11434921, 11435177, 11435401, 11435593, 11435753, 11435881, 11435977, 11436041, 11436105, 11089359, 11089647, 11089903, 11090159, 11090383, 11080422, 11069671, 11070055, 11070407, 11070727, 11071079, 11071399, 11071719, 11072039, 11072327, 11072615, 11072903, 11073159, 11073415, 11073671, 11073895, 11074151, 11074375, 11042092, 11042476, 11042860, 11043212, 11037742, 11039374, 11041038, 11042670, 11044334, 11045966, 11047630, 11049262, 11050926, 11052558]"
