prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.69067
0,0,1,32,7.72267
0,0,1,64,7.81833
0,0,1,128,11.0933
0,0,1,256,11.4557
0,0,1,512,12.48
0,0,1,768,12.854
0,0,1,1024,12.7687
0,0,1,1152,13.3757
0,0,1,1728,14.2713
0,0,1,2048,14.3043
0,0,1,2592,15.9033
0,0,1,3888,18.539
0,0,1,4096,18.176
0,0,1,5832,22.0057
0,0,1,8192,27.8517
0,0,1,8748,29.6003
0,0,1,13122,35.424
0,0,1,16384,39.5307
0,0,2,16,12.202
0,0,2,32,12.2133
0,0,2,64,12.32
0,0,2,128,14.539
0,0,2,256,14.934
0,0,2,512,16.1493
0,0,2,768,16.843
0,0,2,1024,17.2273
0,0,2,1152,18.1547
0,0,2,1728,20.5653
0,0,2,2048,21.2047
0,0,2,2592,24.1063
0,0,2,3888,29.3543
0,0,2,4096,29.653
0,0,2,5832,37.8233
0,0,2,8192,40.4697
0,0,2,8748,43.775
0,0,2,13122,55.2963
0,0,2,16384,65.718
0,0,4,16,12.3627
0,0,4,32,12.3633
0,0,4,64,12.4373
0,0,4,128,14.784
0,0,4,256,15.1897
0,0,4,512,17.2263
0,0,4,768,18.7317
0,0,4,1024,19.8403
0,0,4,1152,21.5037
0,0,4,1728,25.5253
0,0,4,2048,26.8697
0,0,4,2592,31.1577
0,0,4,3888,38.528
0,0,4,4096,38.4317
0,0,4,5832,49.5257
0,0,4,8192,60.6833
0,0,4,8748,65.0777
0,0,4,13122,90.0377
0,0,4,16384,108.395
0,0,8,16,12.704
0,0,8,32,12.9283
0,0,8,64,12.864
0,0,8,128,14.8807
0,0,8,256,16.277
0,0,8,512,19.8513
0,0,8,768,23.36
0,0,8,1024,25.707
0,0,8,1152,27.9033
0,0,8,1728,35.52
0,0,8,2048,36.7787
0,0,8,2592,43.5413
0,0,8,3888,57.2697
0,0,8,4096,59.168
0,0,8,5832,80.704
0,0,8,8192,108.735
0,0,8,8748,115.178
0,0,8,13122,163.435
0,0,8,16384,198.71
0,0,16,16,12.673
0,0,16,32,12.9273
0,0,16,64,13.153
0,0,16,128,15.9043
0,0,16,256,19.6797
0,0,16,512,25.7493
0,0,16,768,32.9283
0,0,16,1024,36.8967
0,0,16,1152,40.32
0,0,16,1728,52.5977
0,0,16,2048,58.6563
0,0,16,2592,71.8713
0,0,16,3888,108.16
0,0,16,4096,110.987
0,0,16,5832,151.797
0,0,16,8192,200.853
0,0,16,8748,213.856
0,0,16,13122,312.693
0,0,16,16384,379.83
0,0,32,16,12.7257
0,0,32,32,13.152
0,0,32,64,14.0803
0,0,32,128,19.2533
0,0,32,256,25.461
0,0,32,512,37.0567
0,0,32,768,49.376
0,0,32,1024,58.7093
0,0,32,1152,66.5493
0,0,32,1728,101.046
0,0,32,2048,118.059
0,0,32,2592,146.122
0,0,32,3888,207.222
0,0,32,4096,216.866
0,0,32,5832,294.421
0,0,32,8192,392.545
0,0,32,8748,416.907
0,0,32,13122,603.724
0,0,32,16384,743.702
0,0,64,16,17.515
0,0,64,32,17.8137
0,0,64,64,19.616
0,0,64,128,25.5573
0,0,64,256,37.0147
0,0,64,512,65.2483
0,0,64,768,96.3087
0,0,64,1024,127.041
0,0,64,1152,143.083
0,0,64,1728,200.662
0,0,64,2048,229.602
0,0,64,2592,277.74
0,0,64,3888,390.519
0,0,64,4096,409.516
0,0,64,5832,561.677
0,0,64,8192,764.59
0,0,64,8748,811.341
0,0,64,13122,1183.66
0,0,64,16384,1465.58
0,0,128,16,22.8583
0,0,128,32,23.7763
0,0,128,64,26.4747
0,0,128,128,39.478
0,0,128,256,68.6077
0,0,128,512,130.923
0,0,128,768,183.947
0,0,128,1024,230.263
0,0,128,1152,254.081
0,0,128,1728,352.877
0,0,128,2048,408.95
0,0,128,2592,500.097
0,0,128,3888,731.138
0,0,128,4096,763.256
0,0,128,5832,1067.77
0,0,128,8192,1471.65
0,0,128,8748,1565.63
0,0,128,13122,2315.57
0,0,128,16384,2869.54
0,0,256,16,38.443
0,0,256,32,39.7863
0,0,256,64,46.251
0,0,256,128,73.5677
0,0,256,256,125.185
0,0,256,512,220.001
0,0,256,768,308.001
0,0,256,1024,399.575
0,0,256,1152,443.713
0,0,256,1728,637.688
0,0,256,2048,748.643
0,0,256,2592,935.822
0,0,256,3888,1385.2
0,0,256,4096,1449.19
0,0,256,5832,2047.62
0,0,256,8192,2857.56
0,0,256,8748,3047.38
0,0,256,13122,4530.09
0,0,256,16384,5654.06
16,0,0,0,8.128
16,0,1,16,7.72267
16,0,1,32,7.72267
16,0,1,64,7.723
16,0,1,128,9.71733
16,0,1,256,12.3093
16,0,1,512,17.9623
16,0,1,768,23.925
16,0,1,1024,28.15
16,0,1,1152,31.9893
16,0,1,1728,43.9257
16,0,1,2048,50.304
16,0,1,2592,64.2137
16,0,1,3888,91.35
16,0,1,4096,94.4853
16,0,1,5832,136.544
16,0,1,8192,182.901
16,0,1,8748,201.078
16,0,1,13122,298.464
16,0,1,16384,370.39
16,0,2,16,7.68
16,0,2,32,7.71233
16,0,2,64,7.76533
16,0,2,128,9.71733
16,0,2,256,12.298
16,0,2,512,18.3037
16,0,2,768,24.0637
16,0,2,1024,28.1817
16,0,2,1152,32.8
16,0,2,1728,44.3947
16,0,2,2048,50.315
16,0,2,2592,64.331
16,0,2,3888,92.9597
16,0,2,4096,94.7843
16,0,2,5832,137.141
16,0,2,8192,182.912
16,0,2,8748,200.64
16,0,2,13122,298.316
16,0,2,16384,370.39
16,0,4,16,7.76533
16,0,4,32,7.765
16,0,4,64,7.84
16,0,4,128,9.73867
16,0,4,256,12.3413
16,0,4,512,18.7413
16,0,4,768,24.3623
16,0,4,1024,28.6187
16,0,4,1152,33.0137
16,0,4,1728,45.429
16,0,4,2048,51.616
16,0,4,2592,65.8767
16,0,4,3888,94.923
16,0,4,4096,96.2883
16,0,4,5832,137.739
16,0,4,8192,185.184
16,0,4,8748,204
16,0,4,13122,303.638
16,0,4,16384,377.131
16,0,8,16,12.0747
16,0,8,32,12.1923
16,0,8,64,12.096
16,0,8,128,16.6083
16,0,8,256,21.888
16,0,8,512,33.9523
16,0,8,768,45.4617
16,0,8,1024,54.784
16,0,8,1152,62.8487
16,0,8,1728,86.7203
16,0,8,2048,98.2397
16,0,8,2592,125.6
16,0,8,3888,181.1
16,0,8,4096,184.716
16,0,8,5832,266.209
16,0,8,8192,359.403
16,0,8,8748,397.815
16,0,8,13122,598.008
16,0,8,16384,749.953
16,0,16,16,16.3093
16,0,16,32,16.384
16,0,16,64,16.7467
16,0,16,128,23.84
16,0,16,256,32.128
16,0,16,512,50.709
16,0,16,768,68.192
16,0,16,1024,82.0697
16,0,16,1152,93.9737
16,0,16,1728,128.8
16,0,16,2048,146.773
16,0,16,2592,187.585
16,0,16,3888,271.297
16,0,16,4096,275.393
16,0,16,5832,400.161
16,0,16,8192,540.941
16,0,16,8748,604.45
16,0,16,13122,909.058
16,0,16,16384,1127.01
16,0,32,16,28.3417
16,0,32,32,28.6613
16,0,32,64,29.248
16,0,32,128,43.9683
16,0,32,256,60.6717
16,0,32,512,96.8427
16,0,32,768,130.155
16,0,32,1024,157.333
16,0,32,1152,180.64
16,0,32,1728,249.943
16,0,32,2048,284.918
16,0,32,2592,365.953
16,0,32,3888,530.817
16,0,32,4096,541.612
16,0,32,5832,801.462
16,0,32,8192,1105.18
16,0,32,8748,1222.93
16,0,32,13122,1817.68
16,0,32,16384,2271.84
16,0,64,16,51.904
16,0,64,32,52.3733
16,0,64,64,53.568
16,0,64,128,82.016
16,0,64,256,112.501
16,0,64,512,179.627
16,0,64,768,246.316
16,0,64,1024,300.545
16,0,64,1152,343.051
16,0,64,1728,473.079
16,0,64,2048,546.242
16,0,64,2592,704.438
16,0,64,3888,1158.29
16,0,64,4096,1213.44
16,0,64,5832,1808.63
16,0,64,8192,2471.41
16,0,64,8748,2685.65
16,0,64,13122,4008.36
16,0,64,16384,5010.58
16,0,128,16,94.944
16,0,128,32,96.2677
16,0,128,64,99.2643
16,0,128,128,159.276
16,0,128,256,230.433
16,0,128,512,388.075
16,0,128,768,530.807
16,0,128,1024,644.546
16,0,128,1152,739.81
16,0,128,1728,1048.41
16,0,128,2048,1308.58
16,0,128,2592,2085.69
16,0,128,3888,3886.33
16,0,128,4096,4091.71
16,0,128,5832,5800.9
16,0,128,8192,8168.82
16,0,128,8748,8766.4
16,0,128,13122,14819.6
16,0,128,16384,20483.1
16,16,0,0,7.49867
16,16,1,16,8
16,16,1,32,8.13833
16,16,1,64,8
16,16,1,128,9.64267
16,16,1,256,12.384
16,16,1,512,17.3973
16,16,1,1024,28.2877
16,16,1,2048,50.3043
16,16,1,4096,94.5173
16,16,1,8192,182.796
16,16,1,16384,360.108
16,16,2,16,7.98967
16,16,2,32,8.05333
16,16,2,64,8.04267
16,16,2,128,9.70667
16,16,2,256,12.3313
16,16,2,512,17.4827
16,16,2,1024,28.1493
16,16,2,2048,50.304
16,16,2,4096,94.7417
16,16,2,8192,183.147
16,16,2,16384,359.339
16,16,4,16,7.94667
16,16,4,32,8.07433
16,16,4,64,8.11733
16,16,4,128,9.78133
16,16,4,256,12.384
16,16,4,512,17.7493
16,16,4,1024,28.5333
16,16,4,2048,51.3707
16,16,4,4096,96.4267
16,16,4,8192,185.44
16,16,4,16384,364.876
16,16,8,16,12.256
16,16,8,32,12.3097
16,16,8,64,12.5227
16,16,8,128,16.4907
16,16,8,256,21.9097
16,16,8,512,32.544
16,16,8,1024,55.04
16,16,8,2048,98.2723
16,16,8,4096,184.395
16,16,8,8192,359.318
16,16,8,16384,718.924
16,16,16,16,16.5547
16,16,16,32,16.5653
16,16,16,64,16.9707
16,16,16,128,23.8613
16,16,16,256,32.2243
16,16,16,512,48.4373
16,16,16,1024,81.9947
16,16,16,2048,146.88
16,16,16,4096,274.913
16,16,16,8192,541.186
16,16,16,16384,1086.41
16,16,32,16,28.5113
16,16,32,32,28.992
16,16,32,64,29.6537
16,16,32,128,44.0433
16,16,32,256,60.512
16,16,32,512,93.0353
16,16,32,1024,157.206
16,16,32,2048,285.153
16,16,32,4096,541.473
16,16,32,8192,1102.32
16,16,32,16384,2179.9
16,16,64,16,51.8507
16,16,64,32,52.4587
16,16,64,64,53.8777
16,16,64,128,82.1123
16,16,64,256,112.875
16,16,64,512,172.971
16,16,64,1024,299.83
16,16,64,2048,547.33
16,16,64,4096,1215.99
16,16,64,8192,2474.36
16,16,64,16384,4921.55
16,16,128,16,95.3073
16,16,128,32,96.2137
16,16,128,64,99.4987
16,16,128,128,159.136
16,16,128,256,230.444
16,16,128,512,373.687
16,16,128,1024,645.069
16,16,128,2048,1309.81
16,16,128,4096,4089.68
16,16,128,8192,8161.88
16,16,128,16384,20801.3
16,32,0,0,7.44533
16,32,1,16,7.98933
16,32,1,32,8.14933
16,32,1,64,8.02167
16,32,1,128,9.696
16,32,1,256,12.331
16,32,1,512,17.3653
16,32,1,1024,28.192
16,32,1,2048,50.24
16,32,1,4096,94.5173
16,32,1,8192,182.582
16,32,1,16384,359.264
16,32,2,16,7.968
16,32,2,32,7.91467
16,32,2,64,8.16033
16,32,2,128,9.77
16,32,2,256,12.384
16,32,2,512,17.3653
16,32,2,1024,28.224
16,32,2,2048,50.4003
16,32,2,4096,94.5923
16,32,2,8192,182.848
16,32,2,16384,359.702
16,32,4,16,8.075
16,32,4,32,8.08567
16,32,4,64,8.09633
16,32,4,128,9.81333
16,32,4,256,12.4903
16,32,4,512,17.7707
16,32,4,1024,28.704
16,32,4,2048,51.1473
16,32,4,4096,96.1817
16,32,4,8192,185.985
16,32,4,16384,365.516
16,32,8,16,12.2133
16,32,8,32,12.4373
16,32,8,64,12.576
16,32,8,128,16.5227
16,32,8,256,21.9733
16,32,8,512,32.6187
16,32,8,1024,54.88
16,32,8,2048,98.678
16,32,8,4096,184.289
16,32,8,8192,359.105
16,32,8,16384,720.334
16,32,16,16,16.3947
16,32,16,32,16.704
16,32,16,64,17.0667
16,32,16,128,23.8083
16,32,16,256,32.2563
16,32,16,512,48.7043
16,32,16,1024,81.9097
16,32,16,2048,146.614
16,32,16,4096,275.489
16,32,16,8192,541.836
16,32,16,16384,1087.42
16,32,32,16,28.5653
16,32,32,32,28.7467
16,32,32,64,29.6
16,32,32,128,44.0743
16,32,32,256,60.5973
16,32,32,512,92.9493
16,32,32,1024,157.44
16,32,32,2048,285.335
16,32,32,4096,541.452
16,32,32,8192,1105.8
16,32,32,16384,2181.6
16,32,64,16,52.1177
16,32,64,32,52.4693
16,32,64,64,53.7703
16,32,64,128,82.1557
16,32,64,256,112.533
16,32,64,512,173.452
16,32,64,1024,299.894
16,32,64,2048,546.145
16,32,64,4096,1215.08
16,32,64,8192,2475.31
16,32,64,16384,4930.86
16,32,128,16,95.3597
16,32,128,32,96.3097
16,32,128,64,99.5103
16,32,128,128,158.891
16,32,128,256,230.08
16,32,128,512,373.772
16,32,128,1024,644.557
16,32,128,2048,1310.1
16,32,128,4096,4090
16,32,128,8192,8147.7
16,32,128,16384,20784.8
16,64,0,0,7.64833
16,64,1,16,8.00033
16,64,1,32,8.10667
16,64,1,64,8.11667
16,64,1,128,9.793
16,64,1,256,12.3093
16,64,1,512,17.3757
16,64,1,1024,28.1497
16,64,1,2048,50.347
16,64,1,4096,94.507
16,64,1,8192,182.731
16,64,1,16384,359.766
16,64,2,16,7.947
16,64,2,32,7.96833
16,64,2,64,8.16033
16,64,2,128,9.77067
16,64,2,256,12.3947
16,64,2,512,17.4827
16,64,2,1024,28.1707
16,64,2,2048,50.2397
16,64,2,4096,94.6557
16,64,2,8192,182.518
16,64,2,16384,359.884
16,64,4,16,8.01067
16,64,4,32,8.10733
16,64,4,64,8.09633
16,64,4,128,9.88833
16,64,4,256,12.5443
16,64,4,512,17.8457
16,64,4,1024,28.8537
16,64,4,2048,51.584
16,64,4,4096,95.9257
16,64,4,8192,185.238
16,64,4,16384,365.046
16,64,8,16,12.256
16,64,8,32,12.352
16,64,8,64,12.5333
16,64,8,128,16.469
16,64,8,256,21.8347
16,64,8,512,32.5543
16,64,8,1024,54.8907
16,64,8,2048,98.176
16,64,8,4096,184.694
16,64,8,8192,359.286
16,64,8,16384,719.095
16,64,16,16,16.597
16,64,16,32,16.907
16,64,16,64,17.152
16,64,16,128,23.776
16,64,16,256,32.1707
16,64,16,512,48.64
16,64,16,1024,81.739
16,64,16,2048,147.062
16,64,16,4096,275.712
16,64,16,8192,541.089
16,64,16,16384,1085.99
16,64,32,16,28.619
16,64,32,32,28.864
16,64,32,64,29.5893
16,64,32,128,44.0963
16,64,32,256,60.4587
16,64,32,512,92.992
16,64,32,1024,157.419
16,64,32,2048,285.622
16,64,32,4096,541.1
16,64,32,8192,1104.63
16,64,32,16384,2175.09
16,64,64,16,52.064
16,64,64,32,52.4267
16,64,64,64,53.8993
16,64,64,128,82.3043
16,64,64,256,112.843
16,64,64,512,173.024
16,64,64,1024,299.862
16,64,64,2048,547.01
16,64,64,4096,1218.92
16,64,64,8192,2476.56
16,64,64,16384,4940.8
16,64,128,16,95.3287
16,64,128,32,96.5127
16,64,128,64,99.371
16,64,128,128,159.468
16,64,128,256,230.38
16,64,128,512,374.594
16,64,128,1024,645.079
16,64,128,2048,1311.07
16,64,128,4096,4091.06
16,64,128,8192,8161.23
16,64,128,16384,21281
16,128,0,0,9.88767
16,128,1,16,9.867
16,128,1,32,9.85667
16,128,1,64,10.0267
16,128,1,128,10.272
16,128,1,256,12.2347
16,128,1,512,17.3543
16,128,1,1024,28.1707
16,128,1,2048,50.2823
16,128,1,4096,94.4853
16,128,1,8192,182.848
16,128,1,16384,359.222
16,128,2,16,9.749
16,128,2,32,9.792
16,128,2,64,9.74933
16,128,2,128,10.2293
16,128,2,256,12.2137
16,128,2,512,17.44
16,128,2,1024,28.2563
16,128,2,2048,50.3467
16,128,2,4096,94.912
16,128,2,8192,182.816
16,128,2,16384,359.585
16,128,4,16,9.77067
16,128,4,32,9.856
16,128,4,64,9.89867
16,128,4,128,10.3573
16,128,4,256,12.3523
16,128,4,512,17.429
16,128,4,1024,28.79
16,128,4,2048,51.658
16,128,4,4096,96.3733
16,128,4,8192,185.515
16,128,4,16384,365.281
16,128,8,16,14.7733
16,128,8,32,14.8483
16,128,8,64,15.0187
16,128,8,128,17.472
16,128,8,256,22.0907
16,128,8,512,32.6723
16,128,8,1024,54.8163
16,128,8,2048,98.2187
16,128,8,4096,184.939
16,128,8,8192,357.75
16,128,8,16384,719.874
16,128,16,16,19.147
16,128,16,32,19.0187
16,128,16,64,19.3813
16,128,16,128,24.4807
16,128,16,256,32.1817
16,128,16,512,48.704
16,128,16,1024,82.0163
16,128,16,2048,146.677
16,128,16,4096,275.756
16,128,16,8192,541.57
16,128,16,16384,1086.11
16,128,32,16,31.136
16,128,32,32,31.3603
16,128,32,64,31.893
16,128,32,128,44.8
16,128,32,256,60.6187
16,128,32,512,93.013
16,128,32,1024,157.238
16,128,32,2048,285.654
16,128,32,4096,541.132
16,128,32,8192,1103.65
16,128,32,16384,2179.02
16,128,64,16,52.1813
16,128,64,32,52.7257
16,128,64,64,53.8137
16,128,64,128,83.6907
16,128,64,256,114.944
16,128,64,512,175.019
16,128,64,1024,299.894
16,128,64,2048,548.151
16,128,64,4096,1218.13
16,128,64,8192,2476.93
16,128,64,16384,4926.09
16,128,128,16,96.48
16,128,128,32,97.2153
16,128,128,64,100.064
16,128,128,128,160.353
16,128,128,256,230.934
16,128,128,512,374.177
16,128,128,1024,644.92
16,128,128,2048,1308.59
16,128,128,4096,4087.05
16,128,128,8192,8152.76
16,128,128,16384,21056.7
16,256,0,0,12.3843
16,256,1,16,12.4907
16,256,1,32,12.512
16,256,1,64,12.5017
16,256,1,128,12.3413
16,256,1,256,12.736
16,256,1,512,17.301
16,256,1,1024,28.1497
16,256,1,2048,50.3043
16,256,1,4096,94.4543
16,256,1,8192,182.624
16,256,1,16384,359.468
16,256,2,16,12.3737
16,256,2,32,12.3947
16,256,2,64,12.4267
16,256,2,128,12.32
16,256,2,256,12.4907
16,256,2,512,17.4193
16,256,2,1024,28.1173
16,256,2,2048,50.3997
16,256,2,4096,94.581
16,256,2,8192,182.752
16,256,2,16384,359.627
16,256,4,16,12.3843
16,256,4,32,12.48
16,256,4,64,12.576
16,256,4,128,12.3733
16,256,4,256,12.64
16,256,4,512,17.5463
16,256,4,1024,28.704
16,256,4,2048,51.5413
16,256,4,4096,96.3093
16,256,4,8192,185.59
16,256,4,16384,365.632
16,256,8,16,17.6117
16,256,8,32,17.5043
16,256,8,64,17.6427
16,256,8,128,19.851
16,256,8,256,22.7943
16,256,8,512,32.6613
16,256,8,1024,54.88
16,256,8,2048,98.4757
16,256,8,4096,185.238
16,256,8,8192,358.23
16,256,8,16384,718.733
16,256,16,16,21.9843
16,256,16,32,21.9203
16,256,16,64,22.24
16,256,16,128,26.9443
16,256,16,256,32.5337
16,256,16,512,48.821
16,256,16,1024,82.1973
16,256,16,2048,146.774
16,256,16,4096,275.979
16,256,16,8192,540.407
16,256,16,16384,1086.64
16,256,32,16,33.888
16,256,32,32,34.347
16,256,32,64,34.8057
16,256,32,128,47.3177
16,256,32,256,61.152
16,256,32,512,92.8427
16,256,32,1024,157.142
16,256,32,2048,285.142
16,256,32,4096,541.249
16,256,32,8192,1102.28
16,256,32,16384,2181.85
16,256,64,16,55.179
16,256,64,32,55.595
16,256,64,64,56.5337
16,256,64,128,83.8617
16,256,64,256,115.68
16,256,64,512,177.078
16,256,64,1024,300.268
16,256,64,2048,549.676
16,256,64,4096,1224.06
16,256,64,8192,2472.56
16,256,64,16384,4918.85
16,256,128,16,98.7733
16,256,128,32,99.4777
16,256,128,64,102.294
16,256,128,128,160.225
16,256,128,256,231.148
16,256,128,512,374.625
16,256,128,1024,645.357
16,256,128,2048,1302.81
16,256,128,4096,4090.26
16,256,128,8192,8143.52
16,256,128,16384,20868.8
16,512,0,0,18.4847
16,512,1,16,17.461
16,512,1,32,17.536
16,512,1,64,17.5897
16,512,1,128,17.3763
16,512,1,256,17.376
16,512,1,512,18.4103
16,512,1,768,23.3707
16,512,1,1024,28.1813
16,512,1,1152,32.0957
16,512,1,1728,43.3393
16,512,1,2048,50.272
16,512,1,2592,63.776
16,512,1,3888,91.9467
16,512,1,4096,94.3897
16,512,1,5832,134.645
16,512,1,8192,182.796
16,512,1,8748,199.67
16,512,1,13122,296.512
16,512,1,16384,371.968
16,512,2,16,17.5147
16,512,2,32,17.5253
16,512,2,64,17.44
16,512,2,128,17.344
16,512,2,256,17.3757
16,512,2,512,18.507
16,512,2,768,24.0537
16,512,2,1024,28.2667
16,512,2,1152,32.6507
16,512,2,1728,44.5013
16,512,2,2048,50.5603
16,512,2,2592,64.8963
16,512,2,3888,93.7703
16,512,2,4096,94.4747
16,512,2,5832,135.307
16,512,2,8192,182.603
16,512,2,8748,201.237
16,512,2,13122,300.054
16,512,2,16384,370.166
16,512,4,16,17.4933
16,512,4,32,17.6103
16,512,4,64,17.5577
16,512,4,128,17.4933
16,512,4,256,17.4403
16,512,4,512,19.0403
16,512,4,768,24.3837
16,512,4,1024,28.875
16,512,4,1152,32.971
16,512,4,1728,45.675
16,512,4,2048,51.6807
16,512,4,2592,66.026
16,512,4,3888,94.8477
