layer,tokens,time_us
embedding,1,3.10433
embedding,2,3.328
embedding,3,3.59467
embedding,4,3.79767
embedding,5,4.21333
embedding,6,4.30933
embedding,7,4.544
embedding,8,4.544
embedding,9,5.09833
embedding,10,5.32267
embedding,11,5.54667
embedding,12,5.79233
embedding,13,6.12233
embedding,14,6.31467
embedding,15,6.496
embedding,16,6.613
embedding,20,2.93333
embedding,24,2.76267
embedding,28,2.933
embedding,32,2.69767
embedding,36,2.88033
embedding,40,2.69867
embedding,44,2.87967
embedding,48,2.73067
embedding,52,2.93333
embedding,56,2.741
embedding,60,2.90133
embedding,64,2.76267
embedding,80,2.79433
embedding,96,2.88
embedding,112,3.01867
embedding,128,2.99733
embedding,144,3.36
embedding,160,3.46667
embedding,176,3.477
embedding,192,3.552
embedding,208,3.54133
embedding,224,3.56233
embedding,240,3.65833
embedding,256,3.61567
embedding,272,3.851
embedding,288,3.851
embedding,304,3.82967
embedding,320,3.88333
embedding,336,3.82933
embedding,352,3.86167
embedding,368,3.87167
embedding,384,3.968
embedding,400,4.235
embedding,416,4.256
embedding,432,4.26733
embedding,448,4.26667
embedding,464,4.256
embedding,480,4.24533
embedding,496,4.23467
embedding,512,4.22367
embedding,528,4.23467
embedding,544,4.245
embedding,560,4.256
embedding,576,4.36267
embedding,592,4.373
embedding,608,4.373
embedding,624,4.40567
embedding,640,4.37333
embedding,656,4.384
embedding,672,4.383
embedding,688,4.38367
embedding,704,4.384
embedding,720,4.417
embedding,736,4.416
embedding,752,4.41633
embedding,768,4.46933
embedding,784,4.49067
embedding,800,4.49067
embedding,816,4.56533
embedding,832,4.49067
embedding,848,4.555
embedding,864,4.58667
embedding,880,4.55467
embedding,896,4.56533
embedding,912,4.576
embedding,928,4.608
embedding,944,4.619
embedding,960,4.70433
embedding,976,4.72533
embedding,992,4.693
embedding,1008,4.69367
embedding,1024,4.71467
embedding,1040,4.736
embedding,1056,4.75733
embedding,1072,4.81067
embedding,1088,4.82133
embedding,1104,4.8
embedding,1120,4.83233
embedding,1136,4.88533
embedding,1152,5.13033
embedding,1168,5.08867
embedding,1184,5.15167
embedding,1200,5.15167
embedding,1216,5.216
embedding,1232,5.18333
embedding,1248,5.17333
embedding,1264,5.14133
embedding,1280,5.18333
embedding,1296,5.206
embedding,1312,5.227
embedding,1328,5.259
embedding,1344,5.301
embedding,1360,5.216
embedding,1376,5.24767
embedding,1392,5.28033
embedding,1408,5.27967
embedding,1424,5.29033
embedding,1440,5.31167
embedding,1456,5.33367
embedding,1472,5.36533
embedding,1488,5.408
embedding,1504,5.36533
embedding,1520,5.36567
embedding,1536,5.408
embedding,1552,5.42933
embedding,1568,5.462
embedding,1584,5.451
embedding,1600,5.451
embedding,1616,5.49367
embedding,1632,5.54667
embedding,1648,5.52567
embedding,1664,5.57867
embedding,1680,5.60033
embedding,1696,5.621
embedding,1712,5.61067
embedding,1728,5.632
embedding,1744,5.632
embedding,1760,5.664
embedding,1776,5.67467
embedding,1792,5.69567
embedding,1808,5.73867
embedding,1824,5.75933
embedding,1840,5.76
embedding,1856,5.76
embedding,1872,5.76033
embedding,1888,5.84533
embedding,1904,5.803
embedding,1920,5.856
embedding,1936,5.84533
embedding,1952,5.86633
embedding,1968,5.899
embedding,1984,5.93033
embedding,2000,5.93033
embedding,2016,5.96267
embedding,2032,5.96267
embedding,2048,5.963
final_layernorm,1,2.027
final_layernorm,2,1.984
final_layernorm,3,2.00533
final_layernorm,4,2.03733
final_layernorm,5,2.005
final_layernorm,6,2.03733
final_layernorm,7,2.06933
final_layernorm,8,2.08
final_layernorm,9,2.06933
final_layernorm,10,2.08
final_layernorm,11,2.06967
final_layernorm,12,2.10167
final_layernorm,13,2.05867
final_layernorm,14,2.112
final_layernorm,15,2.06933
final_layernorm,16,2.112
final_layernorm,20,2.12267
final_layernorm,24,2.123
final_layernorm,28,2.12233
final_layernorm,32,2.15467
final_layernorm,36,2.144
final_layernorm,40,2.14367
final_layernorm,44,2.14367
final_layernorm,48,2.16567
final_layernorm,52,2.176
final_layernorm,56,2.15433
final_layernorm,60,2.18667
final_layernorm,64,2.13333
final_layernorm,80,2.18667
final_layernorm,96,2.52767
final_layernorm,112,2.53867
final_layernorm,128,2.61333
final_layernorm,144,2.645
final_layernorm,160,2.76233
final_layernorm,176,2.784
final_layernorm,192,3.38133
final_layernorm,208,3.44567
final_layernorm,224,3.52
final_layernorm,240,3.61533
final_layernorm,256,2.848
final_layernorm,272,2.869
final_layernorm,288,2.86933
final_layernorm,304,2.85867
final_layernorm,320,2.86933
final_layernorm,336,2.912
final_layernorm,352,2.923
final_layernorm,368,2.88
final_layernorm,384,3.02933
final_layernorm,400,3.06133
final_layernorm,416,3.11467
final_layernorm,432,3.072
final_layernorm,448,3.06167
final_layernorm,464,3.08233
final_layernorm,480,3.08267
final_layernorm,496,3.10367
final_layernorm,512,3.08267
final_layernorm,528,3.179
final_layernorm,544,3.264
final_layernorm,560,3.31733
final_layernorm,576,3.392
final_layernorm,592,3.47733
final_layernorm,608,3.776
final_layernorm,624,3.926
final_layernorm,640,4.341
final_layernorm,656,4.76767
final_layernorm,672,4.61867
final_layernorm,688,4.715
final_layernorm,704,5.13067
final_layernorm,720,5.34333
final_layernorm,736,5.36533
final_layernorm,752,5.429
final_layernorm,768,5.664
final_layernorm,784,5.45067
final_layernorm,800,5.344
final_layernorm,816,5.216
final_layernorm,832,5.931
final_layernorm,848,6.10133
final_layernorm,864,6.496
final_layernorm,880,7.28533
final_layernorm,896,6.965
final_layernorm,912,6.82733
final_layernorm,928,6.80567
final_layernorm,944,7.104
final_layernorm,960,7.82967
final_layernorm,976,8.36267
final_layernorm,992,8.81067
final_layernorm,1008,7.26433
final_layernorm,1024,7.744
final_layernorm,1040,7.90367
final_layernorm,1056,7.98933
final_layernorm,1072,8.22467
final_layernorm,1088,8.55467
final_layernorm,1104,9.216
final_layernorm,1120,9.62133
final_layernorm,1136,9.44
final_layernorm,1152,10.0373
final_layernorm,1168,10.1653
final_layernorm,1184,10.2293
final_layernorm,1200,9.835
final_layernorm,1216,10.304
final_layernorm,1232,10.0267
final_layernorm,1248,9.99467
final_layernorm,1264,9.96267
final_layernorm,1280,10.251
final_layernorm,1296,10.2617
final_layernorm,1312,10.7307
final_layernorm,1328,10.4743
final_layernorm,1344,10.6133
final_layernorm,1360,11.1683
final_layernorm,1376,10.8163
final_layernorm,1392,10.4427
final_layernorm,1408,10.368
final_layernorm,1424,10.624
final_layernorm,1440,10.6987
final_layernorm,1456,10.816
final_layernorm,1472,11.2323
final_layernorm,1488,11.328
final_layernorm,1504,11.3067
final_layernorm,1520,11.168
final_layernorm,1536,11.168
final_layernorm,1552,11.4453
final_layernorm,1568,11.2963
final_layernorm,1584,11.9787
final_layernorm,1600,11.7227
final_layernorm,1616,11.7653
final_layernorm,1632,11.6157
final_layernorm,1648,12.1277
final_layernorm,1664,12.0853
final_layernorm,1680,12.192
final_layernorm,1696,12.2453
final_layernorm,1712,12.192
final_layernorm,1728,12.2027
final_layernorm,1744,12.4263
final_layernorm,1760,12.512
final_layernorm,1776,12.8637
final_layernorm,1792,12.64
final_layernorm,1808,12.9927
final_layernorm,1824,13.44
final_layernorm,1840,13.067
final_layernorm,1856,13.1843
final_layernorm,1872,13.2373
final_layernorm,1888,13.4613
final_layernorm,1904,13.4827
final_layernorm,1920,13.355
final_layernorm,1936,13.6533
final_layernorm,1952,13.8883
final_layernorm,1968,14.4853
final_layernorm,1984,14.1763
final_layernorm,2000,14.6453
final_layernorm,2016,14.8483
final_layernorm,2032,14.4113
final_layernorm,2048,13.9627
layernorm,1,2.12267
layernorm,2,2.06917
layernorm,3,2.12783
layernorm,4,2.1065
layernorm,5,2.112
layernorm,6,2.12283
layernorm,7,2.12283
layernorm,8,2.128
layernorm,9,2.128
layernorm,10,2.12783
layernorm,11,2.12783
layernorm,12,2.13867
layernorm,13,2.13883
layernorm,14,2.128
layernorm,15,2.144
layernorm,16,2.14933
layernorm,20,2.17583
layernorm,24,2.16
layernorm,28,2.17083
layernorm,32,2.181
layernorm,36,2.18633
layernorm,40,2.176
layernorm,44,2.22917
layernorm,48,2.208
layernorm,52,2.19217
layernorm,56,2.18167
layernorm,60,2.21333
layernorm,64,2.20267
layernorm,80,2.25583
layernorm,96,2.42683
layernorm,112,2.48
layernorm,128,2.54933
layernorm,144,2.6455
layernorm,160,2.68283
layernorm,176,2.7625
layernorm,192,3.06133
layernorm,208,3.12517
layernorm,224,3.20517
layernorm,240,3.18933
layernorm,256,2.8425
layernorm,272,2.86417
layernorm,288,2.85867
layernorm,304,2.832
layernorm,320,2.87983
layernorm,336,2.928
layernorm,352,2.885
layernorm,368,2.89083
layernorm,384,3.0295
layernorm,400,3.09333
layernorm,416,3.0935
layernorm,432,3.08267
layernorm,448,3.11433
layernorm,464,3.08267
layernorm,480,3.104
layernorm,496,3.07183
layernorm,512,3.10917
layernorm,528,3.14683
layernorm,544,3.1305
layernorm,560,3.14683
layernorm,576,3.26933
layernorm,592,3.28533
layernorm,608,3.2855
layernorm,624,3.29633
layernorm,640,3.30667
layernorm,656,3.24817
layernorm,672,3.24267
layernorm,688,3.26367
layernorm,704,3.28
layernorm,720,3.296
layernorm,736,3.31217
layernorm,752,3.32833
layernorm,768,3.44
layernorm,784,3.472
layernorm,800,3.456
layernorm,816,3.52
layernorm,832,3.52533
layernorm,848,3.552
layernorm,864,3.595
layernorm,880,3.56817
layernorm,896,3.61067
layernorm,912,3.552
layernorm,928,3.57333
layernorm,944,3.62117
layernorm,960,3.6745
layernorm,976,3.72267
layernorm,992,3.71183
layernorm,1008,3.72267
layernorm,1024,3.76
layernorm,1040,3.7815
layernorm,1056,3.80817
layernorm,1072,3.86667
layernorm,1088,3.8985
layernorm,1104,3.92
layernorm,1120,3.99483
layernorm,1136,4.38933
layernorm,1152,4.75217
layernorm,1168,4.78933
layernorm,1184,4.88017
layernorm,1200,4.85333
layernorm,1216,4.97067
layernorm,1232,4.97583
layernorm,1248,5.024
layernorm,1264,5.051
layernorm,1280,5.1255
layernorm,1296,5.17333
layernorm,1312,5.22667
layernorm,1328,5.18967
layernorm,1344,5.25333
layernorm,1360,5.24267
layernorm,1376,5.24267
layernorm,1392,5.70133
layernorm,1408,5.62667
layernorm,1424,5.25867
layernorm,1440,5.33867
layernorm,1456,5.34417
layernorm,1472,5.376
layernorm,1488,5.3705
layernorm,1504,5.403
layernorm,1520,5.456
layernorm,1536,5.48267
layernorm,1552,5.4985
layernorm,1568,5.488
layernorm,1584,5.57833
layernorm,1600,5.55183
layernorm,1616,5.60567
layernorm,1632,5.632
layernorm,1648,5.65883
layernorm,1664,5.63733
layernorm,1680,5.66383
layernorm,1696,5.67433
layernorm,1712,5.67983
layernorm,1728,5.74933
layernorm,1744,5.744
layernorm,1760,5.771
layernorm,1776,5.792
layernorm,1792,5.8615
layernorm,1808,5.92
layernorm,1824,5.952
layernorm,1840,6.04817
layernorm,1856,6.04817
layernorm,1872,6.032
layernorm,1888,6.01067
layernorm,1904,6.09067
layernorm,1920,6.12783
layernorm,1936,6.12283
layernorm,1952,6.0745
layernorm,1968,6.155
layernorm,1984,6.22417
layernorm,2000,6.1975
layernorm,2016,6.288
layernorm,2032,6.272
