tokens,activated_experts,time_us
1,8,50.2297
2,8,56.1917
2,16,134.976
4,8,56.6397
4,16,135.221
4,32,234.315
8,8,51.638
8,16,126.751
8,32,225.589
8,64,423.073
16,8,57.1293
16,16,131.082
16,32,229.664
16,64,424.116
16,128,817.612
32,8,73.323
32,16,134.325
32,32,233.014
32,64,429.312
32,128,822.145
64,8,71.3167
64,16,134.549
64,32,235.594
64,64,432.672
64,128,827.81
128,8,79.2123
128,16,139.05
128,32,249.803
128,64,456.737
128,128,849.291
256,8,121.792
256,16,165.099
256,32,271.189
256,64,472.085
256,128,874.635
512,8,190.753
512,16,198.016
512,32,290.155
512,64,499.914
512,128,912.033
1024,8,324
1024,16,326.475
1024,32,357.131
1024,64,550.528
1024,128,970.35
2048,8,578.466
2048,16,586.187
2048,32,602.975
2048,64,681.888
2048,128,1066.6
