layer,sequences,time_us
lm_head,1,420.224
lm_head,2,416.769
lm_head,3,417.633
lm_head,4,418.988
lm_head,5,419.68
lm_head,6,421.131
lm_head,7,421.217
lm_head,8,422.325
lm_head,9,422.913
lm_head,10,424.182
lm_head,11,424.705
lm_head,12,426.443
lm_head,13,427.329
lm_head,14,428.064
lm_head,15,428.097
lm_head,16,428.395
lm_head,20,425.013
lm_head,24,426.785
lm_head,28,428.715
lm_head,32,431.649
lm_head,36,443.532
lm_head,40,444.961
lm_head,44,446.956
lm_head,48,448.332
lm_head,52,449.078
lm_head,56,449.825
lm_head,60,450.807
lm_head,64,450.743
lm_head,80,463.564
lm_head,96,467.959
lm_head,112,469.697
lm_head,128,473.676
lm_head,144,481.249
lm_head,160,508.556
lm_head,176,509.367
lm_head,192,512.065
lm_head,208,514.829
lm_head,224,518.54
lm_head,240,523.084
lm_head,256,526.508
sampler,1,10.1227
sampler,2,11.2533
sampler,3,11.3387
sampler,4,11.2747
sampler,5,11.5957
sampler,6,11.5833
sampler,7,12.074
sampler,8,13.0247
sampler,9,13.717
sampler,10,14.528
sampler,11,14.9123
sampler,12,14.8047
sampler,13,14.944
sampler,14,15.3603
sampler,15,15.68
sampler,16,15.7333
sampler,20,18.1447
sampler,24,19.691
sampler,28,21.3763
sampler,32,24.9607
sampler,36,25.8137
sampler,40,28.0747
sampler,44,29.2803
sampler,48,31.0507
sampler,52,32.3847
sampler,56,34.8573
sampler,60,36.8857
sampler,64,38.507
sampler,80,48.8747
sampler,96,57.249
sampler,112,70.9013
sampler,128,82.5173
sampler,144,93.227
sampler,160,106.539
sampler,176,119.904
sampler,192,135.178
sampler,208,153.419
sampler,224,173.473
sampler,240,196.555
sampler,256,217.26
