regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,44.959,46.752,46.337,0.7685
pure,2,1,0.5,4.0,0,0,256,1024,640,48.511,51.84,49.409,0.2698
pure,2,1,0.5,4.0,0,0,512,2048,1280,53.952,63.553,57.441,0.3634
pure,2,1,0.5,4.0,0,0,1024,4096,2560,70.175,88.799,75.714,0.2974
pure,2,1,0.5,4.0,0,0,2048,8192,5120,100.32,122.434,96.671,-0.165
pure,2,1,0.5,4.0,0,0,4096,16384,10240,141.922,193.407,144.125,0.0428
mixed,2,1,0.5,4.0,16,0,128,512,320,37.344,52.063,51.584,0.9675
mixed,2,1,0.5,4.0,16,0,256,1024,640,60.127,84.8,83.809,0.9598
mixed,2,1,0.5,4.0,16,0,512,2048,1280,99.713,150.69,149.824,0.983
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,183.168,283.424,282.049,0.9863
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,349.345,546.978,545.472,0.9924
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,679.679,1076.579,1074.691,0.9952
mixed,2,1,0.5,4.0,16,512,128,512,320,51.841,52.511,52.48,0.9537
mixed,2,1,0.5,4.0,16,512,256,1024,640,59.937,84.449,84.066,0.9844
mixed,2,1,0.5,4.0,16,512,512,2048,1280,99.679,150.848,149.793,0.9794
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,184.128,283.712,282.304,0.9859
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,349.825,547.233,545.826,0.9929
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,680.481,1076.195,1073.923,0.9943
mixed,2,1,0.5,4.0,16,1024,128,512,320,84.352,84.706,84.383,0.0876
mixed,2,1,0.5,4.0,16,1024,256,1024,640,84.479,85.568,84.608,0.1185
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,99.904,151.584,150.145,0.9722
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,185.473,284.196,283.009,0.988
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,350.818,548.067,546.275,0.9909
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,680.483,1076.452,1074.791,0.9958
mixed,2,1,0.5,4.0,16,2048,128,512,320,150.433,151.745,150.657,0.1707
mixed,2,1,0.5,4.0,16,2048,256,1024,640,150.912,152.001,150.784,-0.1175
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,152.609,153.154,152.031,-1.0606
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,185.281,284.992,282.657,0.9766
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,350.463,548.546,546.463,0.9895
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,680.354,1076.483,1074.819,0.9958
mixed,2,1,0.5,4.0,16,4096,128,512,320,283.519,284.703,284.033,0.4341
mixed,2,1,0.5,4.0,16,4096,256,1024,640,283.971,286.339,285.826,0.7834
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,286.336,285.634,285.857,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,286.37,286.722,286.145,-0.6392
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,351.137,549.57,547.521,0.9897
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,682.017,1079.236,1076.933,0.9942
mixed,2,1,0.5,4.0,16,8192,128,512,320,555.36,555.17,556.096,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,553.602,554.689,554.752,1.058
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,554.211,554.979,554.528,0.4128
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,554.819,553.506,553.86,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,554.05,553.664,555.105,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,683.491,1078.882,1077.923,0.9976
mixed,2,1,0.5,4.0,32,0,128,512,320,38.048,52.641,52.544,0.9934
mixed,2,1,0.5,4.0,32,0,256,1024,640,60.704,84.736,84.288,0.9814
mixed,2,1,0.5,4.0,32,0,512,2048,1280,100.257,151.073,150.881,0.9962
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,184.899,284.096,283.329,0.9923
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,350.658,548.77,547.556,0.9939
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,681.695,1078.66,1077.825,0.9979
mixed,2,1,0.5,4.0,32,512,128,512,320,52.736,53.282,53.152,0.7619
mixed,2,1,0.5,4.0,32,512,256,1024,640,60.704,84.864,84.255,0.9748
mixed,2,1,0.5,4.0,32,512,512,2048,1280,100.033,152.224,150.72,0.9712
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,185.216,284.577,284.066,0.9949
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,351.648,548.546,547.458,0.9945
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,682.496,1078.755,1078.115,0.9984
mixed,2,1,0.5,4.0,32,1024,128,512,320,84.928,85.408,84.832,-0.2
mixed,2,1,0.5,4.0,32,1024,256,1024,640,85.183,85.889,85.056,-0.1799
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,100.226,152.224,150.56,0.968
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,185.697,285.408,284.287,0.9888
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,351.201,549.376,548.066,0.9934
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,681.921,1079.586,1079.04,0.9986
mixed,2,1,0.5,4.0,32,2048,128,512,320,151.394,151.905,151.552,0.3092
mixed,2,1,0.5,4.0,32,2048,256,1024,640,152.191,152.416,152.16,-0.1378
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,153.119,153.568,152.864,-0.5679
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,185.759,286.016,283.392,0.9738
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,351.68,550.689,549.41,0.9936
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,682.239,1081.601,1078.852,0.9931
mixed,2,1,0.5,4.0,32,4096,128,512,320,284.961,285.311,285.152,0.5457
mixed,2,1,0.5,4.0,32,4096,256,1024,640,286.017,286.945,285.535,-0.5194
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,287.424,287.455,285.441,-63.9677
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,287.265,287.489,286.562,-3.1384
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,352.256,549.665,548.704,0.9951
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,682.177,1080.61,1079.042,0.9961
mixed,2,1,0.5,4.0,32,8192,128,512,320,555.745,555.137,556.352,
mixed,2,1,0.5,4.0,32,8192,256,1024,640,554.913,555.395,555.585,1.3942
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,557.409,555.107,555.009,
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,555.423,554.592,555.396,
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,554.049,555.072,554.848,0.781
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,682.852,1080.129,1077.762,0.994
mixed,2,1,0.5,4.0,64,0,128,512,320,38.464,53.153,52.832,0.9781
mixed,2,1,0.5,4.0,64,0,256,1024,640,61.442,85.056,84.704,0.9851
mixed,2,1,0.5,4.0,64,0,512,2048,1280,100.128,151.84,150.944,0.9827
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,185.121,284.801,283.425,0.9862
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,351.073,548.738,547.906,0.9958
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,682.402,1078.884,1077.19,0.9957
mixed,2,1,0.5,4.0,64,512,128,512,320,53.856,54.688,54.786,1.1178
mixed,2,1,0.5,4.0,64,512,256,1024,640,61.024,85.344,84.736,0.975
mixed,2,1,0.5,4.0,64,512,512,2048,1280,100.704,152.0,151.072,0.9819
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,185.888,285.184,283.969,0.9878
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,351.425,549.474,547.81,0.9916
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,682.05,1080.386,1079.714,0.9983
mixed,2,1,0.5,4.0,64,1024,128,512,320,86.112,86.56,86.56,1.0
mixed,2,1,0.5,4.0,64,1024,256,1024,640,86.784,87.905,87.04,0.2284
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,100.608,153.408,151.166,0.9575
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,185.921,284.897,284.482,0.9958
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,352.226,550.53,548.355,0.989
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,682.242,1080.067,1079.426,0.9984
mixed,2,1,0.5,4.0,64,2048,128,512,320,152.992,153.184,153.538,2.8438
mixed,2,1,0.5,4.0,64,2048,256,1024,640,154.113,154.431,153.471,-2.0189
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,153.825,154.88,154.657,0.7886
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,185.856,286.209,284.162,0.9796
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,351.168,550.435,549.473,0.9952
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,683.265,1080.705,1080.035,0.9983
mixed,2,1,0.5,4.0,64,4096,128,512,320,286.56,287.041,286.432,-0.2661
mixed,2,1,0.5,4.0,64,4096,256,1024,640,286.817,287.267,287.264,0.9933
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,287.776,288.162,288.033,0.6658
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,288.863,288.416,289.024,
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,352.32,550.305,549.249,0.9947
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,682.752,1079.394,1078.467,0.9977
mixed,2,1,0.5,4.0,64,8192,128,512,320,557.441,556.291,557.632,
mixed,2,1,0.5,4.0,64,8192,256,1024,640,556.994,558.594,556.194,-0.5
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,559.233,556.928,555.138,
mixed,2,1,0.5,4.0,64,8192,1024,4096,2560,555.905,556.64,556.768,1.1741
