pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,-0.002,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0967,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0014,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0046,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0527,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0088,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0005,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0658,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,-0.0013,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.013,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0569,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0225,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0434,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0172,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0409,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0466,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1808,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0213,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0269,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1565,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0228,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.049,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.1275,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0129,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1637,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2968,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0163,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.1783,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.8069,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.4777,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0375,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0261,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0202,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0388,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0266,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0185,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.071,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0249,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.052,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.017,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0283,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0051,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.2973,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.3217,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.2772,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0671,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0649,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0547,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0084,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0723,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0148,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0971,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0721,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0829,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.014,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.2247,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0134,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0687,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.2333,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.1784,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0504,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.604,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.3372,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0175,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.3452,2
