layer,tokens,time_us
act_fn,1,4.21367
act_fn,2,5.36533
act_fn,3,5.44
act_fn,4,5.47167
act_fn,5,5.45067
act_fn,6,5.46167
act_fn,7,5.57833
act_fn,8,5.568
act_fn,9,5.557
act_fn,10,5.49367
act_fn,11,5.62133
act_fn,12,5.55733
act_fn,13,5.68533
act_fn,14,5.48267
act_fn,15,5.707
act_fn,16,5.536
act_fn,20,5.61033
act_fn,24,5.739
act_fn,28,5.73867
act_fn,32,5.78133
act_fn,36,5.39733
act_fn,40,5.41867
act_fn,44,5.45067
act_fn,48,5.62133
act_fn,52,5.493
act_fn,56,5.54667
act_fn,60,5.46133
act_fn,64,5.536
act_fn,80,4.747
act_fn,96,4.73633
act_fn,112,4.85333
act_fn,128,5.195
act_fn,144,5.66367
act_fn,160,5.97333
act_fn,176,6.336
act_fn,192,9.568
act_fn,208,10.1863
act_fn,224,10.4103
act_fn,240,10.5813
act_fn,256,10.7737
act_fn,272,10.9017
act_fn,288,10.848
act_fn,304,11.4453
act_fn,320,11.232
act_fn,336,11.8083
act_fn,352,12.2987
act_fn,368,12.917
act_fn,384,15.5193
act_fn,400,16.7357
act_fn,416,17.2587
act_fn,432,17.9627
act_fn,448,18.6347
act_fn,464,19.5197
act_fn,480,20.4373
act_fn,496,21.4613
act_fn,512,22.9653
act_fn,528,24.757
act_fn,544,25.856
act_fn,560,26.9117
act_fn,576,29.8137
act_fn,592,30.7307
act_fn,608,31.7653
act_fn,624,33.2693
act_fn,640,35.456
act_fn,656,41.8983
act_fn,672,43.1253
act_fn,688,44.6293
act_fn,704,46.1333
act_fn,720,47.179
act_fn,736,48.5657
act_fn,752,50.6133
act_fn,768,54.24
act_fn,784,56.4153
act_fn,800,57.227
act_fn,816,58.3143
act_fn,832,59.7543
act_fn,848,61.4183
act_fn,864,62.144
act_fn,880,63.606
act_fn,896,65.0987
act_fn,912,68.1387
act_fn,928,70.1867
act_fn,944,72.416
act_fn,960,74.635
act_fn,976,79.0293
act_fn,992,80.3627
act_fn,1008,82.2937
act_fn,1024,83.6903
act_fn,1040,85.248
act_fn,1056,86.9443
act_fn,1072,88.992
act_fn,1088,90.443
act_fn,1104,91.9573
act_fn,1120,93.909
act_fn,1136,95.5093
act_fn,1152,97.3333
act_fn,1168,101.44
act_fn,1184,103.253
act_fn,1200,104.661
act_fn,1216,106.934
act_fn,1232,108.373
act_fn,1248,109.579
act_fn,1264,111.734
act_fn,1280,113.536
act_fn,1296,116.576
act_fn,1312,117.717
act_fn,1328,119.829
act_fn,1344,122.261
act_fn,1360,123.264
act_fn,1376,124.288
act_fn,1392,126.688
act_fn,1408,128.16
act_fn,1424,129.301
act_fn,1440,131.136
act_fn,1456,133.003
act_fn,1472,135.413
act_fn,1488,136.288
act_fn,1504,138.773
