layer,sequences,time_us
lm_head,1,1075.13
lm_head,2,1044.52
lm_head,3,1046.57
lm_head,4,1047.21
lm_head,5,1049.72
lm_head,6,1050.75
lm_head,7,1052.62
lm_head,8,1052.88
lm_head,9,1053.74
lm_head,10,1054.47
lm_head,11,1055.86
lm_head,12,1056.81
lm_head,13,1057
lm_head,14,1057.34
lm_head,15,1059.51
lm_head,16,1059.66
lm_head,20,1063.78
lm_head,24,1066.03
lm_head,28,1069.14
lm_head,32,1071.77
lm_head,36,1096.75
lm_head,40,1094.88
lm_head,44,1095.66
lm_head,48,1097.14
lm_head,52,1097.7
lm_head,56,1096.28
lm_head,60,1096.86
lm_head,64,1097.03
lm_head,80,1174.81
lm_head,96,1178.86
lm_head,112,1133.12
lm_head,128,1235.37
lm_head,144,1250.49
lm_head,160,1252.4
lm_head,176,1255.35
lm_head,192,1263.95
lm_head,208,1273.06
lm_head,224,1279.28
lm_head,240,1284.56
lm_head,256,1291.21
sampler,1,11.6907
sampler,2,12.9493
sampler,3,12.6617
sampler,4,12.5657
sampler,5,12.789
sampler,6,13.1203
sampler,7,13.2903
sampler,8,14.581
sampler,9,15.4883
sampler,10,15.296
sampler,11,15.4343
sampler,12,15.189
sampler,13,15.6587
sampler,14,15.8187
sampler,15,16.1063
sampler,16,16.7047
sampler,20,18.2617
sampler,24,20.1707
sampler,28,21.5353
sampler,32,25.2477
sampler,36,26.4637
sampler,40,28.469
sampler,44,29.6637
sampler,48,31.7867
sampler,52,32.9063
sampler,56,35.4553
sampler,60,37.376
sampler,64,39.2317
sampler,80,49.3227
sampler,96,56.384
sampler,112,71.3393
sampler,128,82.741
sampler,144,92.9177
sampler,160,108.043
sampler,176,120.896
sampler,192,135.531
sampler,208,153.035
sampler,224,175.243
sampler,240,196.747
sampler,256,217.633
