regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,4,1,0.25,4.0,0,0,512,2048,896,74.784,118.88,74.657,-0.0029
pure,4,1,0.25,4.0,0,0,2048,8192,3584,169.854,321.566,171.394,0.0102
mixed,4,1,0.25,4.0,256,0,512,2048,896,181.728,330.081,240.448,0.3958
mixed,4,1,0.25,4.0,256,0,2048,8192,3584,530.272,1124.418,732.67,0.3407
mixed,4,1,0.25,4.0,256,4096,512,2048,896,653.887,737.215,644.16,-0.1167
mixed,4,1,0.25,4.0,256,4096,2048,8192,3584,844.862,1409.856,1107.073,0.4641
mixed,4,1,0.25,4.0,512,0,512,2048,896,246.051,389.694,310.751,0.4504
mixed,4,1,0.25,4.0,512,0,2048,8192,3584,583.008,1180.8,799.999,0.363
mixed,4,1,0.25,4.0,512,4096,512,2048,896,1046.111,1178.02,1050.209,0.0311
mixed,4,1,0.25,4.0,512,4096,2048,8192,3584,1356.549,1950.558,1520.32,0.2757
mixed,4,1,0.25,4.0,1024,0,512,2048,896,423.392,580.8,488.801,0.4155
mixed,4,1,0.25,4.0,1024,0,2048,8192,3584,779.84,1348.034,1024.289,0.4302
mixed,4,1,0.25,4.0,1024,4096,512,2048,896,1935.142,2041.89,1933.121,-0.0189
mixed,4,1,0.25,4.0,1024,4096,2048,8192,3584,2152.326,2765.281,2343.296,0.3116
pure,4,2,0.5,4.0,0,0,512,2048,1280,89.826,120.96,88.737,-0.035
pure,4,2,0.5,4.0,0,0,2048,8192,5120,219.137,321.761,219.393,0.0025
mixed,4,2,0.5,4.0,256,0,512,2048,1280,232.737,331.137,262.495,0.3024
mixed,4,2,0.5,4.0,256,0,2048,8192,5120,732.899,1129.855,757.247,0.0613
mixed,4,2,0.5,4.0,256,4096,512,2048,1280,694.751,747.199,689.921,-0.0921
mixed,4,2,0.5,4.0,256,4096,2048,8192,5120,1021.348,1412.065,1250.72,0.5871
mixed,4,2,0.5,4.0,512,0,512,2048,1280,296.926,386.686,337.438,0.4513
mixed,4,2,0.5,4.0,512,0,2048,8192,5120,781.183,1179.487,861.92,0.2027
mixed,4,2,0.5,4.0,512,4096,512,2048,1280,1095.52,1182.015,1096.638,0.0129
mixed,4,2,0.5,4.0,512,4096,2048,8192,5120,1507.588,1961.474,1662.016,0.3402
mixed,4,2,0.5,4.0,1024,0,512,2048,1280,476.48,581.536,522.368,0.4368
mixed,4,2,0.5,4.0,1024,0,2048,8192,5120,945.856,1344.673,1118.082,0.4318
mixed,4,2,0.5,4.0,1024,4096,512,2048,1280,1974.816,2040.544,1982.658,0.1193
mixed,4,2,0.5,4.0,1024,4096,2048,8192,5120,2286.339,2771.594,2510.848,0.4627
pure,4,3,0.75,4.0,0,0,512,2048,1664,106.944,121.024,107.52,0.0409
pure,4,3,0.75,4.0,0,0,2048,8192,6656,269.312,323.648,288.961,0.3616
mixed,4,3,0.75,4.0,256,0,512,2048,1664,281.921,330.08,313.279,0.6511
mixed,4,3,0.75,4.0,256,0,2048,8192,6656,931.937,1130.049,1107.617,0.8868
mixed,4,3,0.75,4.0,256,4096,512,2048,1664,706.368,747.709,740.672,0.8298
mixed,4,3,0.75,4.0,256,4096,2048,8192,6656,1220.928,1415.391,1389.538,0.8671
mixed,4,3,0.75,4.0,512,0,512,2048,1664,342.431,388.927,366.623,0.5203
mixed,4,3,0.75,4.0,512,0,2048,8192,6656,982.943,1177.889,1129.473,0.7516
mixed,4,3,0.75,4.0,512,4096,512,2048,1664,1140.771,1179.713,1149.567,0.2259
mixed,4,3,0.75,4.0,512,4096,2048,8192,6656,1671.011,1956.193,1717.922,0.1645
mixed,4,3,0.75,4.0,1024,0,512,2048,1664,531.84,566.529,546.464,0.4216
mixed,4,3,0.75,4.0,1024,0,2048,8192,6656,1150.944,1345.185,1205.505,0.2809
mixed,4,3,0.75,4.0,1024,4096,512,2048,1664,2008.254,2021.088,2015.552,0.5686
mixed,4,3,0.75,4.0,1024,4096,2048,8192,6656,2498.269,2761.859,2634.367,0.5163
pure,8,1,0.125,4.0,0,0,512,2048,704,106.178,190.305,102.43,-0.0446
pure,8,1,0.125,4.0,0,0,2048,8192,2816,237.92,587.233,254.72,0.0481
mixed,8,1,0.125,4.0,256,0,512,2048,704,235.616,507.392,317.6,0.3017
mixed,8,1,0.125,4.0,256,0,2048,8192,2816,654.275,1710.883,985.474,0.3135
mixed,8,1,0.125,4.0,256,4096,512,2048,704,708.8,1009.854,733.152,0.0809
mixed,8,1,0.125,4.0,256,4096,2048,8192,2816,1090.625,2214.722,1296.962,0.1836
mixed,8,1,0.125,4.0,512,0,512,2048,704,301.983,598.304,382.945,0.2732
mixed,8,1,0.125,4.0,512,0,2048,8192,2816,745.09,1791.938,1051.106,0.2923
mixed,8,1,0.125,4.0,512,4096,512,2048,704,1132.291,1365.792,1148.352,0.0688
mixed,8,1,0.125,4.0,512,4096,2048,8192,2816,1491.425,2564.835,1729.28,0.2216
mixed,8,1,0.125,4.0,1024,0,512,2048,704,476.097,791.65,562.465,0.2737
mixed,8,1,0.125,4.0,1024,0,2048,8192,2816,958.048,2028.034,1253.825,0.2764
mixed,8,1,0.125,4.0,1024,4096,512,2048,704,2018.116,2274.08,1940.291,-0.304
mixed,8,1,0.125,4.0,1024,4096,2048,8192,2816,2300.707,3421.41,2490.721,0.1695
pure,8,2,0.25,4.0,0,0,512,2048,896,110.654,190.815,112.45,0.0224
pure,8,2,0.25,4.0,0,0,2048,8192,3584,288.993,588.64,290.143,0.0038
mixed,8,2,0.25,4.0,256,0,512,2048,896,281.409,506.946,347.2,0.2917
mixed,8,2,0.25,4.0,256,0,2048,8192,3584,804.224,1713.601,1093.344,0.3179
mixed,8,2,0.25,4.0,256,4096,512,2048,896,762.178,1003.489,781.571,0.0804
mixed,8,2,0.25,4.0,256,4096,2048,8192,3584,1274.976,2214.787,1414.433,0.1484
