prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.914
0,0,1,32,7.968
0,0,1,64,8.09633
0,0,1,128,11.328
0,0,1,256,11.68
0,0,1,512,12.2883
0,0,1,768,12.6073
0,0,1,1024,13.1513
0,0,1,1152,13.2687
0,0,1,1728,14.4637
0,0,1,2048,15.4873
0,0,1,2592,16.608
0,0,1,3888,19.968
0,0,1,4096,20.4373
0,0,1,5832,25.0027
0,0,1,8192,31.136
0,0,1,8748,32.5543
0,0,1,13122,38.816
0,0,1,16384,42.677
0,0,2,16,12.0957
0,0,2,32,12.0747
0,0,2,64,12.1603
0,0,2,128,14.528
0,0,2,256,14.9957
0,0,2,512,15.6273
0,0,2,768,16.331
0,0,2,1024,17.1523
0,0,2,1152,17.4937
0,0,2,1728,19.6583
0,0,2,2048,20.885
0,0,2,2592,23.264
0,0,2,3888,28.363
0,0,2,4096,29.3547
0,0,2,5832,35.989
0,0,2,8192,40.267
0,0,2,8748,42.2297
0,0,2,13122,53.9413
0,0,2,16384,63.764
0,0,4,16,12.267
0,0,4,32,12.2453
0,0,4,64,12.384
0,0,4,128,14.721
0,0,4,256,15.36
0,0,4,512,16.7143
0,0,4,768,18.07
0,0,4,1024,19.8513
0,0,4,1152,20.5753
0,0,4,1728,24.7463
0,0,4,2048,26.689
0,0,4,2592,30.1657
0,0,4,3888,37.11
0,0,4,4096,38.539
0,0,4,5832,48.3627
0,0,4,8192,61.4517
0,0,4,8748,63.8827
0,0,4,13122,88.587
0,0,4,16384,106.667
0,0,8,16,12.5977
0,0,8,32,12.8
0,0,8,64,12.7897
0,0,8,128,14.976
0,0,8,256,16.2773
0,0,8,512,19.1893
0,0,8,768,22.9327
0,0,8,1024,25.5793
0,0,8,1152,27.2413
0,0,8,1728,34.3897
0,0,8,2048,36.5973
0,0,8,2592,43.094
0,0,8,3888,57.216
0,0,8,4096,59.392
0,0,8,5832,80.4693
0,0,8,8192,106.753
0,0,8,8748,113.259
0,0,8,13122,161.931
0,0,8,16384,195.692
0,0,16,16,12.6187
0,0,16,32,12.768
0,0,16,64,13.0987
0,0,16,128,15.9357
0,0,16,256,19.744
0,0,16,512,25.0453
0,0,16,768,32.0963
0,0,16,1024,36.4697
0,0,16,1152,38.7947
0,0,16,1728,52.085
0,0,16,2048,59.573
0,0,16,2592,74.123
0,0,16,3888,104.811
0,0,16,4096,109.43
0,0,16,5832,149.174
0,0,16,8192,197.419
0,0,16,8748,210.39
0,0,16,13122,307.297
0,0,16,16384,378.721
0,0,32,16,12.7563
0,0,32,32,13.0773
0,0,32,64,14.0373
0,0,32,128,19.4563
0,0,32,256,25.3337
0,0,32,512,36.448
0,0,32,768,48.929
0,0,32,1024,62.0267
0,0,32,1152,69.3547
0,0,32,1728,99.1253
0,0,32,2048,114.667
0,0,32,2592,139.637
0,0,32,3888,200.939
0,0,32,4096,210.305
0,0,32,5832,287.627
0,0,32,8192,385.739
0,0,32,8748,409.079
0,0,32,13122,596.705
0,0,32,16384,737.101
0,0,64,16,17.1093
0,0,64,32,17.408
0,0,64,64,19.0927
0,0,64,128,25.291
0,0,64,256,36.8
0,0,64,512,67.702
0,0,64,768,97.1833
0,0,64,1024,125.42
0,0,64,1152,139.723
0,0,64,1728,191.723
0,0,64,2048,220.822
0,0,64,2592,268.662
0,0,64,3888,380.685
0,0,64,4096,400.813
0,0,64,5832,550.017
0,0,64,8192,755.225
0,0,64,8748,803.533
