pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0692,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.053,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0617,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0594,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0489,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0635,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1017,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0581,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.097,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0192,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0443,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0229,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.2547,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2435,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.3143,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0675,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0453,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0602,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0116,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0453,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0278,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0279,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.0988,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.016,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1141,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2121,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2519,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0049,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.5151,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.3013,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0189,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0208,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0228,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.019,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0185,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0063,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0367,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0158,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0365,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0084,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0157,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0166,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.1605,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1711,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.1479,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,-0.0006,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,-0.0015,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0009,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0153,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.051,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0065,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,-0.0018,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0116,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0012,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0252,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0273,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0073,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0709,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.076,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0255,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0321,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.2643,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.1304,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0117,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.2145,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0125,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.2931,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.2581,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.2112,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0002,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.06,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0003,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0058,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0553,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,-0.0133,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.001,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0359,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0014,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0163,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0572,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0063,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.02,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.0655,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0528,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0446,3
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1432,3
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.021,3
0,n<=8,sr<=40%,kvB<=16k,kp=0,-0.0008,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.15,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0056,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0191,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.1565,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0092,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.1446,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.3441,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.0537,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1034,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.1041,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.1038,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.1056,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.1013,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.1,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0567,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0633,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.061,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0698,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0662,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0697,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0106,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.01,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0021,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0102,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0021,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0102,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.1896,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.1766,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.1749,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1897,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.175,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.1897,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0809,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0771,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0759,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0934,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0844,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0904,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0174,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0188,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0247,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0183,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0331,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0181,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.021,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0251,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.023,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0223,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0175,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0212,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.004,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0052,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0092,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0218,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0182,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0237,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.016,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0152,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0052,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.016,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0064,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0155,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.3003,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.242,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.1582,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.3313,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.2133,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.3259,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0147,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.02,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0228,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0041,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.02,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0005,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0404,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0522,2
