layer,tokens,time_us
act_fn,1,1.77067
act_fn,2,1.73867
act_fn,3,1.792
act_fn,4,1.792
act_fn,5,1.81367
act_fn,6,1.803
act_fn,7,1.81333
act_fn,8,1.82367
act_fn,9,1.824
act_fn,10,1.803
act_fn,11,1.834
act_fn,12,1.83467
act_fn,13,1.84533
act_fn,14,1.84567
act_fn,15,1.824
act_fn,16,1.824
act_fn,20,1.845
act_fn,24,1.84567
act_fn,28,1.84533
act_fn,32,1.86667
act_fn,36,1.86667
act_fn,40,1.888
act_fn,44,1.89833
act_fn,48,1.88767
act_fn,52,1.90933
act_fn,56,1.90933
act_fn,60,1.92
act_fn,64,1.899
act_fn,80,1.96233
act_fn,96,1.984
act_fn,112,1.99467
act_fn,128,2.112
act_fn,144,2.592
act_fn,160,2.613
act_fn,176,2.65633
act_fn,192,3.37067
act_fn,208,3.52
act_fn,224,3.49867
act_fn,240,3.47733
act_fn,256,3.40267
act_fn,272,3.37067
act_fn,288,3.33867
act_fn,304,3.45567
act_fn,320,3.477
act_fn,336,3.50967
act_fn,352,3.52
act_fn,368,3.61567
act_fn,384,4.26633
act_fn,400,4.24533
act_fn,416,4.20267
act_fn,432,4.224
act_fn,448,4.22367
act_fn,464,4.23467
act_fn,480,4.22367
act_fn,496,4.299
act_fn,512,4.24467
act_fn,528,4.203
act_fn,544,4.256
act_fn,560,4.41667
act_fn,576,4.597
act_fn,592,4.82133
act_fn,608,4.77867
act_fn,624,4.83233
act_fn,640,5.01333
act_fn,656,5.07733
act_fn,672,5.141
act_fn,688,5.17333
act_fn,704,5.20533
act_fn,720,5.248
act_fn,736,5.34433
act_fn,752,5.53567
act_fn,768,5.67467
act_fn,784,5.76
act_fn,800,5.87767
act_fn,816,6.08
act_fn,832,6.03733
act_fn,848,6.166
act_fn,864,6.15433
act_fn,880,6.31467
act_fn,896,6.219
act_fn,912,6.15467
act_fn,928,6.251
act_fn,944,6.336
act_fn,960,6.47467
act_fn,976,6.517
act_fn,992,6.70933
act_fn,1008,6.72033
act_fn,1024,6.84767
act_fn,1040,7.02933
act_fn,1056,7.18933
act_fn,1072,7.264
act_fn,1088,7.28533
act_fn,1104,7.40267
act_fn,1120,7.55167
act_fn,1136,7.64833
act_fn,1152,7.82933
act_fn,1168,7.96833
act_fn,1184,8.28833
act_fn,1200,8.50133
act_fn,1216,8.885
act_fn,1232,9.184
act_fn,1248,9.696
act_fn,1264,10.112
act_fn,1280,10.293
act_fn,1296,8.42667
act_fn,1312,8.65067
act_fn,1328,8.66133
act_fn,1344,8.96033
act_fn,1360,9.15233
act_fn,1376,9.13067
act_fn,1392,9.248
act_fn,1408,9.26933
act_fn,1424,9.29067
act_fn,1440,9.54633
act_fn,1456,9.621
act_fn,1472,15.2853
act_fn,1488,14.8267
act_fn,1504,15.478
act_fn,1520,15.797
act_fn,1536,16.2987
act_fn,1552,16.043
act_fn,1568,16.5227
act_fn,1584,17.0987
act_fn,1600,16.5757
act_fn,1616,18.112
act_fn,1632,17.0347
act_fn,1648,17.0557
act_fn,1664,17.2267
act_fn,1680,10.9227
act_fn,1696,10.6987
act_fn,1712,10.848
act_fn,1728,10.976
act_fn,1744,11.0187
act_fn,1760,11.1573
act_fn,1776,11.2003
act_fn,1792,11.4777
act_fn,1808,20.096
act_fn,1824,19.936
act_fn,1840,20.256
act_fn,1856,20.2983
act_fn,1872,21.824
act_fn,1888,21.8343
act_fn,1904,21.8987
act_fn,1920,22.7413
act_fn,1936,25.4507
act_fn,1952,26.3577
act_fn,1968,26.816
act_fn,1984,26.315
act_fn,2000,26.9973
act_fn,2016,27.2107
act_fn,2032,27.2643
act_fn,2048,27.4453
down_proj,1,45.0773
down_proj,2,43.477
down_proj,3,43.392
down_proj,4,43.4667
down_proj,5,44.192
down_proj,6,44.1063
down_proj,7,44.3093
down_proj,8,44.4687
down_proj,9,44.5973
down_proj,10,44.619
down_proj,11,44.2557
down_proj,12,44.757
down_proj,13,44.192
down_proj,14,44.544
down_proj,15,44.3313
down_proj,16,44.608
down_proj,20,48.3837
down_proj,24,48.8213
down_proj,28,48.48
down_proj,32,48.139
down_proj,36,52.7683
down_proj,40,53.312
down_proj,44,53.1303
down_proj,48,52.767
down_proj,52,52.9177
down_proj,56,53.526
down_proj,60,54.0907
down_proj,64,53.5783
down_proj,80,48.2563
down_proj,96,48.352
down_proj,112,49.5253
down_proj,128,48.9917
down_proj,144,62.8053
down_proj,160,61.2907
down_proj,176,64.832
down_proj,192,64.9493
down_proj,208,65.931
down_proj,224,66.2293
down_proj,240,66.4213
down_proj,256,67.2
down_proj,272,77.5573
down_proj,288,77.8773
down_proj,304,78.6987
down_proj,320,78.6247
down_proj,336,78.89
down_proj,352,79.4243
down_proj,368,80.4157
down_proj,384,80.7467
down_proj,400,98.0697
down_proj,416,98.848
down_proj,432,98.7843
down_proj,448,98.9657
down_proj,464,99.5417
down_proj,480,99.424
down_proj,496,100.48
down_proj,512,100.214
down_proj,528,111.542
down_proj,544,111.605
down_proj,560,112.203
down_proj,576,110.988
down_proj,592,111.296
down_proj,608,111.211
down_proj,624,111.915
down_proj,640,112.672
down_proj,656,135.488
down_proj,672,136.042
down_proj,688,136.395
down_proj,704,136.565
down_proj,720,136.416
down_proj,736,136.811
down_proj,752,137.248
down_proj,768,138.944
down_proj,784,147.701
down_proj,800,147.263
down_proj,816,147.446
down_proj,832,148.065
down_proj,848,148.394
down_proj,864,148.17
down_proj,880,148.204
down_proj,896,148.875
down_proj,912,168.287
down_proj,928,167.776
down_proj,944,167.477
down_proj,960,167.936
down_proj,976,169.013
down_proj,992,168.48
down_proj,1008,168.864
down_proj,1024,169.633
down_proj,1040,183.797
down_proj,1056,185.856
down_proj,1072,184.17
down_proj,1088,184.459
