layer,sequences,time_us
lm_head,1,356.181
lm_head,2,348.757
lm_head,3,349.899
lm_head,4,349.206
lm_head,5,349.334
lm_head,6,350.347
lm_head,7,350.593
lm_head,8,351.329
lm_head,9,350.848
lm_head,10,351.488
lm_head,11,352.086
lm_head,12,352.128
lm_head,13,353.504
lm_head,14,354.304
lm_head,15,354.188
lm_head,16,354.848
lm_head,20,355.937
lm_head,24,356.918
lm_head,28,357.729
lm_head,32,358.677
lm_head,36,355.926
lm_head,40,357.366
lm_head,44,357.654
lm_head,48,358.849
lm_head,52,359.915
lm_head,56,362.551
lm_head,60,362.167
lm_head,64,361.942
lm_head,80,387.073
lm_head,96,393.133
lm_head,112,371.01
lm_head,128,372.662
lm_head,144,396.77
lm_head,160,399.233
lm_head,176,403.105
lm_head,192,402.775
lm_head,208,404.726
lm_head,224,405.654
lm_head,240,407.831
lm_head,256,409.943
sampler,1,24.746
sampler,2,25.8337
sampler,3,26.0483
sampler,4,26.0063
sampler,5,26.1653
sampler,6,26.2617
sampler,7,26.4537
sampler,8,26.3783
sampler,9,26.464
sampler,10,28.0213
sampler,11,28.3837
sampler,12,28.63
sampler,13,28.6507
sampler,14,28.48
sampler,15,28.8427
sampler,16,28.63
sampler,20,30.037
sampler,24,30.752
sampler,28,31.8397
sampler,32,32.778
sampler,36,33.5467
sampler,40,34.7733
sampler,44,35.5093
sampler,48,36.6293
sampler,52,37.505
sampler,56,38.3893
sampler,60,39.6483
sampler,64,40.4057
sampler,80,44.8
sampler,96,49.4083
sampler,112,56.0433
sampler,128,63.766
sampler,144,74.5603
sampler,160,82.9337
sampler,176,108.821
sampler,192,118.101
sampler,208,128.363
sampler,224,138.656
sampler,240,151.051
sampler,256,164.15
