pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.069,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0553,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.062,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.062,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0444,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0562,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1031,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0599,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.097,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0426,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0289,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0096,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.234,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2387,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.3018,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.067,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0412,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0599,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0212,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0322,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0245,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0251,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.1161,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0164,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1092,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.1955,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.1996,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0081,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.5501,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.3091,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0203,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0203,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.022,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.017,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.013,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0056,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0385,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0177,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0367,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0087,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0092,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0101,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.1553,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1485,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.126,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0045,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0015,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0114,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0526,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0063,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0005,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0081,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,-0.0005,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0313,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0137,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0091,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.057,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.0008,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0336,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0157,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.2388,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.1519,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0068,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.2945,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.0339,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.2324,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.4357,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.1729,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0009,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0618,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0024,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0057,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0407,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,-0.0026,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0005,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0376,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.002,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0093,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0343,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0032,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0342,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.0366,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0012,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0277,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1595,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,-0.0252,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,-0.0065,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.1414,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0184,4
