run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3700,1377932556,0.11563584086008064,0.13728109231225882
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,human,31997,26952,recompute,23252,5165392387,0.7266931274807014,0.8627189076877412
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,254,52529954,0.08201485308362932,0.0993351583887368
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2303,384038180,0.7436228608330643,0.9006648416112631
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,50993,8935573911,0.16282381641170066,0.16508733023617203
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,tool,313179,308885,recompute,257892,36841128450,0.8234651748680467,0.8349126697638279
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7312,2819762686,0.2285214238834891,0.27129712080736124
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,human,31997,26952,ssd,19640,3723562257,0.6138075444572929,0.7287028791926388
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,635,138799013,0.20503713270907328,0.248337895971842
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1922,297769121,0.6206005812076203,0.751662104028158
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,108853,20032754109,0.34757439036461574,0.3524062353303009
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,tool,313179,308885,ssd,200032,25743948252,0.6387146009151315,0.6475937646696991
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,human,31997,26952,decode_hbm,8045,2893531017,0.2514298215457699,0.2984936182843574
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,human,31997,26952,cpu,11956,2508461796,0.37366003062787134,0.44360344315820716
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,human,31997,26952,ssd,6951,1141332130,0.21723911616714067,0.25790293855743546
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,mixed,3097,2557,decode_hbm,885,167218531,0.2857604133031966,0.34610872115760655
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,mixed,3097,2557,cpu,1177,178267658,0.3800452050371327,0.4603050449745796
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,mixed,3097,2557,ssd,495,91081945,0.1598320955763642,0.19358623386781385
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,tool,313179,308885,decode_hbm,186191,28624618215,0.5945194281864365,0.6027842077148453
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,tool,313179,308885,cpu,58075,7782592236,0.18543708230756212,0.1880149570228402
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,tool,313179,308885,ssd,64619,9369491910,0.20633248078574873,0.20920083526231445
