run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,56093,1036421000626176,0.860051843,575.957751709
full_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,full_residual,hbm_lru_recompute,prefill_to_decode,357161,4360307442843648,12.096888425,2423.464684668
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,cpu_stage_to_decode,226239,2970300524789760,0.0,14852.633929517
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,24.597714012,2923.145584093
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,231240,3041601782808576,506701.089849161,90528.487489639
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,11.584851716,77.143758746
full_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,226239,2970300524789760,274945.542600428,53814.317005824
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,cpu_stage_to_decode,72971,1051430207619072,0.0,5257.5159289
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,cpu_to_decode,71936,1034756030988288,16505.147737571,5174.139870089
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,cpu_to_ssd,73809,1062489431212032,46926.368993366,31623.185476081
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,55.842287472,2923.145584093
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,hbm_to_cpu,149030,2143054298873856,42306.681429203,10716.016717374
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,prefill_to_decode,357161,136929770569728,38.707822962,77.143758746
full_residual__central_attention_one_third__tiered,central_attention_one_third,full_residual,tiered,ssd_to_cpu_stage_for_decode,72971,1051430207619072,15391.513981321,19049.108144345
