run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,2619,1056990306,0.08185142357095977,0.09717275155832591
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,recompute,24333,5486334637,0.7604775447698222,0.9028272484416741
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,174,39438343,0.05618340329350985,0.06804849432929214
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2383,397129791,0.7694543106231837,0.9319515056707078
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,39518,7027088366,0.12618342864623747,0.12793758194797417
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,recompute,269367,38749613995,0.8601055626335099,0.8720624180520259
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7083,2741193480,0.22136450292214896,0.2628005342831701
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,ssd,19869,3802131463,0.620964465418633,0.7371994657168299
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,608,128037113,0.19631901840490798,0.23777864685177943
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1949,308531021,0.6293186955117857,0.7622213531482206
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,104177,19185992742,0.33264363191657165,0.3372679152435372
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,ssd,204708,26590709619,0.6536453593631757,0.6627320847564627
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,human,31997,26952,decode_hbm,7579,2807568761,0.2368659561833922,0.28120362125259724
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,human,31997,26952,cpu,12359,2587870100,0.3862549614026315,0.45855595132086674
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,human,31997,26952,ssd,7014,1147886082,0.21920805075475827,0.2602404274265361
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,mixed,3097,2557,decode_hbm,784,153952072,0.25314820794317083,0.3066093077825577
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,mixed,3097,2557,cpu,1276,191828201,0.41201162415240555,0.49902229174814233
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,mixed,3097,2557,ssd,497,90787861,0.16047788182111722,0.19436840046929996
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,tool,313179,308885,decode_hbm,169075,26348619192,0.5398669770323042,0.5473719992877608
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,tool,313179,308885,cpu,75494,10119435069,0.24105703128242953,0.24440811305178303
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,tool,313179,308885,ssd,64316,9308648100,0.20536498296501363,0.20821988766045615
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,unknown,4607,0,recompute,0,0,0.0,0.0
