run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,43523,816984955944960,0.442077463,454.011121724
full_residual__central_full_attention__hbm_lru_recompute,central_full_attention,full_residual,hbm_lru_recompute,prefill_to_decode,357161,4579743487524864,5.396132659,2545.373598398
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,cpu_stage_to_decode,231435,3066523320582144,0.0,15333.773891055
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,25.268822815,2923.145584093
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,236497,3138821365432320,514410.175915881,93422.032591116
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,16.957704934,77.143758746
full_residual__central_full_attention__hbm_ssd_direct,central_full_attention,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,231435,3066523320582144,191161.873478991,55557.58751878
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,cpu_stage_to_decode,72735,1046131255541760,0.0,5231.019988406
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,cpu_to_decode,90727,1285524978401280,16717.530564504,6428.078571337
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,cpu_to_ssd,73581,1057256257880064,47942.283551385,31467.431709638
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,45.614993642,2923.145584093
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,hbm_to_cpu,167760,2391233807253504,42939.650706419,11957.007918439
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,prefill_to_decode,357161,136929770569728,38.640471661,77.143758746
full_residual__central_full_attention__tiered,central_full_attention,full_residual,tiered,ssd_to_cpu_stage_for_decode,72735,1046131255541760,15385.13784498,18953.107915576
