run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3084,1234260701,0.09638403600337532,0.11442564559216385
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,recompute,23868,5309064242,0.7459449323374067,0.8855743544078362
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,202,46649203,0.06522441072005167,0.07899882675009777
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2355,389918931,0.7604133031966419,0.9210011732499023
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,42964,7603718140,0.13718672069327764,0.13909383751234278
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,recompute,265921,38172984221,0.8491022705864697,0.8609061624876572
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7189,2765794414,0.22467731349814046,0.2667334520629267
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,ssd,19763,3777530529,0.6176516548426415,0.7332665479370734
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,623,133585279,0.20116241524055536,0.2436448963629253
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1934,302982855,0.6244752986761382,0.7563551036370747
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,108420,19913343446,0.3461917944689778,0.3510044191203846
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,ssd,200465,25863358915,0.6400971968107696,0.6489955808796154
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
