run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,47381,890511302885376,0.429324817,494.870668206
full_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,full_residual,hbm_lru_recompute,prefill_to_decode,357161,4506217140584448,8.237188431,2504.525627907
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,cpu_stage_to_decode,226871,2988907715100672,0.0,14945.673041365
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,30.3831218,2923.145584093
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,231890,3060184604737536,514387.297832674,91081.560666418
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,15.164325199,77.143758746
full_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,226871,2988907715100672,233445.338102876,54151.416427109
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,cpu_stage_to_decode,72181,1039003989049344,0.0,5195.380885665
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,cpu_to_decode,75011,1087914433314816,15018.124151144,5439.947258199
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,cpu_to_ssd,73007,1049931738513408,47342.78430863,31249.428581559
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,56.80359326,2923.145584093
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,hbm_to_cpu,151330,2184093263462400,40038.681811805,10921.223041425
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,prefill_to_decode,357161,136929770569728,40.765192593,77.143758746
full_residual__fast_full_attention__tiered,fast_full_attention,full_residual,tiered,ssd_to_cpu_stage_for_decode,72181,1039003989049344,15339.656965269,18823.979688716
