run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,2427,1000148090,0.07585086101822046,0.09004897595725735
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,human,31997,26952,recompute,24525,5543176853,0.7664781073225615,0.9099510240427426
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,165,35722696,0.05327736519212141,0.06452874462260462
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2392,400845438,0.7723603487245722,0.9354712553773954
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,37728,6722498580,0.12046784746103666,0.12214254496009842
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,tool,313179,308885,recompute,271157,39054203781,0.8658211438187107,0.8778574550399015
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,6975,2696148838,0.21798918648623308,0.258793410507569
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,ssd,19977,3847176105,0.6243397818545489,0.741206589492431
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,581,118263942,0.18760090410074265,0.22721939773171684
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1976,318304192,0.6380368098159509,0.7727806022682832
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,103163,18884619331,0.3294058669323294,0.3339851401006847
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,ssd,205722,26892083030,0.6568831243474179,0.6660148598993153
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,human,31997,26952,decode_hbm,7506,2804043125,0.23458449229615277,0.2784951024042743
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,human,31997,26952,cpu,12271,2563403472,0.3835047035659593,0.4552908875037103
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,human,31997,26952,ssd,7175,1175878346,0.22423977247866989,0.26621401009201545
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,mixed,3097,2557,decode_hbm,758,151593759,0.244752986761382,0.2964411419632382
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,mixed,3097,2557,cpu,1281,191076055,0.413626089764288,0.5009777082518576
