run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,41462,780161710620672,0.366168064,433.547579199
full_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,full_residual,hbm_lru_recompute,prefill_to_decode,357161,4616566732849152,5.686526228,2565.830956863
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,cpu_stage_to_decode,232619,3102202063749120,0.0,15512.173527455
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,26.342315029,2923.145584093
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,237693,3174881484079104,505813.421013836,94495.274328535
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,18.137638184,77.143758746
full_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,232619,3102202063749120,175565.039610209,56203.965242269
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,cpu_stage_to_decode,75949,1094411594760192,0.0,5472.437756054
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,cpu_to_decode,97887,1367742680137728,16986.033664839,6839.202883605
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,cpu_to_ssd,76812,1105716853604352,50142.822533169,32909.775965801
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,39.121274199,2923.145584093
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,hbm_to_cpu,178164,2522233341739008,44851.958787445,12612.057616006
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,prefill_to_decode,357161,136929770569728,36.236618631,77.143758746
full_residual__slow_full_attention__tiered,slow_full_attention,full_residual,tiered,ssd_to_cpu_stage_for_decode,75949,1094411594760192,15778.569984296,19827.816023553
