run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3926,1485812346,0.1226990030315342,0.1456663698426833
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,human,31997,26952,recompute,23026,5057512597,0.7196299653092477,0.8543336301573167
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,249,51123719,0.08040038747174685,0.0973797418850215
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2308,385444415,0.7452373264449467,0.9026202581149785
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,48131,8532207747,0.15368527263960866,0.15582174595723328
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,tool,313179,308885,recompute,260754,37244494614,0.8326037186401387,0.8441782540427667
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,8041,3127081405,0.2513048098259212,0.2983452062926685
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,human,31997,26952,ssd,18911,3416243538,0.5910241585148608,0.7016547937073315
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,722,157427492,0.2331288343558282,0.28236214313648805
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1835,279140642,0.5925088795608654,0.7176378568635119
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,115313,21209541317,0.3682015716251728,0.3733201676999531
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,tool,313179,308885,ssd,193572,24567161044,0.6180874196545746,0.626679832300047
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
