run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,53056,1001170316230656,1.018177228,556.364925665
half_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,half_residual,hbm_lru_recompute,prefill_to_decode,357161,4395558127239168,14.283841679,2443.048398068
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,cpu_stage_to_decode,218801,2820780118769664,0.0,14104.994705752
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,32.864024945,2923.145584093
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,223651,2889517581729792,635948.614856574,86002.020197863
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,12.949887096,77.143758746
half_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218801,2820780118769664,345155.356759865,51105.465234627
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,cpu_stage_to_decode,62646,911186710757376,0.0,4556.246814474
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,cpu_to_decode,61828,873232508387328,16269.841408987,4366.471712197
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,cpu_to_ssd,63416,921197269745664,41002.843156949,27417.853758122
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,74.226386832,2923.145584093
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,hbm_to_cpu,128404,1838103145218048,39285.094543797,9191.157809002
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,prefill_to_decode,357161,136929770569728,44.21177449,77.143758746
half_residual__central_attention_one_third__tiered,central_attention_one_third,half_residual,tiered,ssd_to_cpu_stage_for_decode,62646,911186710757376,13489.450364018,16508.258580214
