run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3081,1258914755,0.09629027721348876,0.11431433659839715
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,recompute,23871,5284410188,0.7460386911272932,0.8856856634016028
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,188,44207833,0.06070390700678076,0.07352366053969496
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2369,392360301,0.7649338069099129,0.926476339460305
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,41195,7335973817,0.13153819381248424,0.13336678699192256
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,recompute,267690,38440728544,0.8547507974672631,0.8666332130080774
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7929,3099754119,0.2478044816701566,0.2941896705253785
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,ssd,19023,3443570824,0.5945244866706254,0.7058103294746215
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,686,150584180,0.22150468195027445,0.268283144309738
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
