run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,45525,865404856958976,0.56484303,480.917073775
half_residual__central_full_attention__hbm_lru_recompute,central_full_attention,half_residual,hbm_lru_recompute,prefill_to_decode,357161,4531323586510848,6.585351982,2518.473653438
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,cpu_stage_to_decode,222708,2892954877820928,0.0,14465.888037929
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,32.794474649,2923.145584093
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,227605,2962343517487104,678883.432360251,88169.537843902
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,18.672643311,77.143758746
half_residual__central_full_attention__hbm_ssd_direct,central_full_attention,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,222708,2892954877820928,235804.048803208,52413.057127432
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,cpu_stage_to_decode,72432,1040781347389440,0.0,5204.268932476
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,cpu_to_decode,71749,1011548215050240,16270.713190408,5058.099855315
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,cpu_to_ssd,73256,1051578858995712,48011.578673554,31298.455004592
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,57.849038212,2923.145584093
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,hbm_to_cpu,148234,2108321068744704,42314.196619892,10542.346586348
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,prefill_to_decode,357161,136929770569728,40.256209329,77.143758746
half_residual__central_full_attention__tiered,central_full_attention,half_residual,tiered,ssd_to_cpu_stage_for_decode,72432,1040781347389440,15311.88611792,18856.183229491
