run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3341,1307284556,0.10441603900365659,0.1239611160581775
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,recompute,23611,5236040387,0.7379129293371254,0.8760388839418225
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,218,47504127,0.07039070067807555,0.0852561595619867
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2339,389064007,0.755247013238618,0.9147438404380133
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,45214,7820415046,0.14437111045121162,0.14637810188257766
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,recompute,263671,37956287315,0.8419178808285358,0.8536218981174224
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7992,3114780843,0.24977341625777416,0.2965271593944791
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,ssd,18960,3428544100,0.5925555520830078,0.703472840605521
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,695,148188025,0.2244107200516629,0.2718028940164255
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1862,288380109,0.6012269938650306,0.7281971059835745
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,113043,20798881108,0.3609533206249461,0.36597115431309385
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,tool,313179,308885,ssd,195842,24977821253,0.6253356706548012,0.6340288456869061
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,human,31997,26952,decode_hbm,8939,3241585042,0.2793699409319624,0.3316636984268329
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,human,31997,26952,cpu,11377,2215043862,0.35556458417976683,0.4221208073612348
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,human,31997,26952,ssd,6636,1086696039,0.20739444322905273,0.2462154942119323
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,mixed,3097,2557,decode_hbm,975,185341964,0.31482079431708104,0.3813062182244818
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,mixed,3097,2557,cpu,1138,168734889,0.36745237326444946,0.4450527962456003
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,mixed,3097,2557,ssd,444,82491281,0.14336454633516307,0.17364098552991789
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,mixed,3097,2557,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,tool,313179,308885,decode_hbm,197757,30258113326,0.6314503846043317,0.6402285640286838
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,tool,313179,308885,cpu,52949,7038637681,0.16906944590793124,0.17141978406202957
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,tool,313179,308885,ssd,58179,8479951354,0.1857691607674844,0.18835165190928663
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,tool,313179,308885,recompute,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,unknown,4607,0,recompute,0,0,0.0,0.0
