run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,49764,917140441202688,0.662947054,509.671784127
half_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,half_residual,hbm_lru_recompute,prefill_to_decode,357161,4479588002267136,10.207389368,2489.731662121
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,cpu_stage_to_decode,221259,2864616974057472,0.0,14324.191273394
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,31.786031685,2923.145584093
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,226119,2933271904124928,665447.108253032,87304.281535049
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,15.643138064,77.143758746
half_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,221259,2864616974057472,296201.609868198,51899.660324956
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,cpu_stage_to_decode,66093,956867918954496,0.0,4784.67009217
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,cpu_to_decode,65879,930378344300544,17228.381400126,4652.221148743
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,cpu_to_ssd,66884,967188149698560,43989.696961277,28786.699308771
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,68.16073365,2923.145584093
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,hbm_to_cpu,135954,1941892508418048,40576.16007381,9710.142378722
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,prefill_to_decode,357161,136929770569728,43.208823675,77.143758746
half_residual__fast_full_attention__tiered,fast_full_attention,half_residual,tiered,ssd_to_cpu_stage_for_decode,66093,956867918954496,14396.871523135,17335.885641411
