run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,2937,1223608975,0.09178985529893427,0.10897150489759573
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,human,31997,26952,recompute,24015,5319715968,0.7505391130418477,0.8910284951024042
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,180,42968773,0.05812076202776881,0.07039499413375049
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2377,393599361,0.7675169518889248,0.9296050058662495
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,38880,7068806792,0.12414625501709885,0.12587208831765867
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,tool,313179,308885,recompute,270005,38707895569,0.8621427362626485,0.8741279116823413
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7814,3056516952,0.24421039472450543,0.28992282576432177
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,ssd,19138,3486807991,0.5981185736162765,0.7100771742356783
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,661,140013657,0.21343235389086213,0.25850606179116153
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1896,296554477,0.6122053600258315,0.7414939382088385
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,110631,20295165934,0.35325165480444093,0.3581624229082021
