run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,43027,835092701184000,0.429594686,464.069491971
half_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,half_residual,hbm_lru_recompute,prefill_to_decode,357161,4561635742285824,6.122095406,2535.313739938
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,cpu_stage_to_decode,223985,2922329616678912,0.0,14612.768117822
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,33.780743076,2923.145584093
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,228901,2992019546308608,675716.542633998,89052.778907988
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,18.905018171,77.143758746
half_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,223985,2922329616678912,215666.214360854,52945.233734347
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,cpu_stage_to_decode,66656,942353397841920,0.0,4712.1003019
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,cpu_to_decode,81068,1140353995898880,18239.271526684,5702.175359107
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,cpu_to_ssd,67454,952775303233536,43681.963073628,28357.7569452
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,54.549169809,2923.145584093
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,hbm_to_cpu,151826,2139371107516416,42975.976312768,10697.614741935
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,prefill_to_decode,357161,136929770569728,40.790951854,77.143758746
half_residual__slow_full_attention__tiered,slow_full_attention,half_residual,tiered,ssd_to_cpu_stage_for_decode,66656,942353397841920,13790.325133063,17072.952678637
