run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,5019,1920404851,0.15685845548020128,0.186219946571683
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,21933,4622920092,0.6854705128605807,0.813780053428317
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,377,74782350,0.121730707135938,0.14743840438013298
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2180,361785784,0.7039070067807556,0.852561595619867
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,62797,10730120703,0.20051472161287953,0.20330219984783982
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,recompute,246088,35046581658,0.7857742696668678,0.7966978001521602
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,8652,3374954788,0.2704003500328156,0.3210151380231523
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,human,31997,26952,ssd,18300,3168370155,0.5719286183079664,0.6789848619768477
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
