run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,69296,1267792132177920,2.182559704,704.53688485
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4128936311291904,18.335735747,2294.925167073
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,216991,2775080006320128,0.0,13876.485092618
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,33.352093807,2923.145584093
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,221714,2841387350360064,776155.291329931,84569.534094794
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,13.199975592,77.143758746
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,216991,2775080006320128,425724.409350565,50277.528445885
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_stage_to_decode,55259,826553418645504,0.0,4133.043415288
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_to_decode,54601,751818246193152,16325.050462936,3759.364262742
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_to_ssd,55977,835788862390272,38234.012108806,24875.788089163
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,90.947511937,2923.145584093
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,hbm_to_cpu,113605,1628982126575616,37510.230594602,8145.478713589
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,prefill_to_decode,357161,136929770569728,50.234353831,77.143758746
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,ssd_to_cpu_stage_for_decode,55259,826553418645504,12445.541521328,14974.899022972
