run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,47052,877186966978560,0.856901615,487.467272197
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4519541476491264,7.36909803,2511.928036716
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,218191,2796944357326848,0.0,13985.812848259
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,38.353910404,2923.145584093
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,222957,2863928069062656,838866.076549401,85240.413678643
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,20.851524042,77.143758746
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218191,2796944357326848,291110.165366019,50673.645761783
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_stage_to_decode,61998,902909306339328,0.0,4514.856552075
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_to_decode,63409,882038560260096,17868.300366676,4410.509877307
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_to_ssd,62762,912864577585152,42124.494344343,27169.843887326
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,73.99715916,2923.145584093
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,hbm_to_cpu,129248,1837031491633152,40830.62099842,9185.803761478
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,prefill_to_decode,357161,136929770569728,45.437916802,77.143758746
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,ssd_to_cpu_stage_for_decode,61998,902909306339328,13551.558727992,16358.292641312
