run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3666,1373673216,0.11457324124136638,0.13601959038290293
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,23286,5169651727,0.7277557270994156,0.8639804096170971
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,251,51896453,0.08104617371649984,0.09816190848650763
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2306,384671681,0.7445915402001937,0.9018380915134924
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,46501,8067038983,0.14848058139274983,0.15054470110235202
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,recompute,262384,37709663378,0.8378084098869976,0.849455298897648
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
