run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,51269,946006716284928,0.969113572,525.71311936
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4450721727184896,11.62374582,2473.694842519
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,217202,2781593843269632,0.0,13909.055332499
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,36.573412664,2923.145584093
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,221937,2848189397336064,798133.52737086,84771.980429174
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,16.393892488,77.143758746
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,217202,2781593843269632,371221.783732117,50395.536958543
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,cpu_stage_to_decode,61088,895637037514752,0.0,4478.490657503
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,cpu_to_decode,58361,822001157013504,17652.760096942,4110.29761866
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,cpu_to_ssd,61846,905513999007744,41607.201586157,26951.058347351
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,80.085924994,2923.145584093
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,hbm_to_cpu,123249,1769193743056896,39800.129314158,8846.585020715
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,prefill_to_decode,357161,136929770569728,45.396761857,77.143758746
zero_residual__fast_full_attention__tiered,fast_full_attention,zero_residual,tiered,ssd_to_cpu_stage_for_decode,61088,895637037514752,13698.638445735,16226.530440424
