run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3143,1274074752,0.09822795887114417,0.11661472246957554
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,23809,5269250191,0.7441010094696378,0.8833852775304245
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,193,44129053,0.06231837261866322,0.07547907704341025
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2364,392439081,0.7633193412980304,0.9245209229565897
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,40598,7234111901,0.12963193573004575,0.13143402884568692
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
