run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,44965,856389125013504,0.544501987,475.906653526
zero_residual__slow_full_attention__hbm_lru_recompute,slow_full_attention,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4540339318456320,6.565877144,2523.482393413
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,218107,2795767213326336,0.0,13979.926708217
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,37.373015156,2923.145584093
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,222874,2862889959948288,845865.148556027,85209.515914046
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,19.115128724,77.143758746
zero_residual__slow_full_attention__hbm_ssd_direct,slow_full_attention,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218107,2795767213326336,260965.432227556,50652.319009288
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,cpu_stage_to_decode,64333,916233391177728,0.0,4581.488652429
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,cpu_to_decode,69387,955177689415680,19533.075857103,4776.235415976
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,cpu_to_ssd,65111,926268656713728,42679.5034397,27568.82179485
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,66.894115375,2923.145584093
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,hbm_to_cpu,137630,1924676609114112,43363.347545303,9624.07126296
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,prefill_to_decode,357161,136929770569728,42.315325427,77.143758746
zero_residual__slow_full_attention__tiered,slow_full_attention,zero_residual,tiered,ssd_to_cpu_stage_for_decode,64333,916233391177728,13551.188575141,16599.717691002
