run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3223,1285822315,0.10072819326811888,0.1195829623033541
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,23729,5257502628,0.7416007750726631,0.8804170376966459
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,203,45546403,0.06554730384242816,0.07938991005084083
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2354,391021731,0.7600904100742654,0.9206100899491592
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,42630,7438372174,0.13612023794698877,0.1380125289347168
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,tool,313179,308885,recompute,266255,38338330187,0.8501687533327585,0.8619874710652832
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,8520,3334290317,0.2662749632778073,0.3161175422974176
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,human,31997,26952,ssd,18432,3209034626,0.5760540050629747,0.6838824577025824
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,737,159905654,0.23797223119147562,0.28822839264763395
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1820,276662480,0.5876654827252179,0.7117716073523661
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,115451,21245846350,0.3686422141969928,0.3737669359146608
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,tool,313179,308885,ssd,193434,24530856011,0.6176467770827546,0.6262330640853392
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,human,31997,26952,decode_hbm,9601,3487504636,0.30005938056692816,0.35622588305135056
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,human,31997,26952,cpu,10894,2001102070,0.340469419008032,0.4042000593647967
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,human,31997,26952,ssd,6457,1054718237,0.2018001687658218,0.23957405758385278
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,mixed,3097,2557,decode_hbm,1043,199685764,0.3367775266386826,0.40789988267500976
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,mixed,3097,2557,cpu,1094,158344861,0.35324507587988374,0.4278451310129057
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,mixed,3097,2557,ssd,420,78537509,0.1356151113981272,0.16425498631208446
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,mixed,3097,2557,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,tool,313179,308885,decode_hbm,203689,31038847935,0.6503916290683602,0.6594331223594542
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,tool,313179,308885,cpu,50880,6767853763,0.16246300039274664,0.1647214982922447
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,tool,313179,308885,ssd,54316,7970000663,0.17343436181864047,0.17584537934830113
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,tool,313179,308885,recompute,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,unknown,4607,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,unknown,4607,0,cpu,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,unknown,4607,0,ssd,0,0,0.0,0.0
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,unknown,4607,0,recompute,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,5019,1920404851,0.15685845548020128,0.186219946571683
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,21933,4622920092,0.6854705128605807,0.813780053428317
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,377,74782350,0.121730707135938,0.14743840438013298
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2180,361785784,0.7039070067807556,0.852561595619867
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,62797,10730120703,0.20051472161287953,0.20330219984783982
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
