run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,47052,877186966978560,0.856901615,487.467272197
zero_residual__central_full_attention__hbm_lru_recompute,central_full_attention,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4519541476491264,7.36909803,2511.928036716
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,218191,2796944357326848,0.0,13985.812848259
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,38.353910404,2923.145584093
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,222957,2863928069062656,838866.076549401,85240.413678643
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,20.851524042,77.143758746
zero_residual__central_full_attention__hbm_ssd_direct,central_full_attention,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218191,2796944357326848,291110.165366019,50673.645761783
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_stage_to_decode,61998,902909306339328,0.0,4514.856552075
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_to_decode,63409,882038560260096,17868.300366676,4410.509877307
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,cpu_to_ssd,62762,912864577585152,42124.494344343,27169.843887326
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,73.99715916,2923.145584093
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,hbm_to_cpu,129248,1837031491633152,40830.62099842,9185.803761478
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,prefill_to_decode,357161,136929770569728,45.437916802,77.143758746
zero_residual__central_full_attention__tiered,central_full_attention,zero_residual,tiered,ssd_to_cpu_stage_for_decode,61998,902909306339328,13551.558727992,16358.292641312
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,69296,1267792132177920,2.182559704,704.53688485
zero_residual__central_attention_one_third__hbm_lru_recompute,central_attention_one_third,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4128936311291904,18.335735747,2294.925167073
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,216991,2775080006320128,0.0,13876.485092618
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,33.352093807,2923.145584093
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,221714,2841387350360064,776155.291329931,84569.534094794
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,13.199975592,77.143758746
zero_residual__central_attention_one_third__hbm_ssd_direct,central_attention_one_third,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,216991,2775080006320128,425724.409350565,50277.528445885
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_stage_to_decode,55259,826553418645504,0.0,4133.043415288
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_to_decode,54601,751818246193152,16325.050462936,3759.364262742
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,cpu_to_ssd,55977,835788862390272,38234.012108806,24875.788089163
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,90.947511937,2923.145584093
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,hbm_to_cpu,113605,1628982126575616,37510.230594602,8145.478713589
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,prefill_to_decode,357161,136929770569728,50.234353831,77.143758746
zero_residual__central_attention_one_third__tiered,central_attention_one_third,zero_residual,tiered,ssd_to_cpu_stage_for_decode,55259,826553418645504,12445.541521328,14974.899022972
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,51269,946006716284928,0.969113572,525.71311936
zero_residual__fast_full_attention__hbm_lru_recompute,fast_full_attention,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,4450721727184896,11.62374582,2473.694842519
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,217202,2781593843269632,0.0,13909.055332499
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,36.573412664,2923.145584093
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,221937,2848189397336064,798133.52737086,84771.980429174
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,16.393892488,77.143758746
zero_residual__fast_full_attention__hbm_ssd_direct,fast_full_attention,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,217202,2781593843269632,371221.783732117,50395.536958543
