run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,3964,1429208572,0.1238866143700972,0.1470762837637281
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,human,31997,26952,recompute,22988,5114116371,0.7184423539706848,0.852923716236272
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,337,65593270,0.10881498224087827,0.13179507235041063
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2220,370974864,0.7168227316758153,0.8682049276495893
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,59195,9815517846,0.18901331187595594,0.19164090195380157
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,tool,313179,308885,recompute,249690,35961184515,0.7972756794037914,0.8083590980461984
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,7351,2838164241,0.22974028815201425,0.2727441377263283
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,human,31997,26952,ssd,19601,3705160702,0.6125886801887677,0.7272558622736717
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,644,137745069,0.20794317081046174,0.25185764567852953
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,mixed,3097,2557,ssd,1913,298823065,0.6176945431062318,0.7481423543214705
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,tool,313179,308885,decode_hbm,110806,20381931913,0.35381044067450246,0.3587289768036648
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,tool,313179,308885,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,tool,313179,308885,ssd,198079,25394770448,0.6324785506052449,0.6412710231963352
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,human,31997,26952,decode_hbm,8235,2946749998,0.25736787823858487,0.30554318788958146
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,human,31997,26952,cpu,12032,2502190715,0.3760352533049973,0.44642327100029683
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,human,31997,26952,ssd,6685,1094384230,0.20892583679719973,0.24803354111012169
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,human,31997,26952,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,mixed,3097,2557,decode_hbm,933,180127259,0.3012592831772683,0.3648807195932734
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,mixed,3097,2557,cpu,1173,173065819,0.37875363254762673,0.45874071177160736
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,mixed,3097,2557,ssd,451,83375056,0.14562479819179852,0.17637856863511928
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,mixed,3097,2557,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,tool,313179,308885,decode_hbm,197176,30067064310,0.6295952155157274,0.6383476050957476
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,tool,313179,308885,cpu,52570,7126361270,0.1678592753664837,0.17019279019699887
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,tool,313179,308885,ssd,59139,8583276781,0.18883450039753624,0.1914596047072535
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,tool,313179,308885,recompute,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,unknown,4607,0,decode_hbm,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,unknown,4607,0,cpu,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,unknown,4607,0,ssd,0,0,0.0,0.0
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,unknown,4607,0,recompute,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,7617,2778263696,0.2380535675219552,0.282613535173642
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,human,31997,26952,recompute,19335,3765061247,0.6042754008188268,0.7173864648263579
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,839,151054361,0.27090732967387793,0.32811888932342587
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,mixed,3097,2557,recompute,1718,285513773,0.5547303842428156,0.6718811106765741
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,170954,25530735167,0.5458667407457077,0.5534551693996147
