run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,64721,1130399472746496,2.246697252,628.193902306
full_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,full_residual,hbm_lru_recompute,prefill_to_decode,357161,4266328970723328,18.54259115,2371.254422147
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,cpu_stage_to_decode,224265,2934913643839488,0.0,14675.689653799
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,24.190107827,2923.145584093
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,229257,3006145063550976,490415.490708828,89473.188327011
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,13.609812954,77.143758746
full_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,224265,2934913643839488,309895.822358276,53173.210841001
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,cpu_stage_to_decode,67120,967979139858432,0.0,4840.231332194
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,cpu_to_decode,66140,966822936969216,15348.763489784,4834.445417148
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,cpu_to_ssd,67918,978396748185600,42338.152466784,29120.30922992
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,64.033653281,2923.145584093
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,hbm_to_cpu,137343,1991121835130880,41607.097321107,9956.295957891
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,prefill_to_decode,357161,136929770569728,44.639304421,77.143758746
full_residual__full_causal_scale_1__tiered,full_causal_scale_1,full_residual,tiered,ssd_to_cpu_stage_for_decode,67120,967979139858432,13430.836777433,17537.196415676
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,decode_hbm_to_prefill,184658,2856041355509760,22.015430284,1587.243707598
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_lru_recompute,prefill_to_decode,357161,2540687087960064,51.271801285,1412.56448802
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_ssd_direct,cpu_stage_to_decode,224620,2932306516377600,0.0,14662.655791639
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,21.522597993,2923.145584093
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_ssd_direct,hbm_to_ssd_direct,229598,3002939011497984,489174.236331997,89377.776931313
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,15.411511498,77.143758746
full_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,full_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,224620,2932306516377600,329431.245841602,53125.987371194
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,cpu_stage_to_decode,67290,969133095124992,0.0,4846.001958611
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,cpu_to_decode,63813,927596051693568,15282.393424748,4638.29935465
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,cpu_to_ssd,68088,979519055855616,42390.872562991,29153.714643993
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,62.780522519,2923.145584093
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,hbm_to_cpu,135183,1953104282517504,43708.759685221,9766.1973938
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,prefill_to_decode,357161,136929770569728,55.022817941,77.143758746
full_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,full_residual,tiered,ssd_to_cpu_stage_for_decode,67290,969133095124992,13139.577483725,17558.104802476
