run_id,compute_endpoint,prompt_compute_scale,reserve_case,baseline,report_schema_version,tp_size,max_context_tokens,hbm_total_bytes_per_rank,model_weight_bytes_per_rank_estimate,common_hbm_reserve_bytes_per_rank,prefill_hbm_reserve_bytes_per_rank,decode_hbm_reserve_bytes_per_rank,prefill_hbm_kv_budget_bytes_per_rank,decode_hbm_kv_budget_bytes_per_rank,all_request_count,context_admissible_request_count,reuse_eligible_transition_count,decode_hbm_resume_count,cpu_resume_count,ssd_resume_count,recompute_count,decode_hbm_resume_fraction_all_requests,cpu_resume_fraction_all_requests,ssd_resume_fraction_all_requests,cpu_or_ssd_resume_fraction_all_requests,recompute_fraction_all_requests,recompute_fraction_executed_prompt_compute,restore_raw_request_sum_seconds,restore_exposed_request_sum_seconds,restore_exposed_wall_union_seconds,transfer_queue_wait_seconds,transfer_service_seconds,oracle_request_summed_service_slowdown_fraction,oracle_session_e2e_slowdown_fraction,oracle_trace_makespan_slowdown_fraction,request_makespan_seconds,report_sha256
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,1.0,zero_residual,hbm_lru_recompute,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,84481,0,0,253913,0.23653478403297112,0.0,0.0,0.0,0.7109202852495093,0.9613777435969764,935.264814689,935.264814689,932.743676341,28.451806143,2999.511221173,485.60775801546015,0.21592603475944827,0.003932633542694797,6129879.60797799,9d4f0bd709d858a78c5cef7ffb28577cbaa0345009a6988467a9aaef9182940f
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,1.0,zero_residual,hbm_ssd_direct,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,132442,0,205952,0,0.37081876240686973,0.0,0.5766363068756107,0.5766363068756107,0.0,0.0,22353178.48906232,22353178.48906232,88838.499976025,1174939.301161575,147014.844661011,453.58225151301787,0.2016858573403406,0.00320307262023678,6125425.005675072,b121cbb9d88abe9776b39cd8846c0084d9c69259845539590419efa45fc84a11
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,1.0,zero_residual,tiered,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,227768,49791,60835,0,0.6377180039254006,0.13940771808792113,0.17032934726915872,0.30973706535707984,0.0,0.0,13105567.464586003,13105567.464586003,61397.23359323,109449.962995427,62423.852702937,262.67043705251814,0.11679670471713477,0.001752052867418863,6116565.271369809,3a428fe5d14644f62c8afc39d72900b4b3093135ede1a16a22f48bb0961f78c8
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,0.3333333333333333,zero_residual,hbm_lru_recompute,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,271439,0,0,66955,0.7599905924779021,0.0,0.0,0.0,0.18746447680457834,0.9012727546742455,2428.794817586,2428.794817586,2389.845203509,117.303478145,3000.087489352,15.984557710069815,0.0026619796733711176,6.255051728865091e-05,6103560.908765321,75edab21cf3d0ede9cddbe9ec2c5939ccc010be91ffa331f5823bde23b55cd78
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,0.3333333333333333,zero_residual,hbm_ssd_direct,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,126245,0,212149,0,0.35346804382337377,0.0,0.5939870254591066,0.5939870254591066,0.0,0.0,24141655.360757437,24141655.360757437,90847.02049027,1238080.880675291,151086.132945812,1309.1938546680558,0.2180258905401664,0.004169529253545967,6128626.535765137,19dc7b83e9fa61d9de07b093e306cb7a2bded03d5ef45f43dd8f54b6db30bbab
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,0.3333333333333333,zero_residual,tiered,12,4,1010000,80000000000,15285227520,0,0,0,64714772480,64714772480,357161,357161,338394,221901,53678,62815,0,0.621291238405089,0.15029076522912635,0.17587306564826508,0.3261638308773914,0.0,0.0,13607497.2676172,13607497.2676172,63339.271861174,120886.446230471,64392.16393418,728.2646458356003,0.12128115892927416,0.0017672355204878532,6113964.906737152,d3052b4575d75b1f006fdda627707acdf94c2a628341db683c8a7ebc0de00584
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,1.0,half_residual,hbm_lru_recompute,12,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,75821,0,0,262573,0.21228801576879894,0.0,0.0,0.0,0.7351670535136815,0.9659278348047103,890.935408404,890.935408404,888.82249133,24.361120899,2999.485050701,722.0497031690031,0.3210602111088099,0.010134103230053038,6167744.960000551,2bdaaf9c07b232f85ca73d05970790cb9982feee67bdcdf4f5f2d683a1535ea8
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,1.0,half_residual,hbm_ssd_direct,12,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,124092,0,214302,0,0.3474399500505374,0.0,0.6000151192319431,0.6000151192319431,0.0,0.0,24418344.099730194,24418344.099730194,94054.335401592,1007573.413425354,154047.27972533,495.899450321962,0.22050224729729773,0.0042172903764450265,6131617.684878946,d6107ab6c4cc27223ae2e4d950282a7058c7d69a7afb3fa51d59e410353f3ce7
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,1.0,half_residual,tiered,12,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,216717,58980,62697,0,0.6067767757397924,0.16513561111095557,0.17554268243173246,0.340678293542688,0.0,0.0,13561290.729351832,13561290.729351832,64156.376180333,113276.740288688,65249.470783246,271.76879563520424,0.12084230007501717,0.0017661908602828458,6116651.596080511,9c3ffbe2d72eadbb1768f9fd805931ea70decdbb6b4e7e19193c5642dc331997
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,0.3333333333333333,half_residual,hbm_lru_recompute,12,4,1010000,80000000000,15285227520,9936923136,9936923136,9936923136,54777849344,54777849344,357161,357161,338394,220058,0,0,118336,0.6161311005400926,0.0,0.0,0.0,0.3313239687423879,0.9378925375327729,2005.640718241,2005.640718241,1981.040865241,87.330092299,2999.931873616,84.68681485968517,0.01410327291176805,0.00011938049851756283,6103907.752321952,b212ba58ea5e7c35d309a59c6454238061b292adee819e6169bfb3f90413faba
