run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,5439,2140200083,0.16998468606431852,0.2018032056990205
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,human,31997,26952,recompute,21513,4403124860,0.6723442822764634,0.7981967943009796
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,401,83492643,0.12948014207297384,0.15682440359796637
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2156,353075491,0.6961575718437197,0.8431755964020337
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,69981,12336433206,0.223453679844434,0.22656004661929197
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,tool,313179,308885,recompute,238904,33440269155,0.7628353114353134,0.773439953380708
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
