run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,76961,1448445881450496,2.488356115,804.923077665
half_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,half_residual,hbm_lru_recompute,prefill_to_decode,357161,3948282562019328,21.872764784,2194.561973036
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,half_residual,hbm_ssd_direct,cpu_stage_to_decode,218798,2817868561907712,0.0,14090.436906468
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,27.622094081,2923.145584093
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,223626,2886218538811392,619639.162429769,85903.833896739
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,15.10440843,77.143758746
half_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218798,2817868561907712,387891.524493074,51052.719579284
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,cpu_stage_to_decode,63515,921118606098432,0.0,4605.910636607
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,cpu_to_decode,59193,837027939483648,16768.39570837,4185.435691395
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,cpu_to_ssd,64284,931059257573376,40913.824103411,27711.382661017
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,71.99476423,2923.145584093
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,hbm_to_cpu,126610,1811523547693056,42579.373581213,9058.250850515
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,prefill_to_decode,357161,136929770569728,49.790609903,77.143758746
half_residual__full_causal_scale_1__tiered,full_causal_scale_1,half_residual,tiered,ssd_to_cpu_stage_for_decode,63515,921118606098432,12893.361521561,16688.201600873
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_lru_recompute,decode_hbm_to_prefill,225877,3555488959856640,29.516931234,1975.949387504
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_lru_recompute,prefill_to_decode,357161,1841239483613184,57.813161065,1023.982486112
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_ssd_direct,cpu_stage_to_decode,218769,2816112141533184,0.0,14081.654659589
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,25.748927042,2923.145584093
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_ssd_direct,hbm_to_ssd_direct,223595,2884314709622784,608914.346397725,85847.171693722
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,19.342458019,77.143758746
half_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,half_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,218769,2816112141533184,411801.492092933,51020.899789587
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,cpu_stage_to_decode,65828,952175823421440,0.0,4761.208289359
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,cpu_to_decode,56186,798399668944896,16483.213083292,3992.279302232
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,cpu_to_ssd,66605,962318830141440,42303.954352225,28641.773503735
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,73.596279657,2923.145584093
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,hbm_to_cpu,125889,1803515585888256,44942.564335282,9018.207436138
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,prefill_to_decode,357161,136929770569728,62.612798701,77.143758746
half_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,half_residual,tiered,ssd_to_cpu_stage_for_decode,65828,952175823421440,13084.94422219,17250.878610605
