run_id,compute_endpoint,reserve_case,baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,reusable_tokens,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,human,31997,26952,decode_hbm,6567,2688224640,0.20523799106166202,0.24365538735529832
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,human,31997,26952,ssd,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,human,31997,26952,recompute,20385,3855100303,0.6370909772791199,0.7563446126447017
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,mixed,3097,2557,decode_hbm,498,100190978,0.1608007749434937,0.194759483770043
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,mixed,3097,2557,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,mixed,3097,2557,ssd,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,mixed,3097,2557,recompute,2059,336377156,0.6648369389731998,0.805240516229957
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,session_start,4281,0,decode_hbm,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,session_start,4281,0,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,session_start,4281,0,ssd,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,session_start,4281,0,recompute,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,tool,313179,308885,decode_hbm,77416,14065932971,0.24719409666676245,0.2506304935493792
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,tool,313179,308885,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,tool,313179,308885,ssd,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,tool,313179,308885,recompute,231469,31710769390,0.7390948946129849,0.7493695064506207
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,unknown,4607,0,decode_hbm,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,unknown,4607,0,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,unknown,4607,0,ssd,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,unknown,4607,0,recompute,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,human,31997,26952,decode_hbm,8728,3399687406,0.27277557270994157,0.3238349658652419
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,human,31997,26952,cpu,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,human,31997,26952,ssd,18224,3143637537,0.5695533956308404,0.676165034134758
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,human,31997,26952,recompute,0,0,0.0,0.0
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,mixed,3097,2557,decode_hbm,800,169536607,0.2583144979011947,0.31286664059444663
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,mixed,3097,2557,cpu,0,0,0.0,0.0
