run_id,compute_endpoint,reserve_case,baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,85683,1673679832055808,2.866863111,930.079220578
zero_residual__full_causal_scale_1__hbm_lru_recompute,full_causal_scale_1,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,3723048611414016,25.584943032,2069.432000595
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,209202,2686252076236800,0.0,13432.306493421
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,46.644081997,2923.145584093
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,213893,2752169274507264,718582.838251911,81914.0777946
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,26.285681036,77.143758746
zero_residual__full_causal_scale_1__hbm_ssd_direct,full_causal_scale_1,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,209202,2686252076236800,456283.533146631,48668.171030151
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,cpu_stage_to_decode,61632,895328268582912,0.0,4476.949533098
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,cpu_to_decode,49978,705819204648960,15611.77383191,3529.345937777
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,cpu_to_ssd,62379,905025017610240,40356.914825578,26936.515989802
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,82.724457524,2923.145584093
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,hbm_to_cpu,115344,1651845488443392,40475.896599046,8259.804218804
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,prefill_to_decode,357161,136929770569728,57.587171004,77.143758746
zero_residual__full_causal_scale_1__tiered,full_causal_scale_1,zero_residual,tiered,ssd_to_cpu_stage_for_decode,61632,895328268582912,12865.066110365,16220.947680617
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_lru_recompute,decode_hbm_to_prefill,277740,4286157931511808,46.433015215,2382.032208633
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_lru_recompute,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_lru_recompute,prefill_to_decode,357161,1110570511958016,70.87046293,618.055280719
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_ssd_direct,cpu_stage_to_decode,216626,2763158337355776,0.0,13816.874922656
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_ssd_direct,decode_hbm_to_prefill,345013,5259798672900096,26.50061611,2923.145584093
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_ssd_direct,hbm_to_ssd_direct,221335,2829220564697088,736029.707879946,84207.419798479
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_ssd_direct,prefill_to_decode,357161,136929770569728,20.402296607,77.143758746
zero_residual__adversarial_fast_recompute_scale_1_over_3__hbm_ssd_direct,adversarial_fast_recompute_scale_1_over_3,zero_residual,hbm_ssd_direct,ssd_to_cpu_stage_for_decode,216626,2763158337355776,502004.269882628,50061.548881838
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,cpu_stage_to_decode,63633,921481750511616,0.0,4607.726948728
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,cpu_to_decode,53883,751007533891584,18911.361284823,3755.307110869
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,cpu_to_ssd,64387,931241967747072,41107.727190119,27716.822523847
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,decode_hbm_to_prefill,345013,5259798672900096,71.488902196,2923.145584093
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,hbm_to_cpu,121254,1723325802872832,48034.243980619,8617.235343825
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,prefill_to_decode,357161,136929770569728,63.295830948,77.143758746
zero_residual__adversarial_fast_recompute_scale_1_over_3__tiered,adversarial_fast_recompute_scale_1_over_3,zero_residual,tiered,ssd_to_cpu_stage_for_decode,63633,921481750511616,12698.329041766,16694.782664072
