baseline,return_gap_type,finite_service_source,call_count,finite_request_summed_ready_to_complete_seconds,oracle_request_summed_ready_to_complete_seconds,delta_request_summed_ready_to_complete_seconds,service_slowdown_fraction_of_oracle,paired_service_delta_p50_ms,paired_service_delta_p90_ms,paired_service_delta_p99_ms
hbm_lru_recompute,human,decode_hbm,2520,273.565511973,272.327321301,1.238190672,0.004546700147766147,0.0,0.0,81.62800634999999
hbm_lru_recompute,human,recompute,7963,377871.764704068,1440.601168271,376431.163535797,261.3014426384141,40116.362526,108328.53792520001,123195.65111975999
hbm_lru_recompute,mixed,decode_hbm,365,76.511835561,76.291880024,0.219955537,0.002883079259952792,0.0,9.119593200000041,86.81899624000022
hbm_lru_recompute,mixed,recompute,811,33874.44116746,167.671891553,33706.769275907,201.02814469205478,37136.038292,83073.705699,119107.67068629999
hbm_lru_recompute,tool,decode_hbm,67103,10651.877914146,10738.581665132,-86.703750986,-0.008074041217894345,0.0,3.71549440000007,105.09947173999983
hbm_lru_recompute,tool,recompute,98585,5430025.239284195,18187.143482175,5411838.09580202,297.56394131415396,42616.317767,111552.10702139999,123865.76974032004
hbm_ssd_direct,human,decode_hbm,2257,269.802112158,239.714817083,30.087295075,0.12551287167443825,0.0,0.0,361.5113425600056
hbm_ssd_direct,human,ssd,8226,1848432.48687872,1473.213672489,1846959.273206231,1253.6940891172876,222561.4746345,412435.623628,452326.402716
hbm_ssd_direct,mixed,decode_hbm,311,70.125727462,61.473954043,8.651773419,0.14073884710503948,0.0,6.196226,867.7754186999977
hbm_ssd_direct,mixed,ssd,865,181946.934247841,182.489817534,181764.444430307,996.0251310813117,212371.96562,414707.0221564,452797.488338
hbm_ssd_direct,tool,decode_hbm,54182,10104.729591372,8477.766030142,1626.96356123,0.1919094671220538,0.0,2.861092100000031,987.1878209200013
hbm_ssd_direct,tool,ssd,111506,26112007.19637625,20447.959117165,26091559.23725908,1275.9982102740303,228407.311189,420894.422974,453311.6310149
tiered,human,decode_hbm,2013,228.223114421,212.336513714,15.886600707,0.0748180349631149,0.0,0.0,216.1278434399997
tiered,human,cpu,402,253.614786178,45.251572933,208.363213245,4.6045518363197,181.236622,1129.6620062000013,5870.987444650002
tiered,human,ssd,8068,5195367.15863287,1455.340402925,5193911.818229945,3568.8638945163743,678695.027163,1087073.0111523,1131335.05067731
tiered,mixed,decode_hbm,289,75.458366221,55.47336897,19.984997251,0.3602629085283766,0.0,30.93850659999999,3068.476363800002
tiered,mixed,cpu,51,100.156977562,7.469023737,92.687953825,12.409647778442988,247.269224,5473.978206,13735.6558685
tiered,mixed,ssd,836,504985.144293717,181.02137887,504804.122914847,2788.6436732833126,643179.825485,1078589.630273,1132036.5897582998
tiered,tool,decode_hbm,52167,9259.196705385,8210.024523318,1049.172182067,0.12779160148513014,0.0,3.2671266000000014,482.11986405999767
tiered,tool,cpu,1325,9465.223132083,222.320243735,9242.902888348,41.57472451930784,6028.498715,16337.484406400004,28218.507451719997
tiered,tool,ssd,112196,70079801.35017914,20493.380380254,70059307.96979888,3418.6311223356383,657957.7166455,1086627.511229,1132163.1408471002
