baseline,return_gap_type,restore_source,event_count,request_summed_raw_seconds,request_summed_hidden_by_prefill_seconds,request_summed_exposed_owner_barrier_seconds,request_summed_other_concurrent_or_admission_seconds,mean_raw_ms,mean_hidden_by_prefill_ms,mean_exposed_owner_barrier_ms,mean_other_concurrent_or_admission_ms,hidden_fraction_of_raw,exposed_fraction_of_raw
hbm_lru_recompute,human,decode_hbm,2520,182.142908207,54.534952082,127.607956125,0.0,72.2789318281746,21.64085400079365,50.638077827380954,0.0,0.29940749611850187,0.7005925038814981
hbm_lru_recompute,mixed,decode_hbm,365,25.987049461,14.598500377,11.388549084,0.0,71.19739578356165,39.99589144383562,31.20150433972602,0.0,0.561760595365344,0.438239404634656
hbm_lru_recompute,tool,decode_hbm,67103,4685.176884529,2141.720019033,2543.368022391,0.088843105,69.82067693737986,31.916904147847337,37.902448808413936,0.0013239811185789012,0.45712682185067743,0.5428542155557665
hbm_ssd_direct,human,decode_hbm,2257,191.568648294,48.715929873,142.852718421,0.0,84.87755795037661,21.58437300531679,63.293184945059814,0.0,0.2543001180351587,0.7456998819648413
hbm_ssd_direct,human,ssd,8226,1848385.250315366,955.276470219,62734.903509458,1784695.070335689,224700.3708139273,116.12891687563823,7626.4166678164365,216957.82522923523,0.0005168167567102224,0.03394038309857448
hbm_ssd_direct,mixed,decode_hbm,311,30.915867068,13.577415042,17.338452026,0.0,99.40793269453376,43.65728309324759,55.75064960128617,0.0,0.4391730308626387,0.5608269691373612
hbm_ssd_direct,mixed,ssd,865,181940.170915214,124.41937852,6534.202226357,175281.549310337,210335.45770544972,143.8374318150289,7553.99101312948,202637.6292605052,0.0006838477610201912,0.035914016093796054
hbm_ssd_direct,tool,decode_hbm,54182,5421.477957791,1884.630494446,3536.847463345,0.0,100.06049901795801,34.78333200040604,65.27716701755196,0.0,0.34762301149590935,0.6523769885040906
hbm_ssd_direct,tool,ssd,111506,26111710.42638782,12009.616509414,927315.820789945,25172384.989088465,234173.1424890842,107.70376938831991,8316.286305579475,225749.1524141164,0.00045993220334112587,0.035513407802379104
tiered,human,decode_hbm,2013,159.163113671,43.425162741,115.73795093,0.0,79.06761732290114,21.57236102384501,57.49525629905613,0.0,0.27283433792808615,0.7271656620719139
tiered,human,cpu,402,244.001439486,16.66580444,226.409752705,0.925882341,606.9687549402986,41.457224975124376,563.208340062189,2.3031899029850744,0.06830207426278823,0.9279033483652486
tiered,human,ssd,8068,5195339.054707551,954.37420907,123429.303164529,5070955.377333952,643943.8590366325,118.29130008304412,15298.624586580192,628526.9431499692,0.0001836981569480497,0.02375769932718605
tiered,mixed,decode_hbm,289,42.326101942,14.114436606,28.211665336,0.0,146.45710014532872,48.838880989619376,97.61821915570934,0.0,0.3334688515692088,0.6665311484307911
tiered,mixed,cpu,51,97.990908327,3.229485682,75.286406266,19.475016379,1921.3903593529412,63.323248666666665,1476.2040444313727,381.863066254902,0.032956993022485954,0.76829991222008
tiered,mixed,ssd,836,504980.848697934,126.345390511,12588.644696838,492265.858610585,604044.0773898732,151.13084989354067,15058.187436409093,588834.7591035706,0.000250198380466853,0.024928954690652417
tiered,tool,decode_hbm,52167,4687.986006564,1750.547108752,2933.885288559,3.553609253,89.86497223463108,33.55659916713631,56.24025319759618,0.06811986989859489,0.373411334057083,0.6258306412286743
tiered,tool,cpu,1325,9424.359884194,116.85298824,5890.852280248,3416.654615706,7112.724440901132,88.19093452075472,4445.926249243774,2578.607257136604,0.012399037141607802,0.6250665671339443
tiered,tool,ssd,112196,70079611.30690044,12139.783861547,1783916.713175235,68283554.80986366,624617.7342053232,108.20157457972654,15900.00279132264,608609.5298394208,0.00017322847023770017,0.025455573738314675
