baseline,return_gap_type,all_requests_in_return_class,reuse_eligible_transitions_in_return_class,resume_source,source_count,source_fraction_of_all_requests_in_return_class,source_fraction_of_reuse_eligible_in_return_class
hbm_lru_recompute,human,31997,10468,decode_hbm,2516,0.07863237178485483,0.2403515475735575
hbm_lru_recompute,human,31997,10468,recompute,7952,0.2485232990592868,0.7596484524264425
hbm_lru_recompute,mixed,3097,1165,decode_hbm,357,0.11527284468840814,0.30643776824034336
hbm_lru_recompute,mixed,3097,1165,recompute,808,0.26089764288020667,0.6935622317596567
hbm_lru_recompute,tool,313179,164750,decode_hbm,66241,0.21151162753569044,0.40206980273141124
hbm_lru_recompute,tool,313179,164750,recompute,98509,0.31454535585080734,0.5979301972685888
hbm_ssd_direct,human,31997,10468,decode_hbm,2255,0.07047535706472481,0.215418418035919
hbm_ssd_direct,human,31997,10468,ssd,8213,0.2566803137794168,0.784581581964081
hbm_ssd_direct,mixed,3097,1165,decode_hbm,306,0.09880529544720698,0.2626609442060086
hbm_ssd_direct,mixed,3097,1165,ssd,859,0.2773651921214078,0.7373390557939914
hbm_ssd_direct,tool,313179,164750,decode_hbm,53888,0.1720677312335757,0.3270895295902883
hbm_ssd_direct,tool,313179,164750,ssd,110862,0.35398925215292215,0.6729104704097116
tiered,human,31997,10468,decode_hbm,2010,0.06281838922398975,0.1920137562094001
tiered,human,31997,10468,cpu,402,0.01256367784479795,0.038402751241880015
tiered,human,31997,10468,ssd,8056,0.25177360377535396,0.7695834925487199
tiered,mixed,3097,1165,decode_hbm,283,0.09137875363254763,0.2429184549356223
tiered,mixed,3097,1165,cpu,51,0.01646754924120116,0.04377682403433476
tiered,mixed,3097,1165,ssd,831,0.268324184694866,0.7133047210300429
tiered,tool,313179,164750,decode_hbm,51655,0.16493762353159055,0.31353566009104705
tiered,tool,313179,164750,cpu,1297,0.004141401562684599,0.007872534142640364
tiered,tool,313179,164750,ssd,111798,0.3569779582922227,0.6785918057663126
